Link,Title,Content
https://www.channelnewsasia.com/asia/china-shenzhen-futian-longhua-covid-19-curbs-lockdown-2917366,China's Shenzhen extends COVID-19 curbs but stops short of full lockdown,"SHENZHEN: Some districts of China's southern tech hub Shenzhen extended curbs on public activities, dining out and entertainment venues on Friday (Sep 2), but city officials stopped short of a full lockdown as they try to rein in rising COVID-19 cases. Restrictions in the central business district of Futian and Longhua, home to a major campus of Apple iPhone assembler Foxconn, have been extended until Sunday, while residents in several areas across the city were asked to work from home if possible. Most of Shenzhen's nearly 18 million residents are now under COVID-19 controls amid the city's most serious outbreak since spring. But unlike its swift decision in March to lock down the city to fight community infections, Shenzhen has taken a more considered approach in the current flare-up since late August. Curbing activities of tens of millions of people intensifies the challenges for China to cushion the economic impact of its ""dynamic-zero"" COVID-19 policy that has kept its borders mostly shut to international visitors, and made it an outlier as other countries learn to live with the coronavirus. On Thursday evening, officials sought to quell rumours that the city would undergo a full lockdown as it did for a week in March, and said people could leave and return to their homes with a 24-hour proof of testing. So far, authorities have largely avoided shutting down offices and factories. ""We need to get the virus under control, we can't just give up like some countries,"" said a woman surnamed Tang, who has been volunteering to help food deliveries arrive at a locked down compound in Futian, Shenzhen's most severely hit district. ""But I don't know when it will end, it's really hurting businesses."" On Friday, officials reported 87 new locally transmitted COVID-19 infections in Shenzhen on Sep 1, up from 62 a day earlier. Of those, eight were outside quarantine areas. In southwestern China, the megacity of Chengdu went into lockdown late on Thursday with mass testing for COVID-19 planned through the weekend. Uncertainty remained whether the lockdown would be lifted after the testing ends on Sunday. The city of about 21 million people and capital of Sichuan province reported 150 new local cases for Sep 1, official data showed on Friday, compared with 157 infections a day earlier. In Chengdu, non-essential employees were told to work from home. Industrial firms engaged in key manufacturing and able to manage on closed campuses were exempted from work-from-home requirements. Toyota Motor's Chengdu plant, which has an annual production capacity of 105,000 vehicles, is ""operating normally"", and inside a closed loop at the request of the Sichuan government, a company official told Reuters. Sweden's Volvo Cars, majority owned by Chinese automotive company Zhejiang Geely Holding Group, has shut its plant in Chengdu, a company spokesperson said on Thursday."
https://www.channelnewsasia.com/world/us-cdc-expert-panel-backs-use-redesigned-omicron-covid-19-boosters-2915561,US CDC expert panel backs use of redesigned Omicron COVID-19 boosters,"Advisers to the US Centers for Disease Control and Prevention on Thursday (Sep 1) voted to recommend the use of COVID-19 booster shots redesigned to target the BA.4 and BA.5 Omicron subvariants of the coronavirus for people aged 12 years and older. The CDC's Advisory Committee for Immunization Practices (ACIP) voted 13-to-1 in favor of the updated boosters by Pfizer-BioNTech and Moderna. The vote is one of the last steps before millions of the retooled shots roll out by the end of this weekend as part of a nationwide revaccination campaign. The agency's Director Rochelle Walensky will make the final call after the meeting. He has been supportive of a booster campaign in recent public statements. On Wednesday, the US Food and Drug Administration authorised the updated shots from Pfizer-BioNTech and Moderna that target the dominant BA.4 and BA.5 Omicron subvariants as well as the original virus. They are often called bivalent shots. FDA officials on Wednesday said they believe the updated shots should be available to a broader population than the previous boosters as they may help younger people avoid long COVID-19, which can leave them suffering debilitating symptoms for months. The FDA authorised the Pfizer-BioNTech shots for people ages 12 and older and the Moderna booster for those 18 and over, if they have received a primary vaccine series or a booster at least two months prior. The previously authorised monovalent vaccine will no longer be available as a booster shot in those age groups. Pfizer said on Thursday it hopes to ask the FDA for authorisation in 5- to 11-year-olds in early October. CDC and FDA officials have said they believe the shots will boost immunity against the virus ahead of the winter season, when infections tend to rise as people spend more time indoors where the virus is more easily transmitted. Currently, a second booster is restricted largely to people over age 50 and those who are immunocompromised or at high risk. During the meeting, CDC officials suggested people who have had COVID-19 should wait at least until they have completed their isolation to receive a booster and may consider waiting 3 months. Vaccine makers have yet to complete human trials for the newly authorised boosters, and some ACIP members raised reservations over the lack of data. Most of the available data on the redesigned boosters comes from lab and animal studies. ""I understand we need better vaccines because obviously we're still having a lot of COVID despite vaccination,"" said committee member Dr Pablo Sanchez, a Professor of Pediatrics at Ohio State University, who voted against the recommendation. ""But I'm struggling with making a recommendation for a bivalent vaccine that has not been studied in humans."" The FDA had in June said it would not require studies testing the shots in humans for authorization, similar to how annual changes to flu vaccines are cleared. "
https://www.channelnewsasia.com/world/eu-regulator-backs-use-novavax-covid-19-shot-booster-2916171,EU regulator backs use of Novavax COVID-19 shot as a booster,"LONDON: The European Medicines Agency (EMA) on Thursday (Sep 1) backed the use of Novavax's COVID-19 shot as a booster for adults, ahead of an anticipated rise in infections this winter. The vaccine, Nuvaxovid, is designed to target the strain of the virus that originally emerged in China. The EMA's recommendation is for people who previously were inoculated with either the Novavax shot, or any other COVID-19 vaccine. Separately on Thursday, the EMA backed two separate COVID-19 vaccine boosters updated to target the Omicron variant of the virus. Developed by Moderna and the team of Pfizer and BioNTech, the new so-called bivalent shots combat the BA.1 version of Omicron and the original virus first detected in China. Novavax's Nuvaxovid made its debut well after first set of COVID-19 shots - including those from Moderna, Pfizer-BioNTech, AstraZeneca and Johnson & Johnson - were approved in different parts of the world. The hope was Nuvaxovid would incentivise people who were sceptical of some shots based on the newer mRNA technology to get vaccinated, given Nuvaxovid relies on technology that has been used for decades to combat diseases including hepatitis B and influenza. However, demand has been tepid. Last month, the US vaccine maker Novavax cut its annual revenue forecast by half, on limited demand for its shot as a primary course. As a booster for people who have previously received other vaccines, it could still offer the potential of a broader spectrum of protection, some experts have suggested. "
https://www.channelnewsasia.com/asia/china-sichuan-chengdu-covid-19-lockdown-testing-2915026,Chengdu locks down 21.2 million people as Chinese cities battle COVID-19,"SHENZHEN: The southwestern Chinese metropolis of Chengdu announced a lockdown of its 21.2 million residents as it launched four days of citywide COVID-19 testing, as some of the country's most populous and economically important cities battle outbreaks. Residents of Chengdu, the capital of Sichuan province, were ordered to stay home from 6pm on Thursday (Sep 1), with households allowed to send one person per day to shop for necessities, the city government said in a statement. Chengdu, which reported 157 domestically transmitted infections on Wednesday, is the largest Chinese city to be locked down since Shanghai in April and May. It remained unclear whether the lockdown would be lifted after the mass testing ends on Sunday. Other major cities including Shenzhen in the south and Dalian in the northeast have also stepped up COVID-19 restrictions this week, ranging from work-from-home requirements to the closure of entertainment businesses in some districts. The moves curtail the activities of tens of millions of people, intensifying the challenges for China to minimise the economic impact of a ""dynamic-zero"" COVID-19 policy that has kept China's borders mostly shut to international visitors and make it an outlier as other countries try to live with the coronavirus. Most of the curbs are intended to last a few days for now, although two provincial cities in northern China have extended curbs slightly beyond initial promises. Chengdu's lockdown sparked panic buying of essentials among residents. ""I am waiting in a very long queue to get in the grocery near my home,"" 28-year-old engineer Kya Zhang said, adding that she was worried about access to fresh food if the lockdown is extended. Hwabao Trust economist Nie Wen said that because Chengdu acted quickly to lock down, it was unlikely to see a repeat of Shanghai's two-month ordeal. Non-essential employees in Chengdu were asked to work from home and residents were urged not to leave the city unless needed. Residents who must leave their residential compounds for hospital visits or other special needs must obtain approval from neighbourhood staffers. Industrial firms engaged in important manufacturing and able to manage on closed campuses were exempted from work-from-home requirements. Sweden's Volvo Cars said it would temporarily close its Chengdu plant. Flights to and from Chengdu were dramatically curtailed, according to Flight Master data. At 10am local time on Thursday, it showed 398 flights had been cancelled at Shuangliu Airport in Chengdu, with a cancellation rate of 62 per cent. At Chengdu's Tianfu Airport, 79 per cent, or 725 flights, were cancelled. In Shenzhen, which has the third-highest economic output among Chinese cities, the most populous district Baoan and tech hub Nanshan suspended large events and indoor entertainment for a few days and ordered stricter checks of digital health credentials for people entering residential compounds. Nanshan is home to internet giant Tencent and the world's biggest dronemaker, DJI, among other major Chinese companies. More than half of Shenzhen's ten districts, home to over 15 million people, have ordered blanket closure of entertainment venues and halted or reduced restaurant dining for a few days, with curbs in two districts initially planned to be lifted by the end of Thursday. Shenzhen authorities have largely avoided shutting down offices and factories as they did during a week-long lockdown in March. Data on Thursday showed that Chinese factory activity contracted for the first time in three months in August amid weakening demand, while power shortages and fresh COVID-19 flare-ups disrupted production. In Shanghai, schools reopened on Thursday after being closed for months. Mainland China has reported no COVID-19 death since May, leaving the death toll at 5,226. "
https://www.channelnewsasia.com/singapore/covid-19-related-charges-remanded-almost-year-arrest-warrant-2914931,Man facing COVID-19 related charges remanded almost a year after arrest warrant issued,"SINGAPORE: A man who skipped court in October last year over charges of exposing others to the risk of COVID-19 has been remanded and given new charges. Verner Chua Jun Jie, 22, was handed two new charges on Thursday (Sep 1) for cutting his GPS tag at a flat in Bukit Batok in September last year and for failing to report to Selarang Park Community Supervision Centre that same month. Chua was charged last year with two counts of exposing others to the risk of infection. He was accused of failing to stay home in August 2020 despite receiving a medical certificate ordering him to stay home for five days as he had an acute respiratory infection. Instead, he took a Grab vehicle to visit his grandmother in West Coast and another Grab vehicle to buy lunch before heading home, charge sheets stated. He is accused of repeating this offence in December 2020 while he was on medical leave for acute respiratory infection and had not yet received a negative COVID-19 test result. He allegedly took taxis to have dessert with a friend in Balestier Road and for frog porridge in Geylang. By his actions, Chua allegedly exposed his grandmother, his friend and other people at those locations to the risk of contracting COVID-19. Chua was set to plead guilty in October last year, but an arrest warrant was issued for him that month when he failed to turn up in court. He was remanded on Thursday and is set to plead guilty on Sep 13. If convicted under the Infectious Diseases Act, he could be jailed for up to six months, fined up to S$10,000, or both, per charge. For mischief, he could be jailed for up to a year, fined, or both. For failing to turn up at the supervision centre, he can be jailed for up to a month, fined up to S$1,500, or both. "
https://www.channelnewsasia.com/asia/china-shenzhen-covid-19-restrictions-cases-2914531,China's Shenzhen widens COVID-19 restrictions as cases rise,"SHENZHEN: The southern Chinese tech hub Shenzhen tightened COVID-19 curbs as cases continued to mount on Thursday (Sep 1), with large events and indoor entertainment suspended for three days in the city's most populous district, Baoan. At least half of the Shenzhen's ten districts, home to more than 13 million of the city's residents, have now ordered blanket closures of entertainment venues and halted or reduced restaurant dining. Education authorities have postponed the start of the new school semester, which was largely planned to begin on Thursday. Officials urged residents not to leave the city unless on urgent matters in a statement issued late on Wednesday. It did not specify how officials would police the new requirement, but demanded government, Communist party authorities and state-owned firms make sure their employees are not making unnecessary trips outside the city. Residents who must leave have to show proof of two negative tests within 48 hours, according to the statement. Authorities have traced a cluster of cases to a dance hall in the city's central business district of Futian, and were urging recent visitors there to report themselves to local health authorities. The world's largest electronics market at Huaqiangbei remains closed after authorities shut it on Monday. Shenzhen reported 62 new locally transmitted COVID-19 infections for Aug 31, up from 37 a day earlier. "
https://www.channelnewsasia.com/world/us-authorises-moderna-pfizer-biontech-covid-19-vaccine-boosters-retool-omicron-2912876,"US authorises Moderna, Pfizer-BioNTech COVID-19 vaccine boosters retooled for Omicron","The US Food and Drug Administration on Wednesday (Aug 31) authorised the retooled COVID-19 booster shots of both Moderna and Pfizer-BioNTech that target the currently dominant BA.4 and BA.5 Omicron subvariants of the coronavirus. Both vaccines also include the original version of the virus targeted by all the previous COVID-19 shots as the country prepares for another vaccination campaign in the fall season. As a single dose, Moderna's vaccine is authorised for those aged 18 and above, while Pfizer's bivalent candidate is for those aged 12 and above. The US government has purchased 175 million doses of the booster shots in an effort to stave off the worst effects of a potential surge in new infections as schools reconvene and people spend more time indoors as the weather grows colder. The FDA in June asked vaccine makers to tailor shots to the two subvariants responsible for the most recent surge in infections worldwide. The BA.5 subvariant currently accounts for more than 88 per cent of US infections. The US Centers for Disease Control and Prevention's vaccine advisory panel is scheduled to meet on Thursday to make recommendations for use of the redesigned shots that Director Rochelle Walensky will take into consideration before making a final decision. "
https://www.channelnewsasia.com/asia/china-guangzhou-tighten-covid-19-curbs-join-several-biggest-chinese-cities-battle-flare-2911476,"China's Guangzhou, Shenzhen tighten COVID-19 curbs as parts of north join in","BEIJING: Parts of China's southern city of Guangzhou imposed COVID-19 curbs on Wednesday (Aug 31), joining the tech hub of Shenzhen in battling flare-ups, fuelling uncertainty over commerce and daily life in two of the region's most economically vibrant metropolises. Several of China's biggest cities have stepped up COVID-19 restrictions this week, curtailing the activities of tens of millions of people. Authorities looking to balance economic needs with the effort to contain every outbreak said the curbs would run for just a few days, although two northern provincial capitals extended them slightly. China's so-called ""dynamic COVID zero"" policy makes it an outlier as other countries gradually do away with curbs, despite the cost to the world's second-largest economy, which already faces slower growth. Capital Economics estimates 41 cities, responsible for 32 per cent of China's gross domestic product (GDP), are grappling outbreaks - the highest number since April. ""For now, the resulting disruption appears modest, but the threat of damaging lockdowns is growing,"" said Julian Evans-Pritchard, senior China economist at the consultancy. ""And even if they are avoided, we expect growth to remain subdued going forward."" Guangzhou, a city of nearly 19 million residents near Hong Kong, reported just five locally transmitted infections for Tuesday but authorities ordered some areas in one district to halt indoor entertainment and restaurant dining until Saturday. It also ordered most school grades in the district to delay returning for the fall semester and halt any physical sessions already begun, state media said, while bus and subway services were also scaled back. In Shenzhen, at least four districts with about 9 million residents, have ordered closure of entertainment and cultural businesses and halted or reduced restaurant dining for a few days. The city's district of Yantian locked down until Sunday a few narrower areas, limiting household shopping trips to just one person every two days, and suspending businesses, although allowing restricted operations by firms in essential sectors. Shenzhen's education authorities postponed the start of the new semester of offline classes for most school grades. Shenzhen urged residents not to leave without necessary reasons in a statement issued late on Wednesday. It did not specify how officials would police the new requirement, but demanded government, Communist party authorities and state-owned firms make sure their employees are not making unnecessary trips outside the city. Residents who must leave have to show proof of two negative tests within 48 hours, according to the statement. The combined economic output of Shenzhen and Guangzhou reached 5.89 trillion yuan (US$855 billion) last year, or about half the GDP of South Korea. The northern city of Shijiazhuang, close to Beijing, the capital, extended by a day beyond an earlier target of Wednesday its work-from-home mandate covering four districts with more than 3 million people. The northwestern city of Xining, home to about 2.5 million people, extended until Sep 5 a work-from-home order for employees in key urban areas imposed from Monday, and initially meant to run until Thursday. China reported 1,675 new domestically transmitted infections for Aug 30, the National Health Commission said, down from the previous day's 1,717 new local cases. Most cases were found in the mountainous region of Tibet and the southwestern province of Sichuan. Chengdu, the capital of Sichuan, ordered the closure from Thursday of all office buildings in a district with more than a million residents. That followed the earlier citywide closure of indoor entertainment and cultural locations. Entry was limited to staff needed to ensure basic functions of those buildings, government officials in Chengdu said, a restriction to last three days for now. The commercial hub of Shanghai will restrict large gatherings and avoid unnecessary ones, a municipal official said, as two new local infections were reported on Tuesday, one of them in the community. Large conferences and events requiring extensive travel must be downsized, delayed or moved online whenever possible, Shanghai health official Wu Qianyu told a news briefing. "
https://www.channelnewsasia.com/singapore/pofma-conditional-warning-truth-warriors-website-covid-19-vaccines-2911781,POFMA warning issued to Truth Warriors website administrator for false claims about COVID-19 vaccines,"SINGAPORE: An administrator for the Truth Warriors website was given a 12-month conditional warning under the Protection from Online Falsehoods and Manipulation Act (POFMA) for publishing false claims about COVID-19 vaccines. The POFMA Office said on Wednesday (Aug 31) that the warning was issued to the 47-year-old woman in relation to “false claims misleading people into thinking that the COVID-19 vaccines are not effective"" in reducing transmission rates of the coronavirus. The falsehoods ran counter to efforts to combat COVID-19, it added. On Oct 24, 2021, a POFMA direction was issued to Truth Warriors to carry correction notices on its website to inform people of the falsehoods, the POFMA office said. The correction direction involved posts on the website that contained falsehoods relating to the effectiveness of COVID-19 vaccines and for promoting ivermectin to treat the coronavirus. The Health Ministry said then that many of the materials published on the Truth Warriors website were from unverified and dubious sources, and that individuals who heed the advice on the website can endanger themselves and the people around them. Ivermectin is a prescription-only medicine registered in Singapore specifically for the treatment of parasitic worm infections. The Health Sciences Authority (HSA) ""strongly advised"" consumers against self-medicating with the drug, saying it is not an anti-viral medicine and is not approved by HSA for use in the prevention and treatment of COVID-19. During the investigations, the woman claimed to have checked the credentials of the original authors of the articles, but admitted that she cannot be certain whether the information published was true, said the POFMA Office. It issued the conditional warning to the woman for the charges after considering the facts and circumstances of the case. If she reoffends during this period, the woman can be prosecuted for the original crime. An offence under Section 7 of the POFMA carries a fine of up to S$50,000, an imprisonment term of up to five years, or both. ""Online falsehoods that sow public confusion affect lives and harm society,"" the POFMA Office said. ""The Government takes a serious view of the deliberate communication of these false statements."" "
https://www.channelnewsasia.com/asia/japan-tourists-package-tours-without-guides-raise-cap-visitor-entry-covid-19-2911641,"Japan further eases border controls for tourists, allowing non-guided package tours","TOKYO: Tourists will be able to visit Japan from next week on package tours without a guide, Prime Minister Fumio Kishida said on Wednesday (Aug 31), as the country moves to ease strict COVID-19 controls. From Sep 7, Japan will also raise its daily cap on the number of people allowed to enter the country from 20,000 to 50,000, Kishida told reporters. Japan has kept strict border restrictions in place longer than many other major economies, and only in June began allowing tourists to visit on the condition they came in tour groups accompanied by guides. ""As international exchange becomes more active worldwide, Japan will join this movement - also from the viewpoint of taking advantage of a cheap yen,"" said Kishida, who has himself just recovered from COVID-19. From the same date, ""we'll also make it possible for tourists from all countries to enter the country on package tours without tour guides, and we will proceed with making entry procedures smoother at airports"", he added. But the measures fall short of a full reopening and visitors are still required to book their trips through agents and obtain visas. Public broadcaster NHK and other local media have reported that tourists will be asked to follow isolation guidelines if they test positive for COVID-19 in Japan. Kishida said he hoped to ease border restrictions further, with industry officials keen to see the return of a waiver programme that allowed tourists from much of the world to visit without a visa. Japan hopes to eventually ""enable smooth entry"" in line with other Group of Seven countries, he added. The country has never imposed a strict lockdown, and it has recorded total deaths from the disease of around 39,000 - far lower than many other countries. Around 64 per cent of the population and more than 90 per cent of people aged 65 and over have received three vaccine shots. But the country has maintained strict border rules throughout the pandemic, barring foreign residents from re-entry for several months at the height of the first waves of infection. Group tours have been allowed since June, but only around 144,500 foreign tourists are estimated to have entered the country in July, according to the Japan National Tourism Organization. The nation welcomed a record 31.9 million foreign visitors in 2019, and had been on track to achieve its goal of 40 million in 2020 before the pandemic struck. "
