Link,Title,Content
https://www.channelnewsasia.com/singapore/maid-jailed-stealing-returns-most-money-using-salary-employer-kept-2917491,"Maid jailed for stealing, returns most of the money using salary employer kept","SINGAPORE: A 25-year-old maid was sentenced to a month's jail on Friday (Sep 2) for stealing about S$4,600 from her employer's family. She sent most of it home to Indonesia and used a portion to buy clothes, cosmetics and mobile phones. Bela Kharisma Lut Fitriana made restitution of about S$3,500 using her salary that was kept by her employer. The court heard that she had no other finances to make up for the remainder. Bela pleaded guilty to one charge of theft, with another charge taken into consideration. The court heard that Bela began working for her employers in April 2020. She cooked for the family and did household chores, and was given access to the bedrooms of the first victim, a 42-year-old woman, as well as her 74-year-old father. She found that the victim had a safe in a cupboard in her room, and saw the password written in a book. She also noticed that the victim's father would often leave his wallet in an unlocked drawer. Between April and December 2021, Bela took at least S$1,468 from the safe and S$3,150 from the wallet. She roped in a friend of hers, who was also a domestic helper, to remit a total of S$3,390 to her family in Indonesia over multiple occasions. She also used the money to buy clothes, cosmetics, a watch and two mobile phones. Meanwhile, the victims began noticing the missing cash. On Dec 30, 2021, the first victim questioned Bela about the missing money from the safe and wallet, and Bela admitted to stealing. A police report was lodged and police seized 25 items that Bela had bought using the stolen money. These include jeans, jackets, shirts, liquid lipsticks, body lotion and night cream. The prosecutor asked for one to two months' jail, saying Bela had committed the offences over a significant period of time. However, he also considered that restitution had been made. Bela, who was unrepresented, asked for leniency through an interpreter. She said she would like to go home to Indonesia.  When the judge asked if she could make the rest of the restitution, Bela said she had no other resources and not enough money. Her jail term was backdated to her date of arrest in August this year. For theft in dwelling, she could have been jailed up to seven years and fined."
https://www.channelnewsasia.com/singapore/secondary-school-discipline-master-took-upskirt-videos-students-teachers-2917416,Secondary school discipline master admits taking more than 100 upskirt videos of teachers and students,"SINGAPORE: For more than three years, the discipline master of a secondary school took more than 100 upskirt videos of his female colleagues and students. He took 12 upskirt videos of at least seven female students using modus operandi such as inviting them into the discipline room. On one occasion, he confiscated the phone of a student who had filmed upskirt videos of a teacher and used his own phone to record the videos for himself. The 49-year-old man, who is married with three children, pleaded guilty on Friday (Sep 2) to three charges of insulting a woman's modesty. Another five charges will be taken into consideration for sentencing. A gag order was imposed by the court barring the publication of his name, the victims' names and the school name. The court heard that the man had worked at the school since 2008 and was the discipline master since 2015. He also taught Mandarin. Between April 2015 and July 2018, he filmed 156 upskirt videos of at least 38 female colleagues, mostly teachers.  He would invite them to his work station for data entry purposes and would place his handphone under the victim's skirt while the victim was keying in data at his desk. He invited female colleagues wearing skirts or dresses but not those wearing pants, and seldom invited male teachers to his work station for data entry. The man also filmed 12 upskirt videos of at least seven female students between May 2015 and February 2018. He would take the student into the discipline room and film her while she was using the computer.  The court heard that the man would transfer the videos to an external hard disk via his office laptop. He did not share or publish the clips but ""used them for his own sexual pleasure"", the prosecutor said. On one occasion, a male student was caught and punished by the school for filming two upskirt videos of a female teacher. On the pretext of retrieving evidence, the accused confiscated the student's phone and used his own phone to film the videos before transferring them to his collection. His actions went on until July 2018, when a female teacher at the school lodged a police report, saying she suspected the accused had been taking upskirt videos of teachers including herself. Police seized his hard disk and found 173 upskirt videos in the accused's possession. He titled each clip with the victim's names or initials or with descriptions. Investigations also revealed that he had filmed an upskirt video of a female relative at a party his mother-in-law was hosting. The prosecutor asked for between 12 and 18 months' jail, saying that the accused abused the trust of his female colleagues and his position as discipline master. The victims who were students were especially vulnerable, and the accused exploited their deference to his authority as well as the trust their parents placed in the school and its faculty, she said. However, she accepted that the accused was suffering from major depressive disorder at the time, after losing his mother in 2015. His wife also underwent surgery for medical ailments in 2016, after which their frequency of sexual intimacy ""drastically diminished"". ""However, while these factors invite some sympathy, they do not excuse the accused's conduct,"" said the prosecutor. Defence lawyer Laurence Goh asked the court to order a mandatory treatment order suitability report. He said his client was suffering from ""double depression"" at the time of the offences. A doctor with the Institute of Mental Health had said his disorder contributed to his offences, said Mr Goh. The prosecutor objected to the defence's ""conclusion"" that the accused would not be able to undergo psychiatric treatment if he is sentenced to jail, calling this ""leaping to conclusions"". The prison is ""fully able to continue monitoring and treating his conditions"", and the psychiatric unit of the Changi Medical Complex is administered by IMH, she said. The judge noted the accused's mental conditions at the time and that there is a contributory link to his offending behaviour. She granted the defence's request to call for a mandatory treatment order suitability report, but stressed that even if he is found suitable, the court may not necessarily impose such an order. He will return to court for sentencing in November."
https://www.channelnewsasia.com/singapore/covid-19-related-charges-remanded-almost-year-arrest-warrant-2914931,Man facing COVID-19 related charges remanded almost a year after arrest warrant issued,"SINGAPORE: A man who skipped court in October last year over charges of exposing others to the risk of COVID-19 has been remanded and given new charges. Verner Chua Jun Jie, 22, was handed two new charges on Thursday (Sep 1) for cutting his GPS tag at a flat in Bukit Batok in September last year and for failing to report to Selarang Park Community Supervision Centre that same month. Chua was charged last year with two counts of exposing others to the risk of infection. He was accused of failing to stay home in August 2020 despite receiving a medical certificate ordering him to stay home for five days as he had an acute respiratory infection. Instead, he took a Grab vehicle to visit his grandmother in West Coast and another Grab vehicle to buy lunch before heading home, charge sheets stated. He is accused of repeating this offence in December 2020 while he was on medical leave for acute respiratory infection and had not yet received a negative COVID-19 test result. He allegedly took taxis to have dessert with a friend in Balestier Road and for frog porridge in Geylang. By his actions, Chua allegedly exposed his grandmother, his friend and other people at those locations to the risk of contracting COVID-19. Chua was set to plead guilty in October last year, but an arrest warrant was issued for him that month when he failed to turn up in court. He was remanded on Thursday and is set to plead guilty on Sep 13. If convicted under the Infectious Diseases Act, he could be jailed for up to six months, fined up to S$10,000, or both, per charge. For mischief, he could be jailed for up to a year, fined, or both. For failing to turn up at the supervision centre, he can be jailed for up to a month, fined up to S$1,500, or both. "
https://www.channelnewsasia.com/singapore/outrage-modesty-cases-molest-public-transport-singapore-police-force-2912566,"Outrage of modesty cases a key concern, say police amid push to fight such crimes on public transport","SINGAPORE: Crimes involving outrage of modesty continue to be a key concern for Singapore police amid a rise in the number of such cases. There were 773 outrage of modesty cases in the first half of this year, a 4.6 per cent increase from the figure of 739 in the same period in 2021, according to mid-year crime statistics released by the police. ""The number of outrage of modesty cases occurring within the public transport system, including public transportation nodes and on public transport, remains a concern,"" said the Singapore Police Force (SPF) on Wednesday (Aug 31). Among the cases on the public transport network, 63.8 per cent involved victims aged between 13 and 29. To raise awareness about such crimes, SPF said it will launch a new public education video at MRT stations. ""These advisories seek to educate the public on what they can do when they encounter such crime, and remind them to stay vigilant and report the matter to the police if they encounter anything suspicious,"" said SPF. For instance, the information provided by victims who were quick to report cases has helped to solve many cases, said the police, adding that useful details include descriptions of suspects and the direction in which they travelled. Giving an example of a case in March, SPF said a man was arrested two days after an incident at Woodlands MRT station.  A 23-year-old woman had made a police report at about 1.10am, saying she was molested by an unknown man. ""The woman managed to take a photo of the man, which was useful information that she provided to the police when she reported the incident,"" said SPF, adding that it worked with the public transport operator to establish the suspect's identity through his travel pattern. The man was sentenced to one week in jail on Mar 29. The offence of outrage of modesty carries a jail term of up to three years, a fine, caning, or any combination of such punishments. If the victim is under 14 years old, the maximum jail term could extend to five years. The police advised members of the public to move away if possible if someone gets ""uncomfortably close"". ""Whenever possible, you may also approach the bus captains or MRT station staff for assistance if you are commuting via public transport nodes,"" the police added. ""Outrage of modesty cases remain a key concern for the police,"" said SPF. ""The police have zero tolerance towards sexual offenders who threaten the personal safety of the community and offenders will be dealt with sternly in accordance with the law."""
https://www.channelnewsasia.com/singapore/man-jailed-cheating-396-victims-108000-carousell-ecommerce-scams-2912466,"Man jailed 5 years for cheating 396 victims of more than S$108,000 on Carousell","SINGAPORE: A 34-year-old man has been sentenced to 60 months’ jail and fined S$17,000 on Wednesday (Aug 31) for cheating victims in a series of e-commerce scams and for participating in illegal online gambling activities. Poh Zhenlong Caine had cheated 396 victims of more than S$108,000 on e-commerce platform Carousell, the Singapore Police Force (SPF) said on Wednesday.  SPF said it received numerous reports from victims who were cheated by purportedly different online sellers on Carousell from October 2018 to June 2020. ""These sellers advertised tickets for Universal Studios Singapore (USS), concerts, sporting events, and other items. ""After the victims had made payment via bank transfer, PayNow or Paylah, the sellers ceased communications and did not deliver the items."" Investigations revealed that Poh had posted advertisements on Carousell purporting to sell the products, said SPF. In particular, he had advertised tickets to USS, concerts and sporting events after noticing that there was a high demand for such tickets on Carousell. ""By such manner of deception, Poh dishonestly induced 396 victims to deliver $108,693.90 to various bank accounts,"" said SPF. Poh pleaded guilty to two charges of cheating, four charges of amalgamated unlawful remote gambling and one charge of unlawful remote gambling. SPF said it takes a serious view of persons who may be involved in scams and fraud, and perpetrators will be dealt with, in accordance with the law. It also advised members of the public to be very careful when making online purchases and to opt for buyer protection by using in-built payment options that release payment to the seller only upon delivery. ""Whenever possible, avoid making advance payments or direct bank transfers to the seller,"" said SPF. ""Scammers may entice buyers to contact them directly through messaging platforms such as WhatsApp or WeChat by offering a better or faster deal if bank transfer payments are made directly to them.  ""They may also use a local bank account or provide a copy of an NRIC/driver’s licence to make you believe that they are genuine sellers."""
https://www.channelnewsasia.com/singapore/jail-drunk-man-fight-commotion-elderly-father-call-police-thrice-2912201,"Man jailed after elderly father called police on him thrice for fighting, drunken behaviour","SINGAPORE: An elderly man called the police three times on his 50-year-old son, who fought and repeatedly caused a commotion while drunk.  The son, Tan Hock Lai, was on Wednesday (Aug 31) jailed for four weeks. He pleaded guilty to three charges of committing a public nuisance and disturbing the public peace. Another three charges were considered for sentencing. The court heard that Tan and his 70-year-old father lived together in a flat on the ground floor of a public housing block. Around 3am on Nov 2 last year, Tan returned home drunk and started throwing things around the flat.  Tan's father was irritated by this and chased him out of the unit. Tan repeatedly banged on the door and window and shouted loudly, demanding to be let in. His father called the police, telling them: ""My son every night drunk come and disturb me. I cannot stand it already."" The police also received calls from residents nearby. When they arrived, Tan was still banging on the door and shouting loudly, and the window had been smashed. They arrested him. Three days later, after drinking again, Tan got into a fight with a man at a ground floor staircase in Toa Payoh for no apparent reason, according to court documents. The man was helping Tan to his feet after he tried to stand up but stumbled. Tan's phone fell out in the process, and he suddenly punched the man's head several times. The man fended Tan off, but Tan adopted a boxing stance to challenge him. The man then retaliated by punching Tan's face. The fight continued for about five minutes until the police arrived. Tan was arrested again as he kept trying to confront the other man while their statements were being taken. In the last incident on Mar 24 this year, Tan returned home and asked his father for S$10. When his father refused, Tan started shouting loudly. Exiting the flat, Tan threw some bamboo laundry poles and a laundry rack on the ground, and kicked over a dustbin. The commotion attracted the neighbours' attention. When one of them told Tan to stop his antics, he went over to her flat and challenged her to a fight. Police arrived shortly after and it was observed that Tan reeked heavily of alcohol. Tan, who did not have a lawyer, was a food delivery rider at the time. He told the court that he was emotionally affected by his wife's sudden request for a divorce when he committed the offences. Tan asked for a lighter sentence and told the judge that he would not reoffend. The judge agreed with the prosecution on the length of the jail term to be imposed. Those who commit a public nuisance can be jailed for up to three months or fined up to S$2,000. The penalty for disturbing the peace by fighting in public is up to a year in jail, a fine of up to S$5,000 or both."
https://www.channelnewsasia.com/singapore/istana-collision-bollards-mfa-perm-sec-injured-2911531,Former security officer fined over collision at Istana that injured MFA permanent secretary,"SINGAPORE: A former auxiliary police officer was fined S$2,500 on Wednesday (Aug 31) after causing a vehicle collision at the Istana last year. Tan Chee Kiat, 30, pleaded guilty to a single charge of causing grievous hurt through a negligent act. He was a Certis CISCO officer at the time of the incident. The Permanent Secretary for Foreign Affairs at the time, Mr Chee Wee Kiong, and his driver Mr Abdul Latif Karim suffered fractures in the collision on Aug 23, 2021. The court heard that the crash took place on Edinburgh Road, which is located within the grounds of the Istana. Tan was deployed at a security post along Edinburgh Road on the morning of the incident. His job was to operate the control panel for the ground bollards, which are barriers used to block access to roads. When activated, they rise from the ground. Mr Chee was the sole passenger in the car driven by Mr Abdul Latif and their vehicle had cleared security and was travelling along Edinburgh Road. At 9.15am, Tan raised the bollards without checking that the car had passed them. The car was driving at 10 kmh at the time, according to court documents. Mr Abdul Latif noticed that the bollards were being raised but he was unable to stop the car in time and hit the bollards. Both men were taken to the hospital for treatment. Mr Chee suffered multiple fractures, a sternum fracture and a tooth fracture. He was admitted the same day and discharged two days later. Mr Abdul Latif sustained a sternum fracture and left knee contusion. He was discharged a day after the incident. Investigations showed that standard safety procedures required the person operating the bollards to conduct a visual inspection of the bollards when activating them. ""When he activated the bollards, (Tan) had failed to conduct such a visual inspection and assumed that the car had passed the bollards, thus resulting in the collision,"" said Deputy Public Prosecutor Pang Jaime. Mr Pang sought a fine of S$2,500, citing the victims' severe injuries and Tan's failure to discharge his responsibility properly. Defence counsel Wee Qianliang informed the court that his client was fired as a result of the incident, and was currently unemployed. He asked for a lower fine of S$2,000. He said that the position of the control panel was such that Tan's back would be facing the road where the cars travelled, and that Tan did not notice any cars when he activated the bollards. Mr Wee added that Tan immediately offered help to the victims after the collision. He said Tan was remorseful for his actions and had written personal apology letters. The collision happened during the official visit of United States Vice President Kamala Harris to Singapore. Ms Harris was hosted by Prime Minister Lee Hsien Loong and had meetings at the Istana that day, according to a Ministry of Foreign Affairs press statement on her visit. Mr Chee retired in April, after serving 40 years in the public service and Singapore Armed Forces. The penalty for causing grievous hurt through a negligent act that endangers human life or personal safety is up to two years' jail, a fine of up to S$5,000 or both."
https://www.channelnewsasia.com/singapore/ns-defaulter-jailed-staying-overseas-without-permit-focusing-studies-2909356,"NS defaulter jailed for staying overseas without permit, said he was focusing on studies","SINGAPORE: A Taiwan-born Singaporean was jailed for nine weeks on Tuesday (Aug 30) for defaulting on his National Service (NS) obligations. Tsai Yi-hsuan, now 25, stayed outside Singapore for a total of almost four years and eight months without a valid exit permit. He pleaded guilty to three charges under the Enlistment Act. He told investigators that he did not approach authorities about his NS obligations each time he was in Singapore as he wanted to focus on his studies, according to court documents. Tsai has since completed his full-time NS in the Singapore Armed Forces. He is the 19th man to be jailed since the High Court set out the sentencing framework for NS defaulters in 2017. The court heard that Tsai was born in Taiwan in 1997. His mother and sister are Singaporeans, while his father is a former permanent resident.  Tsai grew up and was educated in Taiwan, according to Deputy Public Prosecutor Nicolle Ng. He has held four Singapore passports, which he used to travel in and out of the country on 12 occasions. He would travel to Singapore to visit his maternal relatives. Tsai had known that he held Singapore citizenship since elementary school. From the age of 16, he had also known that he was required to serve NS in Singapore as his mother told him so. After Tsai turned 16-and-a-half in 2013, he received an NS registration notice at an old address in Taiwan that was owned by his parents. Tsai's family was not living at that address, but arranged for a security guard to collect their letters there and retrieved the letters on a monthly basis. Tsai's father handed the NS registration notice to Tsai after collecting it. In May 2014, Tsai went to Singapore to register for NS and collect his identity card. He also updated his family's address in Taiwan with the Central Manpower Base (CMPB). Tsai was then found to have remained outside Singapore without a valid exit permit on several occasions from 2010, when he turned 13, to 2014. Under the Enlistment Act, all male Singaporeans and permanent citizens aged 13 and above must comply with exit permit requirements. When Tsai went to register for NS on Jun 3, 2014, the counter staff at CMPB reminded him to get a valid exit permit to stay outside Singapore. CMPB also acknowledged Tsai's application to defer NS for overseas studies and requested further documents to process this. But two days later, Tsai left for Taiwan without a valid exit permit. Later that month, Tsai's mother submitted supporting documents for her son's NS deferment. CMPB replied asking for more documents, including further proof from Tsai's school on his studies, and proof of overseas employment or business registration for Tsai's parents. When there was no response from Tsai's mother, CMPB emailed her again about a month later to no avail. It followed up with a letter to Tsai's updated address in Taiwan. Tsai confirmed that he and his family stayed at the address at the time. But as he was preparing for university entrance exams and his studies took priority, he did not ask his mother about his NS obligations. He next went to Singapore in September 2014 to attend his grandfather's funeral, returning to Taiwan after five days. On Oct 2, 2014, CMPB sent a letter to Tsai's old address in Taiwan stating that his application for NS deferment could not be considered. The letter also enclosed an order instructing Tsai to report to CMPB for his medical screening the next month, failing which he would become an NS defaulter. Tsai did not report for his medical screening in Singapore. On Feb 12, 2015, Tsai turned 18. He knew that he would be required to fulfil NS obligations upon reaching his enlistment age. But he did not follow up with his mother, who was helping with his NS deferment, as he was studying, said Ms Ng. Tsai remained overseas for the next few years, only coming to Singapore in April 2018 to perform rites at his grandmother's tomb. He returned to Taiwan about a week later. In October 2018, Tsai took the Oath of the Renunciation, Allegiance and Loyalty to retain his Singapore citizenship. Tsai wanted Singaporean citizenship as he thought that housing and good jobs were difficult to find in Taiwan. He felt that he could have a bright future and start a family in Singapore, said Ms Ng. But when Tsai was unable to renew his Singapore passport after that, his mother contacted the NS Call Centre. In January 2019, an enlistment inspector informed Tsai's mother that her son had committed offences under the Enlistment Act and was to report to CMPB in Singapore. Tsai came to Singapore on Feb 7, 2019 and surrendered at CMPB the next day. The prosecution sought the jail term imposed on Tsai, arguing that the objective was to preserve the core principles of national security, universality and equity affecting NS. ""The fact (that Tsai) had comparatively limited substantial connection to Singapore, by virtue of growing up and being educated in Taiwan, is not relevant to sentencing,"" said Ms Ng. On the contrary, Tsai was ""clearly aware of and identified with his Singapore citizenship"", she argued, pointing to his preference for Singapore citizenship in view of the life he could build. The mitigating factors were Tsai's voluntary surrender and plea of guilt, added the prosecutor. The Ministry of Defence previously said that it takes a firm stand against offenders, in response to past cases involving NS defaulters. ""If we allow Singapore citizens or permanent residents who are overseas to evade NS or to choose when they want to serve NS, we are not being fair to the vast majority of our national servicemen who serve their country dutifully, and the institution of NS will be undermined,"" said the ministry. The penalty for remaining outside Singapore without a valid exit permit is up to three years' jail, a fine of up to S$10,000 or both."
https://www.channelnewsasia.com/singapore/ex-hdb-director-obscene-video-men-safra-locker-room-2908816,"Former HDB director admits to taking obscene videos, photos of men","SINGAPORE: A man on Tuesday (Aug 30) admitted to taking obscene videos and photos of men in public places such as SAFRA locker rooms. Norman Leo Chee Wei Kiong, 61, was a director of housing finance at the Housing and Development Board in 2017, TODAY previously reported. His lawyer informed the court that he has since resigned. Chee pleaded guilty to four charges under the Films Act and two charges of committing a public nuisance. Eight more charges, including one for voyeurism, will be considered when he returns for sentencing. On Oct 28, 2020, Chee's offences were discovered after he tried to surreptitiously film a man he found attractive in a supermarket. The man noticed this and confronted Chee, who denied filming him. In the ensuing commotion, a supermarket employee called the police. While waiting for the police to arrive, both men were taken to wait in the security office, and Chee agreed to delete the video of the man. The man inspected Chee's photo gallery to ensure this was done, and noticed that it contained obscene videos featuring naked men. He alerted police to this when they arrived. Police discovered the obscene images and seized Chee's phone for forensic examination. During investigations, Chee admitted that he had a habit of filming and photographing men he considered attractive in public places such as gyms and communal changing rooms. His offences date back more than a decade. On Apr 26, 2012, Chee took two photos of a man clad only his underwear in a male locker room at an unknown SAFRA clubhouse. At a similar location on Jan 12, 2013, Chee used his phone to take five photos of a man with his private parts exposed. On Dec 31, 2018, Chee recorded a 25-second video of a fully naked man, capturing his face and private parts, at the male locker room of SAFRA Mount Faber. Chee also recorded obscene videos of a man, known as ""Billy"", in his own apartment. He filmed ""Billy"" wiping himself with a towel on Dec 22, 2017 and putting on his underwear on Sep 25, 2019. Both videos were more than a minute long. These videos were for Chee's personal gratification, according to court documents. Through forensic examination, 146 more obscene videos showing men engaged in sexual acts were found on Chee's phone. Deputy Public Prosecutor Colin Ng sought two to three weeks' jail and a fine of S$1,600 to S$2,000. He highlighted that Chee had taken videos and photos of unsuspecting men, and that the videos of ""Billy"" did not indicate that he knew he was being recorded. There was no evidence to suggest Chee had circulated the videos, but there was a ""latent risk"" of this as they were in a digital format on an Internet-connected device, added Mr Ng. Defence counsel Shashi Nathan sought no more than a week's jail, calling his client a ""very honourable man"". He highlighted that Chee resigned voluntarily even before his conviction, and that this was a ""painful decision"" after building his career for more than 35 years. Mr Nathan said this ""fall from grace"" had been enlightening for Chee, who had kept parts of his life hidden from people around him and was ""living under a shadow"" before the offences came to light. He also argued that Chee was the primary caregiver for his elderly mother, who suffers from ovarian cancer. The prosecutor countered that Chee's offences were committed in his personal capacity unrelated to his work, and that his resignation was a personal decision and not a mitigating factor. District Judge Kessler Soh said he needed time to consider the appropriate sentence, and adjourned the hearing to Sep 9."
https://www.channelnewsasia.com/singapore/lawyer-breach-gag-order-victim-identity-doctor-molest-acquit-2908706,Lawyer Eugene Thuraisingam fined for breaching gag order in case of doctor acquitted of molestation,"SINGAPORE: Lawyer Eugene Thuraisingam, 47, was on Tuesday (Aug 30) fined S$4,000 for breaching a gag order in the case of a doctor who was later acquitted of molestation. He led the team of lawyers for the defendant in that case, Dr Yeo Sow Nam. A junior lawyer on the team, Johannes Hadi, also faces charges related to the gag order. Thuraisingam, the managing partner of his eponymous law firm, is a senior member of Singapore's Criminal Bar with more than 20 years in practice. He pleaded guilty to a charge under the State Courts Act, with another charge taken into consideration for sentencing. From Mar 1 to Mar 5, 2021, Dr Yeo was tried in private on accusations that he outraged a woman's modesty at Mount Elizabeth Hospital in 2017. The woman's identity was protected under a court order issued on Feb 7, 2020. This prohibited the publication of her name, address, photograph or any information likely to lead to her identification. Gag orders are usually imposed to protect minors, vulnerable persons and victims in sexual offence cases, a lawyer previously told CNA. On Mar 5, 2021, the fifth day of trial, Thuraisingam sought the trial judge's permission to distribute the transcripts of the proceedings, which were in private, to members of the media. He gave an undertaking to the court that any distribution of the transcripts to the media would carry redactions of the woman's identity and a warning about the gag order in place. The trial judge granted Thuraisingam's application on the basis that the lawyer would make the necessary redactions and there would be no breach of the gag order. On Mar 16, 2021, after the team received the transcripts for the first four days of trial, Thuraisingam sent Hadi instructions over email about distributing them to the media. ""Pls remember to black out complainant's name and remind the press that they cannot print the complainant's name,"" he wrote, referring to the woman who was the complainant against Dr Yeo. ""Explain that we applied for an order that we be allowed to furnish the press with the transcripts,"" he added. Thuraisingam did not instruct Hadi to redact all information likely to lead to the identification of the woman, Deputy Public Prosecutors Sivakumar Ramasamy and Sivanathan Jheevanesh said. Following the senior lawyer's instructions, Hadi redacted only the woman's name from the transcripts and emailed them to journalists from Mediacorp and Singapore Press Holdings (SPH) on Mar 16, 2021. In his emails to media, Hadi wrote: ""We are now releasing transcripts to you, but with the complainant's name redacted as the gag order in relation to the complainant's identity remains in place."" On Jun 26, 2021, the prosecution in Dr Yeo's case applied to withdraw the charges against the doctor. At the same time, Thuraisingam indicated that the defence would apply for the gag order to be lifted. A hearing was scheduled on Aug 16, 2021 for the charges to be withdrawn and both sides to make their arguments on the gag order lifting application. In preparation for the hearing, the prosecution filed written submissions contesting the gag order lifting application on Aug 4, 2021. The prosecution requested to expand the scope of the gag order to include the identities of witnesses who were the woman's colleagues, the name of the product marketed by the woman, her relationship with Dr Yeo and the name of her employer at the time. Before the hearing, between Aug 4 and Aug 11, 2021, Thuraisingam instructed Hadi to distribute transcripts of the trial and the defence's written submissions applying to lift the gag order to members of the media. Thuraisingam again did not instruct Hadi to redact all information likely to lead to the woman's identification, said Mr Sivakumar and Mr Sivanathan. Accordingly, Hadi emailed a bundle of the transcripts and submissions to journalists from Mediacorp, SPH, South China Morning Post, Mothership, Yahoo News, The China Press Malaysia and The Online Citizen on Aug 11, 2021. The front page of the bundle carried the notation: ""All transcripts have been redacted pursuant to the gag order in place at the time of writing in relation to the identification of the complainant."" However, the transcripts contained unredacted information likely to lead to the woman's identification, including her age, date of birth, current occupation, current employer and occupation at the time of the alleged molestation. The transcripts also contained information that was the subject of the prosecution's application to expand the scope of the gag order. At the hearing on Aug 16, 2021, Dr Yeo was given a discharge amounting to an acquittal after the prosecution withdrew all charges against him. Dr Yeo's lawyers then withdrew the application to lift the gag order. When the trial judge asked for the defence's position on the prosecution's application to expand the gag order, Thuraisingam said: ""If the prosecution says that it's necessary to protect the alleged complainant's identity, we take no position."" The trial judge then granted the expanded gag order, which remains in force. Prosecutors sought a fine of at least S$4,000, arguing that in a case involving the likelihood of the complainant being identified, the potential harm caused by Thuraisingam's offences was a key issue. Given the number of media outlets the transcripts were sent to, with a notation that they were redacted in compliance with the gag order, the potential harm was medium if not high, the prosecutors argued. Thuraisingam's actions were inadequate as he left the redaction to the most junior lawyer on the team, who had only two years in practice at the time, and did not check the transcripts before they were sent, said Mr Sivakumar. The only guidance he gave was to redact the woman's name, and this conduct by an experienced member of the Bar ""fell short"", argued the prosecutor. Defence counsel Jerrie Tan of K&L Gates Straits Law said her client accepted the prosecution's proposed fine. Ms Tan urged the court to consider that the complainant's name, the ""most critical part"" of her identity, was redacted, and that no actual harm ensued as a result of the oversight. She contended that Thuraisingam's email to Hadi arose out of a genuine concern that the junior lawyer might forget to redact the complainant's name and remind the press about the gag order. Ms Tan also asked the court to consider the offences in light of ""the type of lawyer"" her client has been, highlighting his pro bono work, including defending clients facing the death penalty, and his firm's donations to the Law Society's pro bono services. District Judge Toh Yung Cheong said that the release of identifying information to the media could have led to the ""re-victimisation"" of the complainant, which the gag order was supposed to protect her from. Any leak of information could also affect public confidence in the legal system and the confidence of other victims to testify in court, said the judge. He said that Thuraisingam's efforts to follow the gag order were insufficient, and this was the main cause of the breach. The senior lawyer was entitled to ask a junior colleague to handle the transcripts, but gave incomplete instructions to Hadi and did not check the redaction before they were sent, said Judge Toh. The prosecution's application to expand the gag order would also have alerted Thuraisingam to the fact that they were concerned about other information about the complainant being made public, said the judge. The penalty for breaching a gag order is up to a year in jail, a fine of up to S$5,000 or both."
