Link,Title,Content
https://www.channelnewsasia.com/style-beauty/tiffany-young-girls-generation-singapore-lancome-korean-drama-disney-2895076,"Girls' Generation's Tiffany Young on her K-drama debut, her love for Disney and the one thing she ‘could never’ do","Tiffany Young glows – in truly every way a person can glow.  I hear her before I see her. The CNA Lifestyle team is busy setting up in a hotel room at the Hilton Orchard on Wednesday (Aug 24) afternoon when a familiar voice floats into the room from the hallway of the suite.  “Wait, is that her? It’s not time for our interview, is it?” asks a member of the crew, a little panicked. After all, from experience, celebrities don’t typically appear until the absolute final moment.  It is her. After routinely listening to her 2019 English single Magnetic Moon before heading out of the house, I can recognise her voice anywhere. But she just wants to say hi before she pops into the room next door for her first interview.  As she makes her way through the melee of busy staff towards us, I am instantly struck by her delicate figure. Her face, tinted in the signature Korean “no makeup” makeup, exudes an elfin charm.  “Hi, I’m Tiffany!” she says, stretching out a hand. Even her voice sparkles.  Most celebrities, the first time you meet them, appear larger than life, sometimes intimidating. But with Young, one of the lead singers of K-pop supergroup Girls' Generation, I feel right at home.  I am filled with that same feeling when we finally sit down for our interview, in chairs parked in front of the hotel bed. We’d earlier requested for the interview to be conducted in the bed, to evoke the feeling of a sleepover. But her managers said no – it didn’t fit Girls’ Generation's wholesome image.  As it turns out, Young is not all that shy.  “Ooh this is the first time I’m doing an interview in front of a bed. How intimate!” she quips.  I take the opportunity to ask her about her bedtime routine – specifically if she ever goes to bed with her makeup on.  “I’m going to be honest – I haven’t slept much in the last five days (because of work),” she tells me. “I napped with my makeup on a few times.” But other than that, she’s “very strict” – she always takes off her makeup before going to bed and is a little horrified when I say that I don’t do that sometimes when I’m exhausted.  “You can’t do that!” she says. “During this promotion, I’m not going to lie, I would sometimes sleep with my makeup on, but I would never. I could never.  “I realise I could never because I had a few drinks the other day and I still erased my makeup and put on my serum. So, I realise my level of strictness through my drunkenness.” ON AGEING GRACEFULLY By this time I’m thinking how funny it is that I didn’t get my request for a “sleepover” but it feels like a sleepover anyway.  Young’s strict cleansing rule isn’t just for the sake of beauty; it’s also a chance to pamper herself.  “I’m learning to be present during my cleansing routine. That’s when you’re really connecting with yourself. That’s when you’re like ‘Wow, you had a long day. You did great, sweetie.’ “This is when your inner voice comes out and starts saying nice things. You know, not every time you’re nice to yourself,” she tells me.  I find it a little hard to believe that the pop star, who's had more than five well-received singles out since going solo in 2017 and who is currently pursuing acting, has time every night for a pep talk and a complete beauty routine. “If I’m really tired, after cleansing, I will put on a face mask because it gets everything done. And then I just leave it on,” she says.  It’s my turn to be horrified: “You can do that?” “It depends on the mask,” she reveals. “There’s the gel type, a satin type and a silk type. Don’t leave the silk type on because it dries everything up. A gel mask, you can leave on.” I can tell she’s generous so I push for another skincare tip. I’m seated less than a metre away from her and I can’t see any signs of under eye ageing. Despite her claim that she has barely slept in days, she has no visible dark eye rings or eyebags.  “My glam team is incredible,” she says seriously. “I also drink a lot of water and electrolytes. I think that is the secret. People just think water but recently I’ve been making sure I drink a lot of electrolytes after a rehearsal.”  The topic of beauty makes Tiffany Young, who is 33, feel nostalgic.  Later that night, she is making an appearance at a Lancome event promoting the brand’s Beauty Tech flagship store, as its ambassador. Young, like me, grew up with Lancome. We share stories of how we used to spray the brand’s inimitable Miracle fragrance as children and our unquenching lust for Juicy Tubes lip gloss.  “Growing up in the ‘90s and early 2000s, beauty trends were explosive. My mum would always be wearing red lips and red nails, and that influenced me a lot. I also love the divas, like Whitney Houston and Mariah Carey, who are always so glammed up. “But I love that now, beauty and makeup has become a part of everyone’s routine. It’s a form of empowerment and self-expression – it’s no longer just for a certain type of person or group.” The tagline for the Beauty Tech Flagship Store, an immersive experience outside Mandarin Gallery that will last through Sep 7, is “Strong is the new young”.  I wonder out loud if it was planned, seeing as Young is her last name.  “It wasn’t! It's just meant to be,"" she says. “I love how Lancome brings back their ambassadors from before, like Julia Roberts and Penelope Cruz. I remember seeing their campaigns from a long time ago and now we get to see them again and see how much more beautiful they are over time. “Ageing gracefully to me means awareness and mindfulness – truly being able to be present and taking in the details, whether it’s seeing beauty in yourself or in others or in a situation. I think that's the key to ageing gracefully. I don’t think it’s a certain look or a photo or a product – it really is a mindset."" ON DREAMS Going back to the theme of sleep, I ask Young if she has a favourite lullaby. She is thrilled, as if she’s been waiting for someone to ask her this all her life.  “I’m a big Disney fan!” she exclaims, before proceeding to serenade me with A Dream Is A Wish Your Heart Makes from Cinderella.  “When I was young, I really loved the musical boxes that had a little ballerina in it and that played songs like Twinkle Twinkle Little Star. I love a good classical lullaby.  “But recently, I’ve been obsessed with Elvis Presley and if you listen to the Elvis movie soundtrack, there’s the song Can’t Help Falling In Love by Kacey Musgraves. That is like the sweetest lullaby… I can fall asleep to that.” Last year, Young fulfilled one of her dreams: To play Roxie Hart in Chicago the Musical. She loved playing the sassy villain character so much in the South Korean production of the Broadway hit that she hopes to do it again.  “After that season – I won’t lie – I still practise that monologue. Because I’m like, I’m going to be ready to take that stage again next season.”  The singer-songwriter has indeed been bitten by the acting bug.  She tells me she just finished shooting her first K-drama airing in November, in which she plays financial analyst Rachel alongside Song Joong-ki of Descendants Of The Sun fame.  “It was my first time so I was learning a lot. I loved that I got to represent an Asian-American woman, who’s there to be a boss,” she tells me, adding that she’s also eyeing other Korean musical roles, like Lucy Harris from Jekyll and Hyde, Glinda the Good witch from Wicked, and Satine from Moulin Rouge.  She also wants to play Princess Jasmine from Aladdin, whose Broadway production she has seen a whopping six times. I tell her I played Princess Jasmine in a primary school production and she squeals.  “You’ve had your Disney princess moment! I haven’t. That’s literally my goal in life. “There are so many different, amazing stories that are being written and there will come a time for an Asian-American princess.” At this point, Young looks straight into the camera, flashes a cheeky grin similar to the one she sported in Girls’ Generation’s world-famous music video for Gee, and says: “Hi, Disney.” Now who could say no to that?"
https://www.channelnewsasia.com/entertainment/universal-studios-singapore-halloween-horror-nights-haunted-houses-2878446,Get ready to scream: Halloween Horror Nights at Universal Studios Singapore is back after a two-year hiatus,"Universal Studios Singapore’s Halloween Horror Nights is finally back for its 10th edition this year. Its last instalment was in 2019, before the COVID-19 pandemic. From Sep 30 to Nov 5, on selected nights, scare-seekers can explore three haunted houses, two scare zones, a laser tag challenge, a “horrifying” dining experience, among others. WHAT'S NEW  In addition to its series of haunted houses, which fans of the popular Halloween event have come to expect, visitors can opt for add-ons (at extra cost), such as the Monsters & Manifestation (S$38) experience. The tour, hosted by a character called The Keeper, no less, takes a look at the technical magic that goes on behind the thrills.  Fans of laser tag and escape rooms will appreciate the laser tag challenge (S$38). Here, groups of five people have to band together to tackle puzzles to escape from blood-thirsty villains.  And this year, for S$105 a person, you can even share a somewhat macabre meal with “dead guests” at the theme park’s KT’s Grill restaurant.  HAUNTED HOUSES: ZOMBIES, SECRET MANSION AND MORE  Halloween isn’t quite Halloween without a horror house or two. Or three, as is the case at Halloween Horror Nights. This year's ""headlining"" house, Killustrator: The Final Chapter, was created as a tribute to some of the scariest moments from the event’s previous nine editions.  Plus, get ready to be scared out of your wits in a zombie apocalypse, and a tour of a luxurious – but haunted, obviously – mansion once home to a rich tycoon and his wife.  PONTIANAK AND ASTROLOGY-THEMED SCARE ZONES What’s a horror night without scare zones? Keep your friends close as you explore two scare zones in the park. Astrology gets a horror twist with The Dark Zodiac, and you can also be part of a livestream challenge to trap the pontianak, a ghost synonymous with Southeast Asian folklore.   Halloween Horror Nights 10 will take place from Sep 30 to Nov 5 at Universal Studios Singapore, Resorts World Sentosa. You can buy your tickets here; regular tickets cost S$78 for peak nights and S$68 for non-peak nights, per guest. "
https://www.channelnewsasia.com/entertainment/anne-heche-hollywood-actress-car-crash-death-2878291,Actress Anne Heche dies from injuries following car crash,"Hollywood actor Anne Heche has been declared legally dead, one week after she crashed her car into a Los Angeles building, a spokeswoman said Friday. Heche, 53, had been comatose in hospital with a severe brain injury since the fiery collision on August 5. Having lost all brain function, she is ""legally dead according to California law"", though her heart is still beating as her family keeps her body on life support while exploring organ donations, spokeswoman Holly Baird told AFP. ""Today we lost a bright light, a kind and most joyful soul, a loving mother, and a loyal friend,"" the family said in a joint statement. ""Anne will be deeply missed but she lives on through her beautiful sons, her iconic body of work, and her passionate advocacy. ""Her bravery for always standing in her truth, spreading her message of love and acceptance, will continue to have a lasting impact."" Heche, best known for 1990s movies Donnie Brasco and Six Days, Seven Nights as well as a high-profile relationship with talk show host Ellen DeGeneres, crashed her car into a two-storey house in the Mar Vista neighbourhood of Los Angeles. The violent collision resulted in ""structural compromise and... heavy fire"" at the scene, according to the Los Angeles Fire Department. The ensuing blaze took 59 firefighters more than an hour to contain and fully extinguish, the department said. Local media reported Thursday that preliminary tests of Heche's blood had come back positive for narcotics, though more were needed to ensure the drugs had not been administered in the course of her treatment. Celebrity gossip outlet TMZ, citing unnamed police sources, said Heche had tested positive for cocaine and fentanyl, with the latter sometimes used for pain relief in clinical settings. Heche rose to fame with her role on the soap opera Another World, for which she won a Daytime Emmy in 1991.  She was nominated for a Tony award for her appearance in Twentieth Century on Broadway in 2004. ""My brother Atlas and I lost our Mum,"" Heche's son Homer Laffoon said in a separate statement. ""Hopefully my mum is free from pain and beginning to explore what I like to imagine as her eternal freedom,"" he wrote."
https://www.channelnewsasia.com/entertainment/jeff-ng-national-day-gardens-bay-2868491,TikTok sensation Jeff Ng to make a special appearance at Gardens by the Bay picnic on National Day,"If you’ve managed to secure tickets to National Day Picnic by the Bay (congrats, as it’s all sold out), you’ll not only enjoy sweeping views of the NDP fireworks but will also catch singer and musician Jeff Ng, aka JeffHelloMusic, performing live. “See you guys at 5pm!” he wrote on Instagram Stories a couple of hours ago. The picnic organiser, HomeTeamNS, announced its guest lineup on August 5 (Friday), which includes TikTok dancer Uncle Raymond, after registration for the event closed.  While Ng didn’t reveal which songs he will be performing at the National Day event, we’re placing our bets on him singing Home. He posted a clip of himself singing the 1998 NDP theme song on social media less than a week ago, saying: “The lyrics of this song are really meaningful and close to heart. Here's wishing Singapore a happy 57th birthday!”"
https://www.channelnewsasia.com/entertainment/game-thrones-hbo-iron-throne-2867796,The Iron Throne up for grabs again in Game of Thrones prequel series,"The show starts with King Viserys Targaryen (Paddy Considine) having to choose an heir, either his dutiful daughter, Princess Rhaenyra, or his wayward and violent brother, Prince Daemon. ""There's so much that Daemon gets away with because his brother is the king,"" Considine said in an interview with Reuters. ""It's not until he breaks my heart with his words that I do act,"" Considine added.  The show is based on passages of George R.R. Martin's 2018 novel Fire & Blood, which gave a brief history of the Targaryen family 200 years before Game of Thrones. The crux of the show lies with the relationship between two women, Alicent Hightower and Princess Rhaenyra. The two are close until Rhaenyra's mother dies and Alicent marries King Viserys and becomes the queen, demanding that her children become the heirs to the throne. ""You're going there from the (point of view) of two women for the first time,"" said Emma D'Arcy, who plays the older Princess Rhaenyra in the generation-spanning story. ""It's a show that interrogates patriarchy, misogyny and power."" Some fans complained about the finale of the original Game of Thrones series. House of the Dragon co-creator Ryan Condal said the ending of the new series is already planned.  ""We do have a plan out in front of us, but the main idea is to tell as much story as the book gives us and instead of overstaying your welcome, to get out and leave them wanting a little bit more,"" Condal said. The series debuts on HBO on Aug 21."
https://www.channelnewsasia.com/asia/mirror-boy-band-accident-falling-screen-dancers-hong-kong-stage-safety-2844276,Safety in the spotlight in Hong Kong after string of Mirror boy band concert accidents,"SINGAPORE: A spate of stage incidents involving Hong Kong’s hugely popular boy band Mirror has prompted authorities to order an official inquiry, amid debate on whether shoddy concert production quality or insufficient rehearsal time is to blame. Performers in the 12-member Cantopop band had suffered falls, injuries and near-misses since the start of a series of scheduled concerts at the beginning of this week. The most serious incident occurred on Thursday evening (Jul 28) after a massive video screen suspended above the stage fell on two dancers, leaving one in a serious condition. Concert organiser MakerVille, which is owned by Hong Kong tycoon Richard Li’s telecom giant PCCW, told local media early Friday morning that the dancer, who goes by Mo, remains in intensive care. A medical source told South China Morning Post that the impact dislocated the third and fourth section of the dancer's cervical vertebrae, leaving him unable to move his limbs. His head and lungs were also injured. The other dancer sustained scratches and sprained muscles and was discharged after observation, said MakerVille CEO Lo Ting-fai. Three audience members were also taken to hospital with one feeling unwell and the other two in shock, but none required treatment, the Associated Press reported. None of the 12 members of Mirror was hurt. A Hong Kong official told reporters on Friday that ""from initial observation, a wire fractured and led to the fall of the screen and caused the dancers to be injured"". Experts told the South China Morning Post that such accidents were rare at the concert venue – the Hong Kong Coliseum – although one structural engineer questioned if stage equipment had been properly installed, and speculated that a lock to fasten the wiring for such giant video panels could have failed. On social media, fans have questioned whether the production companies were at fault, with some commenters posting unverified claims of the firms being linked with the Chinese government. Others shared the video with a #MadeInChina hashtag, saying the incident was a byproduct of China’s uncompromising rule over Hong Kong. The Art Design & Production firm clarified on Facebook that while it was responsible for props and stage surfaces at the concert, it had no part to play in the engineering or operations that led to the screen falling. In an incident on Tuesday, Mirror member Frankie Chan lost his footing and fell about a metre off the edge of the stage while giving a speech. He later posted on social media, saying: ""Sorry for making everyone worry … Only some bruises. I'm a lucky man.""  The night before, local media reported that band member Anson Kong nearly fell off a rising platform he was dancing on, adding that the structure and other stage features were shaking and wobbling under the weight of performers. Fans also filmed other Mirror members appearing to miss dance steps while on dimly lit and fenceless structures, some suspended in mid-air. An online petition urging concert organisers to better ensure safety was launched on Tuesday night, garnering more than 13,000 signatures since. The Hong Kong government also contacted the organisers that same night to demand improvements, resulting in “dangerous moves” being cancelled and fences installed at the next performance on Wednesday, according to local media. Thursday’s incident – where the audience can be heard screaming in horror in distressing footage being circulated online – was the final straw for the Hong Kong government, which has halted the Mirror concert series until the stage production can be proven safe.  Hong Kong film stalwart Louis Koo, who is president of the city’s performing artistes guild, on Friday morning called for people to stop reposting the accident clips. The key thing is to review the safety issues to avoid repeating the same mistakes, he said on social media. Fellow entertainer Aaron Kwok meanwhile spoke out against reports that Mirror performers had only rehearsed for two days before the start of the concert series on Monday. Kwok said he needed at least three to four days to rehearse at venues, and before that, he would also practise in a different venue with a replica stage, according to Variety magazine. With the Hong Kong Theatre Arts Practitioners Union and several city lawmakers calling for a probe, Hong Kong chief executive John Lee issued a statement early on Friday ordering a thorough investigation and review of safety requirements at similar events. This was to ensure the safety of performers, crew and the public, said Mr Lee, adding: “I express sympathy to those who were injured and hope that they will recover soon.” "
https://www.channelnewsasia.com/entertainment/kate-mckinnon-and-pete-davidson-saturday-night-live-2698891,Kate McKinnon and Pete Davidson leaving Saturday Night Live,"Kate McKinnon and Pete Davidson are among those departing from Saturday Night Live, leaving the sketch institution without arguably its two most famous names after Saturday's 47th season finale. Aidy Bryant and Kyle Mooney will also leave the cast after the episode hosted by Natasha Lyonne. The departures represent one of the biggest cast shake-ups in years on a show that has seen unusual steadiness in recent seasons. McKinnon, 38, won two Emmys and was nominated for nine in her 10 seasons on the show, during which her impressions included Hillary Clinton, and former Attorney General Jeff Sessions. Her comic chops with characters like alien abductee Miss Rafferty frequently drove castmates and guest hosts to lose it live on air. McKinnon opened the show with an out-of-this-world skit, and said her final goodbyes on “Earth”. “I love ya, thanks for letting me stay awhile. Live from New York, it's Saturday night,” she said to open the show. The 28-year-old Davidson joined the cast in 2014 and has appeared in eight seasons. His own outsize personality often outshone the characters he played. His comic commentaries as himself on Weekend Update were often his most viral bits. And he was as well-known for his life offscreen – dating Ariana Grande and current girlfriend Kim Kardashian – as on. “I never imagined this would be my life,” Davidson said during the show. “I appreciate SNL for always having my back, for allowing me to work on myself and grow. Thank you to Lauren for never giving up on me or judging me even when everyone else was, for believing in me and allowing me to have a place I could call home with the memories that will last a lifetime. Thank you.” Bryant, 35, joined the cast at the same time as McKinnon and has been a constant in sketches ever since, getting four Emmy nominations of her own. Mooney, 37, appeared in nine seasons starting in 2013."
https://www.channelnewsasia.com/entertainment/kourtney-kardashian-travis-barker-portofino-wedding-2698556,"Kourtney Kardashian and Travis Barker hit Portofino, Italy for a long wedding weekend","The Kravis wedding train has rolled into Italy. After a Las Vegas practice wedding (no marriage license) with an Elvis impersonator officiating, followed by a small ceremony (with license) in Santa Barbara, California, Kourtney Kardashian and Travis Barker stepped out Friday in the jet set playground of Portofino, a fishing village known for its multicoloured houses and crystalline green water on the Italian Riviera coast. Photographers snapped the couple, along with the rest of the Kardashian-Jenner clan, as they arrived for dinner clad in Dolce & Gabbana. Notably absent was Scott Disick, the father of Kourtney's three children. They took to the streets again Saturday on their way to lunch, Kourtney in a veil and short black dress emblazoned with a likeness of the Virgin Mary. The wedding was to be held at some point over the weekend at the rented Castello Brown, a castle built in the Middle Ages overlooking the Gulf of Portofino, according to TMZ. The reality star, 43, and the Blink-182 drummer, 46, are known for their PDA and didn't disappoint in Portofino, where they were seen Friday on a boat sharing a kiss in the abundant sun – she in a T-shirt of her beau's band and he in his favourite style condition: Shirtless with his multiple tattoos on display. On their way to dinner, “momager” Kris Jenner was in a black dress on the arm of Guilherme Siqueira, a brand ambassador for Dolce & Gabbana. With sis Kim's eldest child, North West, and her own daughter, Penelope Disick, at her side, Kourtney wore a sheer corseted red gown and matching furry stole. Barker? Shirtless under a black suit as he walked with daughter Alabama. The third wedding round was to include family and a small circle of close friends, with a larger reception planned later in Los Angeles, according to reports. Barker and the oldest Kardashian sister went Instagram official with their relationship early last year. He popped the question in October, beachside with a ring of red roses and white candles at a Montecito, California, hotel. Last month, just hours after the Grammys, word of a Las Vegas wedding spread quickly, though no marriage license could be found. Kourtney later clarified they couldn't get one in the wee hours but went ahead with a drunken practice run. In Santa Barbara, they posted photos after making it legal at the courthouse May 15, the bride in a short white dress with veil and the groom in black, his coat buttoned up for a change. Travis’ father, Randy Barker, and Kourtney’s grandmother, Mary Jo “MJ” Campbell, were in attendance. Kourtney didn't marry Disick. Barker has been married twice. His first marriage, to Melissa Kennedy, lasted nine months. His last divorce, from Shanna Moakler, came in 2008. They wed in 2004 and share two teen kids, Alabama and son Landon. Barker is also close with his 23-year-old stepdaughter, Atiana De La Hoya, from Moakler's previous relationship with former boxer Oscar De La Hoya. The Kardashians ended their long-running Keeping Up with the Kardashians on E! last year and decamped to Hulu for a new iteration, The Kardashians, which debuted in April."
https://www.channelnewsasia.com/entertainment/xiang-yun-graduation-singapore-actress-2697561,‘I’m very happy to complete a part of my dream’: Actress Xiang Yun is now officially a nutrition consultant,"It’s convocation season – and celebrations are in order for local actress Xiang Yun, who has completed a nutrition course from the International College of Holistic Health.   “Today, I am very happy to complete a part of my dream. In addition to understanding a healthy life and nutritious diet, I also understand that true health includes all aspects of the body and mind,” she wrote on her Instagram page. She’s officially a nutrition consultant now.  Her husband Edmund Chen also took to social media to honour the actress’ achievement, noting that he had witnessed her “persistence and hard work in the past one year and eight months”.  The actress admitted that it was “challenging” to return to life as a student, after having been away from campus for decades. Chen, too, revealed that his wife had to juggle filming and nutrition classes throughout this period.  Said her son Chen Xi on Instagram, “I didn’t expect myself to get emotional over this. But I always remember how my mum loved to learn; how she never had the chance to complete her education journey due to financial challenges in those days. “Like many of them in that generation, she gave it up, started working for the family, and became the woman you knew on the screens.”   Her colleagues and friends in the industry, including Huang Biren, Quan Yifeng and Pan Lingling, also congratulated her on her Instagram post. Congra-duations, Xiang Yun! "
https://www.channelnewsasia.com/entertainment/olivia-rodrigo-drake-kanye-west-make-early-winners-billboard-music-awards-2687231,"Olivia Rodrigo, Drake, Kanye West make early winners at Billboard Music Awards","Olivia Rodrigo, Kanye West and Drake are already big winners before the Billboard Music Awards officially kicks off. Rodrigo and West, known as Ye, both have taken home the most awards with six during a non-televised ceremony on Sunday. Rodrigo, who won best new artist, is a finalist in the top female artist category, which will be announced later in the show's live broadcast. Sean “Diddy” Combs will emcee the show, which is being broadcast live from the MGM Grand Arena in Las Vegas and will air live beginning at 8pm Eastern on NBC and its Peacock streaming service. Drake was named top artist, male artist, rap artist, rap male artist and rap album for Certified Lover Boy. The rapper extended his record as the most decorated winner in the history of the awards show with 34 wins. Ye made his mark in the faith-based categories – again: The rapper won top Christian artist for the first time, but he claimed top gospel artist and gospel song for a third year in a row. He also received top gospel album for the second time. The Kid LAROI became a first-time winner, taking home five wins for his song Stay with Justin Bieber – whose Billboard Music Awards win count rose to 26. Doja Cat won top R&B artist and R&B female artist for the second consecutive year. She'll compete for top R&B album and female artist. Taylor Swift – who has the second most-ever award show wins with 29 – won four awards. Bad Bunny received two wins while R&B duo Silk Sonic, comprised of Bruno Mars and Anderson .Paak, won their first-ever award for top R&B song through Leave the Door Open. The show will include performances by Travis Scott, Ed Sheeran, Becky G and other artists who have enjoyed chart-topping success. Becky G, who released the album Esquemas on Friday, will perform her hit song MAMIII, which topped the Billboard’s Hot Latin Songs chart. Sheeran will deliver a remote performance from Northern Ireland, where he is on tour. Other acts taking the stage include Scott, who’s nominated in the dance/electronic music category, as well as Miranda Lambert, Meghan Thee Stallion, Morgan Wallen, and Grammy Awards darlings Silk Sonic. Nominees are determined by Billboard chart rankings and winners are selected based on several criteria, including their album and digital song sales, airplay and streaming success and touring."
