Link,Title,Content
https://www.theonion.com/intimacy-coordinator-hired-for-set-of-hard-knocks-to-1849183624,Intimacy Coordinator Hired For Set Of ‘Hard Knocks’ To Ensure Safe Environment For Tackling,"ALLEN PARK, MI—In an effort to provide more support to the athletes during the most difficult parts of filming, the  producers of Hard Knocks announced Tuesday they had hired an intimacy coordinator for the set of the show to ensure a safe environment for tackling. “Having an intimacy coordinator working closely with our linebackers and defensive backs creates a nurturing environment that focuses on player well-being during tackling and blocking scenes,” said Lions head coach Dan Campbell, watching on a closed set as Hard Knocks intimacy coordinator Kina Paulette spoke with defensive lineman Alim McNeill and running back D’Andre Swift to make sure the two felt comfortable shooting a scene in which McNeill would tackle Swift. “Having Kina on the set really makes for a more tackling-positive environment. I can’t tell you how much better [quarterback] Jared Goff feels knowing that if we want to film him getting sacked, he has the opportunity to express any concerns he has about the shot before we do it. Players feel much comfortable when we don’t have a lot of extra people hanging around for scenes that are pretty intimate, like when we have several guys tackling each other in sensitive places, or piled on top of each other. Ultimately, the scenes these guys film will be onscreen and viewed by a lot of people, so it makes sense to foster an environment of sensitivity and mutual respect.” At press time, Paulette was observed working with the Lions’ long snapper and punter before they removed their robes to film a nude punting scene."
https://www.theonion.com/kylie-jenner-criticized-for-taking-12-minute-flight-on-1849367528,Kylie Jenner Criticized For Taking 12-Minute Flight On Private Endangered Whooping Crane,"LOS ANGELES—Facing backlash  for the environmental impact of her choice and for her general lack of awareness, socialite Kylie Jenner was criticized Thursday for taking a 12-minute flight on her private endangered whooping crane. “It just seems completely unfair that regular people are being asked to make all these sacrifices to reduce their carbon footprint when a celebrity like Kylie Jenner is  out there traveling incredibly short distances on her own personal migratory bird,” Twitter user Sam_Flx01 wrote in a viral thread that included a photo showing the route Jenner’s whooping crane took from Los Angeles to Santa Barbara. “These spoiled elites think they’re entitled to get places faster and with more avian majesty than the rest of us. But do you have any idea how many mollusks and aquatic plants she has to feed that thing to give it the energy to fly?  And she’s not the only one—the worst offender might be Taylor Swift, who has taken six different flights of under 20 minutes on her private peregrine falcon in the past week alone. And when she’s not riding it, she’s renting it out to other celebs. It’s ridiculous. Get off that whooping crane, Kylie, and come back down to Earth.” Critics added that using a private bird to travel such short distances was especially wasteful, as Jenner could have just as easily gone by private elephant. "
https://www.theonion.com/tom-cruise-receives-standing-ovation-for-entering-canne-1848950109,Tom Cruise Receives Standing Ovation For Entering Cannes With Cartwheel,"CANNES, FRANCE—Showered with praise for pulling off the spectacular feat, blockbuster actor Tom Cruise received a standing ovation at the Cannes Film Festival Wednesday when he arrived for the premiere of  Top Gun: Maverick with a cartwheel. “Wow, how does he do it? This is why he’s a movie star,” said festival attendee James Dupont, who appeared mesmerized as Cruise announced, “Hey, everyone, look at me!” and raised two hands high into the air, proceeding to execute the most daring cartwheel ever witnessed on the red carpet at Cannes. “I can’t believe he did that! He could’ve died, you know. You don’t see a lot of actors able to do a cartwheel like he does. Most of them use stunt doubles, but not Tom Cruise! He must’ve had to train for months. Oh my God, he’s about to do a somersault, too—I’m crying.” At press time, the crowd was reportedly dazzled by Tom Cruise running up the stairs to the stage two steps at a time. "
https://www.theonion.com/hbo-executives-hoping-george-r-r-martin-finishes-final-1848698894,HBO Executives Hoping George R.R. Martin Finishes Final ‘Euphoria’ Book Before Next Season,"NEW YORK—Expressing concern for the future of one of their most popular series, HBO executives revealed their hopes Friday that George R.R. Martin would finish writing the final Euphoria novel before it was time to start production on the show’s next season. “As a celebrated and beguiling storyteller, George is really the only one who can properly conclude this nuanced and complex narrative of Gen Z high school students struggling with issues of identity, addiction, and sex,” said executive producer Kevin Turen, explaining that the 73-year-old novelist had provided showrunners with some vague outlines as to how the series should proceed, but the storyline wouldn’t be solidified in its entirety until the last Euphoria book, Cascade Of The Realms, had been completed. “We try to stay true to the author’s vision, although die-hard Euphoria fans will of course note the differences between Martin’s sprawling novels and the show. We’ve actually gone slightly ahead of the books as of now, but we’re working closely with George to ensure we capture the authentic teenage voices of Rue, Lexi, Jules, and the rest.” Turen went on to confirm rumors that season three  would finally feature the beloved dragon characters from Martin’s Euphoria books.  "
https://www.theonion.com/laura-dern-and-t-rex-reexamine-68-million-year-age-gap-1849040587,Laura Dern And T. Rex Reexamine 68-Million-Year Age Gap In Original ‘Jurassic Park’,"LOS ANGELES—Reflecting on the relationship portrayed in the iconic 1993 blockbuster, Laura Dern and her co-starring T. rex spoke to reporters Friday and reconsidered their 68 million year age gap in the original Jurassic Park film. “It just seems a bit inappropriate that someone who grew up in the late Cretaceous period was partnered with a 23-year-old,” said Dern, noting that there were clear power dynamics at play, as the Tyrannosaurus rex was a deadly apex predator and outweighed her by more than 15,000 pounds. “Back then, it seemed fine, because a gap of that many years between a leading lady and a carnivorous theropod was pretty much the norm in Hollywood. But when you think about it, how are these characters from completely different eras of geologic time supposed to relate to each other? And why is it always the gigantic reptilian beast and never the human woman who is tens of millions of years older?” While agreeing with Dern, the T. Rex told reporters that Jurassic Park was in many ways progressive by ’90s standards, particularly in its use of an all-female dinosaur cast."
https://www.theonion.com/reasonable-bts-fan-only-sends-death-threats-in-defense-1849349063,Reasonable BTS Fan Only Sends Death Threats In Defense Of J-Hope,"FREDERICKSBURG, PA—Saying she tried to keep a level head about matters like this, reasonable BTS fan Jessica Antwerp, 19, told reporters Monday that she only sends death threats in defense of lead singer J-Hope. “Look, there’s definitely a way to take fandom over the line, which is why I’ll only threaten to track down and skin alive anyone who dares criticize J-Hope,” said the college freshman, noting that she distinguished herself from the crazier fans online with her insistence that only J-Hope was her true soulmate and that she would never seek out the homes of TikTok users who criticize V or Jung Kook in order to key a menacing note like “fucker” or “die” into their car door. “Of course I would shed blood—both my own and others—on behalf of J-Hope. But the rest of the members of BTS are major celebrities who can take the heat. I also make sure to only sleep outside of J-Hope’s hotel rooms, not Jin or Suga. That would be insane.” At press time, Antwerp added that she also kept her BTS fandom in perspective by reminding herself that she would  probably only have four or five children with J-Hope once they married."
https://www.theonion.com/report-70-of-celebrities-totally-unaware-they-own-hal-1849136090,Report: 70% Of Celebrities Totally Unaware They Own Half Of Tequila Brand,"LOS ANGELES—In a study of more than 1,000 screen legends and superstars, a new report published Monday by researchers at the University of Southern California found that 70% of celebrities were totally unaware they owned half of a tequila brand. “From George Clooney to the Chainsmokers, we found that the vast majority of the rich and famous have absolutely no knowledge that they’ve made a major investment in a tequila company,” lead researcher Luis Vanden told reporters, noting that 85% of celebrities said the name of the company they owned “did not ring a bell,” despite the television commercials, bus ads, and tequila bottles themselves that heavily featured their name and likeness. “When asked why they started their own liquor company, 15% of celebrities responded, ‘Huh?’ while another 25% stated, ‘Oh, so that’s what that photo shoot was for.’ The remaining 30% said they had never heard of tequila before.” At press time, Vanden added that of the celebrities who were aware they owned a tequila brand, nine out of 10 confirmed there was no way they would ever drink that shit."
https://www.theonion.com/original-stan-lee-corpse-sells-at-auction-for-5-millio-1848704543,Original Stan Lee Corpse Sells At Auction For $5 Million,"NEW YORK—After an intense period of bidding that drew record-breaking offers for the creative force behind Marvel Comics, the corpse of Stan Lee sold Thursday for more than $5 million, according to officials at Christie’s Auction House. “This is a remarkable piece of comic book history that any serious fan would be proud to own,” said Christie’s CEO Guillaume Cerutti, explaining that for collectors eager to get their hands on an original Stan Lee, the auction presented a rare opportunity. “Cadavers like this don’t come on the block very often, especially in such good condition. Sure, there’s the normal wear and tear that you expect in a decomposing body from this period: The eyes have sunken back into the skull, and the skin is peeling in certain places. But regardless, this remains one of the most sought-after corpses I’ve ever had the pleasure of auctioning off.” The $5 million price represented a substantial profit for the seller, an anonymous collector who reportedly acquired the remains from a gravedigger in 2018 as part of a $150 deal that also included Philip Roth."
https://www.theonion.com/kim-kardashian-vows-to-never-forget-incredible-publicit-1849390866,Kim Kardashian Vows To Never Forget Incredible Publicity She Shared With Pete,"LOS ANGELES—Claiming she would cherish the headlines they made together for the rest of her life, reality TV star Kim Kardashian vowed Tuesday to never forget the incredible publicity she shared with Saturday Night Live alumnus Pete Davidson. “The last nine months were some of the most widely publicized of my entire life, and that’s something I’ll always be thankful to Pete for,” said Kardashian, adding that while many claimed the relationship was never more than a public-relations rebound after her high-profile breakup with Kanye West, the press she shared with Davidson was “the real deal.” “As my time with Pete comes to an end, I just want to say that the increased media attention we shared will forever hold a special place in my heart. I don’t know if I’ll ever again experience the kind of coverage I had with him.” At press time, Davidson was reportedly getting his publicity tattoo removed from his neck."
https://www.theonion.com/btk-ready-to-start-dating-again-1849022525,BTK Ready To Start Dating Again,"EL DORADO, KS—Saying he’d had time to work through many of his personal issues, El Dorado Correctional Facility inmate and serial murderer Dennis Rader, known as the BTK killer, told reporters Tuesday he was ready to start dating again. “Though I haven’t been the best partner—or even person—in the past, I’ve done a lot of self-reflection over the years, and I think it’s finally time for me to get back out there,” said Rader, who used a pseudonym that stood for “bind, torture, kill” when he murder 10 people in the 1970s and ’80s, adding that while he had made a lot of mistakes in his younger days, that was all behind him now, and he was hopeful he could still find “the one.” “Was I to blame for a lot of my relationship failures? Yes, but I also know it takes two to tango, and there’s no sense pointing fingers. Better to let bygones be bygones and open myself up to new possibilities. Am I’m afraid of getting hurt? A little bit, sure. But I’m also a hopeless romantic who loves the chase, and I’m ready to let myself be a part of someone’s life again.” Rader went on to say he wasn’t worried about finding someone who shared his kinks, noting that he had never let it stop him in the past."
