Link,Title,Content
https://www.theonion.com/vomit-covered-man-who-shit-his-pants-hopes-he-didn-t-bl-1849319983,Vomit-Covered Man Who Shit His Pants Hopes He Didn’t Blow First Date,"MADISON, WI—Noting he wasn’t able to secure a kiss at the end, vomit-covered man Daniel Sedona who shit his pants expressed hope Thursday that he didn’t blow his first date. “We did seem to have such a good connection before I violently soiled myself in front of her at the dinner table, so I’m just praying that it didn’t ruin the night,” said Sedona, explaining that their snappy, free-flowing banter about birth order and favorite music was probably enough to make up for the fact that he shit himself so hard that his nose started bleeding. “I keep asking myself all these questions like, ‘What if the smell hadn’t been so bad that I immediately puked all over myself and her?’ or ,’Should I have offered to help wash the bile out of her hair and dress?’ but I know that’s not productive.” At press time, Sedona mentioned that the woman wasn’t perfect either."
https://www.theonion.com/strong-jobs-report-underscores-just-how-much-of-a-loser-1849377628,Strong Jobs Report Underscores Just How Much Of A Loser Unemployed Man Is,"DUBUQUE, IA—After a stunning report indicated some 528,000 jobs were added to the U.S. economy during July, the Labor Department confirmed Friday that unemployed local man Chris Gibson must be more of a loser than had been previously believed. “For months, we had assumed Chris was just a normal, out-of-work man who had fallen on hard times, but today’s evidence of widespread job growth underscores exactly what a worthless, pathetic sack of shit he is,” said Labor Secretary Marty Walsh, who added that unemployment had fallen to a historic, post-pandemic low of 3.5%, making it clearer than ever that Gibson was lazy, dumb, and had absolutely zero prospects for the future. “With robust job gains across almost every sector of the economy, we can only presume that Chris spends his entire day on the couch doing nothing but sleeping, eating, and watching TV. The truth of the matter is, Americans are getting hired every day, with higher salaries to boot. But not Chris. No, no, not Chris. He apparently has nothing to offer at all. God, what a fucking failure.” Walsh went on to state that should job growth continue and the nation stave off a recession, nothing would be a stronger indicator that Gibson deserves to be crushed by a lifetime of grinding poverty, eventually dying for lack of access to healthcare."
https://www.theonion.com/overzealous-fly-not-even-waiting-for-shit-to-drop-from-1849360331,Overzealous Fly Not Even Waiting For Shit To Drop From Dog’s Asshole,"GALENA, IL—Watching as it frantically circled its next meal with no regard for basic etiquette, insect sources confirmed Wednesday that an impatient, overzealous fly couldn’t even wait for shit to drop from a dog’s asshole. “Whoa, slow down, pal—I get that you’re excited about the fresh poop and all, but don’t you think you’re getting a little ahead of yourself?” said a local housefly, looking on with embarrassment as its fellow Musca domestica beelined it for the squatting canine, landed squarely on its anus, and buzzed excitedly as excrement began to appear. “Look, I get it, I want to eat shit and lay my eggs in it as much as the next fly, but you don’t see me climbing up any dog’s assholes for it. Seriously, that freak is so desperate. I’ll wait until the turd hits the ground, thanks.” At press time, insect sources could not be reached for comment, as the canine had reportedly eaten its own feces and all the flies."
https://www.theonion.com/man-on-deathbed-wishes-he-spent-more-time-going-to-theo-1849320855,Man On Deathbed Wishes He Spent More Time Going To TheOnion.com,"NEW  YORK—Bemoaning how much time he had squandered on trivial grudges and  petty whims, local man Stefan Krawitz, 91, reportedly used his last moments on Earth telling friends and family that he wished he had spent more time  going to TheOnion.com.  “As I lie here, knowing my end is drawing near, I can’t help but wish I  had focused on the important things in life, things like the The Onion’s  consistently stellar reporting and photojournalism,” said Krawitz, his  voice reportedly growing hoarse and his eyes welling with tears as he  told his gathered loved ones that there were often stretches of wasted  weeks when he would only read one of the two daily American Voices.  “Come closer, please. I don’t know how much time I have left. My life  might be nearing its close, but I want all of you to know that you  could still spend hours every single day on The Onion’s homepage, just  clicking around between their politics, entertainment, sports, and local sections. Some of that stuff never even makes it to your social media feed. And don’t forget about their infographics.  Those might be what I’ll miss most out of everything in this world. I  don’t know what I was thinking having children and getting married when  there were always more commentary pieces and slideshows  to consume. Dear God, what have I done with all my precious hours?” At  press time, Krawitz had used his dying breath to ask his  grandchildren—and everyone who cared about his death—to navigate to The Onion’s merchandise store and purchase a Sickos mug or zip-up hooded logo sweatshirt."
https://www.theonion.com/boyfriend-not-sure-if-he-expected-to-leave-party-just-b-1849316040,Boyfriend Not Sure If He Expected To Leave Party Just Because Girlfriend Heading Out In Ambulance,"COLUMBUS, OH—Sighing with exasperation that his date decided to take off early, local boyfriend Dan Havenforth was reportedly unsure if he was also expected to leave the party Friday just because his girlfriend was heading out in an ambulance. “I’m not ready to leave yet, should I be expected to abruptly end my night just because she wants to go to the emergency room?” said Havenforth, adding that she would probably want to climb into bed at the hospital and lie there for the rest of the night, which he thought sounded kind of boring. “Like, we just got here and she already wants to go on a stretcher. It’s honestly rude to my friends if I bail now to ride in the back of the ambulance with her, plus I just spent the whole day doing what she wanted to do. It’s not like she’s alone either, there are, like, five paramedics with her and I made sure she got into the vehicle safely. Fuck it, I’m staying, if she wants to be like that, she can take her gurney and go.” At press time, Havenforth was overheard complaining to his friends that his girlfriend was just in one of her unconscious head-wound moods."
https://www.theonion.com/every-man-leering-at-little-league-world-series-claimin-1849418917,Every Man Leering At Little League World Series Claiming To Be Scout,"SOUTH WILLIAMSPORT, PA—When pressed about which of the young athletes on the field they were there to support, every one of the strangers leering at the Little League Baseball World Series game Wednesday reportedly claimed to be a professional scout. “I admit, at first I felt a little uneasy about how intently he was staring at those kids, but he assured me this was all part of the job,” said 37-year-old Jennifer Beyl, who confirmed that the brief conversation she had with the shifty man behind her represented just one of dozens of similar exchanges she had had at the tournament that day. “It’s like half the spectators attending this thing are scouts. I guess the camcorders make sense, but wouldn’t they rather be filming the game than zooming in on the dugout? Seems a little suspect, but hey, what do I know? I’m only here because, uh, because, um.” At press time, a stammering Beyl had claimed she, too, was a scout before darting out of the bleachers."
https://www.theonion.com/diner-menu-suggests-they-re-open-to-trying-anything-cus-1849316011,Diner Menu Suggests They’re Open To Trying Anything Customer Wants To Do To An Egg,"PITTSBURGH—Hinting that there were plenty of ways to satisfy one’s breakfast cravings beyond what was listed, a menu reportedly suggested Tuesday that the local Bluebonnet Diner was open to trying anything the customer wanted to do to an egg, with “nothing out of bounds.” “Look, whatever you’re into when it comes to eggs, we’re eager to accommodate your tastes,” read a block of italicized text that was located near the menu’s list of standard egg preparations —such as sunny-side up, poached, and scrambled—and that was accompanied by an illustration of a winking egg shushing the reader. “We just listed these options to get your imagination going, but the truth is, we’re game for whatever. You like it over easy, over hard? Whipped? You want to fry your own egg and have us watch? We’re into it. And if you don’t like the way we do your eggs, just let us know, and we’ll try something else. We won’t quit until you’re satisfied.” Reached for comment, a shift manager at the Bluebonnet stated that while the diner believed “rules are meant to be broken,” consuming raw or undercooked eggs unfortunately increased one’s risk of foodborne illness."
https://www.theonion.com/concerned-mother-pores-over-troubled-son-s-journal-for-1849378906,Concerned Mother Pores Over Troubled Son’s Journal For Anything That Could Implicate Her,"WADSWORTH, OH—Wanting to detect any danger before it was too late, concerned mother Kelsey Morales told reporters Thursday that she had spent hours poring over her troubled son’s journal for anything that could possibly implicate her. “There’s probably nothing to worry about, but I just want to go through it all in case there are any classic signs of negligent parenting that could incriminate me when the inevitable happens,” said Morales, adding that if her son were to one day shoot up an elementary school, she would always regret not discovering any pages in his journal that might mention the boy had easy access to guns at home. “I don’t want to go through the rest of my life wondering if there’s something I could have done to stop him from employing language that could be used as evidence against me in a court of law. I flipped right to the entry where he mentions me purchasing the AR-15, but thankfully he doesn’t say anything about how I keep it in an unlocked cabinet in the family room.” At press time, Morales was reportedly trying to convince the 13-year-old not to mention her in the journal by promising to buy him an extra 1,000 rounds of hollow-point ammunition."
https://www.theonion.com/reflection-looks-way-drunker-than-woman-anticipated-1849340771,Reflection Looks Way Drunker Than Woman Anticipated,"SANDY SPRINGS, GA—Startled by the glazed-over pair of eyes staring back at her in the mirror, local woman Kelsey Houghton confirmed Wednesday that her reflection was way drunker than she had anticipated. “Jesus fucking Christ, what happened?” said Houghton, who reportedly leaned close to the bathroom mirror, appraising her appearance with horrified curiosity as she tried to make sense of how she had become so visibly intoxicated despite arriving at the party just a short hour and a half ago. “My hair. My eyes. Oh no, no, no, no. Hopefully it’s just bad lighting. Come on, get a grip on yourself. Be normal. Act normal. Practice one good normal smile—there we go. Maybe I should splash some water on my face? Shit, now I’m all wet. At least I look normal when I do finger guns and wink. Okay, now stop talking to yourself. I said, ‘Stop it.’ Is that wing sauce on my shirt? Did I even eat a Buffalo wing?” At press time, sources reported that Houghton was studying her appearance from the reflection in the toilet bowl."
https://www.theonion.com/hungover-astronaut-wakes-up-in-bed-with-no-idea-how-he-1849319988,Hungover Astronaut Wakes Up In Bed With No Idea How He Made It Back To Earth,"ATLANTA—Nursing a headache as he tried to piece together where he parked his shuttle, hungover astronaut James Caudry woke up in bed Friday with no idea how he made it back to Earth. “Ugh, the last thing I remember, I was reconnecting a satellite cable with a few buddies from the ISS, and the next thing I know I’m face-down on my pillow,” said Caudry, realizing that he was still wearing the same spacesuit from the night before, which, judging from the smell, he had apparently pissed in at some point. “I have absolutely no recollection of ever hurtling through the atmosphere at terminal velocity and making a water landing in the Pacific Ocean or any of that. Oh, fuck, I have, like, a million missed calls from mission control.” At press time, a surprised Caudry turned over in bed to notice a sleeping alien he didn’t recall taking home."
