Link,Title,Content
https://www.theonion.com/dick-cheney-launches-last-minute-invasion-of-wyoming-to-1849418532,Dick Cheney Launches Last-Minute Invasion Of Wyoming To Bolster Daughter’s Reelection,"WILSON, WY—As Humvees and Halliburton tanks rolled across the state’s borders under cover of darkness, former Vice President Dick Cheney reportedly commanded a full-scale invasion of Wyoming early Tuesday in an effort to bolster his daughter’s reelection chances. “The corrupt campaigns in Wyoming’s congressional primary show this rogue state cannot be allowed to continue operating without a swift and resolute military response,” Cheney said in a press statement that heralded the launch of Operation Bison Freedom and brushed aside concerns about possible death tolls, pointing to satellite evidence that showed nuclear sites constructed under the “tyrannical rule” of Wyoming Gov. Mark Gordon. “Regime change will unquestionably help spread democracy to the freedom-loving people of Wyoming and further advance our ability to broker a lasting peace between North and South Dakota. In fact, I’m sure the streets of Cheyenne will erupt into joy at the city’s liberation. To the people of Wyoming, I say this: Your state is rich with resources and human talent. With the help of Rep. Liz Cheney, you can build a future of stability, self-determination, and prosperity that will last for years to come.” At press time, Cheney denied claims that 257 Wyoming civilians had  died in an overnight raid to keep polls open for several additional hours."
https://www.theonion.com/report-not-protecting-children-very-well-saved-u-s-5-1849349154,Report: Not Protecting Children Very Well Saved U.S. $5 Trillion Over Last Decade,"BALTIMORE—Amid concerns about economic stagnation and rising federal debt, an encouraging report released Monday by researchers at Johns Hopkins University found that not protecting children very well saved the United States around $5 trillion over the last decade. “Our data shows that refraining from investments in expensive projects that improve or even simply maintain the health, safety, and overall well-being of this nation’s youth saves both federal and local governments billions of dollars per year,” said study co-author Erick Rosen, attributing the savings in part to lax regulations on companies using harmful chemicals in common foods and household items, avoiding improvements that would make roadways safer, and neglecting pediatric care. “While placing America’s children in an environment rife with treatable diseases, gun violence, and poverty may have its downsides, there is no denying the financial savings it generates. Importantly, these cost savings should continue to increase as long as this country continues to put off removing lead from pipes, repairing dangerous playgrounds, and improving the education system. Ultimately, there is a strong correlation between just kind of letting whatever happens to our children happen and a more cost-effective overall financial picture, and we expect this dynamic to continue.” A related study from Texas A&M University found that not protecting foreign children also offered numerous economic benefits, pointing to the billions of dollars in profits American companies generated by bombing them."
https://www.theonion.com/monsanto-executive-threatens-to-detonate-every-corncob-1849349390,Monsanto Executive Threatens To Detonate Every Corncob In Nation Unless Demands Met,"ST. LOUIS—Warning that the corn found in kitchens, grocery stores, and restaurants across the country were ticking time bombs, Monsanto executive Jeff Dunbarton threatened to detonate every corncob in the nation Wednesday unless his demands were met. “Should you fail to deliver the $20 billion I require, I will be forced to set off every single ear of corn in America,” the company’s head of crop science said before blowing up an 800-acre Iowa cornfield as a demonstration, claiming that was just a small taste of what was to come if he did not receive the full amount by midnight. “We have genetically engineered all cobs to have the maximum blast radius, which would blow kernels through the skull of every man, woman, and child across the country. In addition, if you have consumed corn in the past 24 hours, the detonation will cause your abdomen to forcefully explode as the partially digested kernels rupture your intestines.” At press time, the cackling executive was reportedly counting his money when he decided to go ahead and level the entire Midwest anyway."
https://www.theonion.com/department-of-transportation-reduces-commute-times-by-a-1849320846,Department Of Transportation Reduces Commute Times By Adding Highway Nitro Strips,"WASHINGTON—Saying the infrastructure project would significantly cut drive times nationwide, the Department of Transportation announced plans Friday to reduce commutes by adding highway nitro strips. “These booster strips will help everyday Americans reach their office safely and in a fraction of the time by rocketing them into  nitro high-speed past any potential competitors,” said Secretary of Transportation Pete Buttigieg, stressing that many drivers would make it to their workplaces in seconds flat after being launched from the nitro strip at 525 MPH into a loop-de-loop that then sends them careening high into the air over any traffic jams or construction delays. “For too long, the United States has looked in envy at the blue and even red nitro strips in Germany and Japan’s highway systems. Well, today, in tandem with the newly installed jump ramps and corkscrew turns, Americans can once again release an oil slick at their competitor and yell ‘yippee!’” At press time, Buttigieg had abruptly concluded the press conference after receiving a questions about the epidemic of traffic fatalities caused by American drivers crashing into explosive TNT crates."
https://www.theonion.com/ukraine-completes-successful-takeover-of-russia-1849434577,Ukraine Completes Successful Takeover Of Russia,"MOSCOW—A bloody and costly months-long conflict between the two nations ended in an unconditional surrender early Friday morning after Ukraine completed its successful takeover of Russia. “While much of the world’s attention moved on, our people continued to fight, and today we have finally achieved our ultimate aim of annexing all of Russia into the nation of Ukraine,” said victorious Ukrainian President Volodymyr Zelensky from the Kremlin, where he personally presided as deposed President Vladimir Putin and other top Russian officials were led away in chains. “At the beginning of this war, Russia overplayed her hand, and many around the world wrote us off. But our counter-offensives this summer went better than even we expected, and after we seized Russia’s entire railway system in June, we began to see a complete takeover as a real possibility. These past few weeks, as we successfully occupied Moscow, St. Petersburg, and several key military bases, the writing was on the wall. After accepting Putin’s surrender, my message to the 150 million former citizens of Russia is this: Though you fought hard, we have unambiguously defeated you in battle, and we now invite you to move forward with us as Ukrainians. Those who do not comply will join members of the Russian military and other dissidents in Ukrainian labor camps. We believe, however, that you will unite with us, because Ukrainians and Russians have always been the same people.” With the Russian domino having fallen, Zelensky added that troops were already mobilizing to  conquer Georgia, Poland, and Kazakhstan and make them all part of a united Ukraine."
https://www.theonion.com/study-finds-humans-first-crossed-to-new-world-using-lan-1849107359,Study Finds Humans First Crossed To New World Using Land Bridge Of Previously Drowned Humans,"ITHACA, NY—In a groundbreaking new finding that sheds light on the migration patterns of ancient Homo sapiens, a Cornell University study published Friday revealed that humans first crossed to the New World using a land bridge created from previously drowned humans. “Our research suggests the land bridge used to travel to the Americas was actually made from the bloated corpses of other humans who had tried and failed to make the exact same voyage,” said Professor Derek Hammond, who added that fossil evidence of nearly 350,000 human skeletons found in and around the Bering Strait suggested that the land bridge of drowned humans had once spanned over 800 miles between modern-day Russia and Alaska. “What’s interesting is that even as they jumped from one swollen, waterlogged body to the next, humans seemed to feel complete confidence that they would make it across to the New World. Indeed, many of them were so brazen that they walked directly into the sea, where they floundered and suffered the same fate as so many before them.” The study also confirmed that major exploration of the Americas did not start, however, until humans created the technology to bind human corpses together into a raft and set sail for the New World."
https://www.theonion.com/startling-evidence-finds-pentagon-failed-to-stop-pakist-1849402533,Startling Evidence Finds Pentagon Failed To Stop Pakistani Wedding Despite Prior Knowledge,"WASHINGTON—Calling into question the Defense Department’s tactical readiness, startling evidence released Friday revealed that the Pentagon failed to stop a Pakistani wedding despite prior knowledge that it would occur. “It’s deeply troubling to learn that top Pentagon officials knew in advance that Pakistani couple Ali Aslam and Abida Khan would pledge their love to each other at a wedding venue outside Islamabad and did nothing to prevent it,” said CREW spokesperson Katherine Antwerp of the declassified documents showing that the Pentagon had intercepted wedding invitations and guest lists weeks before the ceremony took place and failed to implement a military plan to take out any members of the procession with extreme prejudice. “It isn’t enough that Defense Secretary Lloyd Austin discussed tactical drone strike against the gathered loved ones. There were dozens of high-ranking family members in attendance who could have been apprehended by our military. Our security officers knew the wedding’s date. They knew what was on the registry. They even knew what was being served for dessert. And yet they sat idly by while these people danced the night away and gave well wishes to the happy couple. How can the American people ever trust them again?” At press time, the Pentagon had denied wrongdoing in the incident, stressing that their forces had been engaged at the time in bombing a kindergarten classroom."
https://www.theonion.com/department-of-transportation-allocates-2-billion-to-fi-1849406235,Department Of Transportation Allocates $2 Billion To Finally Make Nation Look All Futuristic And Shit,"WASHINGTON—Highlighting a variety of groundbreaking infrastructure projects, the U.S. Department of Transportation announced Tuesday it would allocate $2 billion toward a major new initiative to finally make the nation look all futuristic and shit. “Everything is going to have this super sleek and angular design, and it will all be really shiny and reflective with cool LED lights all over the fucking place,” said Transportation Secretary Pete Buttigieg, explaining how cities throughout the United States would begin to look like a combination of Looper, Westworld, and Blade Runner—not the original Blade Runner, but the more recent film with Ryan Gosling in it. “It’s gonna be fucking sweet. Every bus driver and train conductor will be wearing those reflective visor sunglasses and dressed in these badass steampunk trench coats. But it’s about more than just looks. There’ll be a lot of laser whirring noises all the time, and, every once in a while, just a low, vibrational rumble. We’re going to have all kinds of hologram advertisements on everything that will know information about you personally. It’ll be like Tokyo times a thousand.” Advising reporters that his job title and the name of his department had changed, Buttigieg added that he should henceforth be referred to as the Grand Admiral of the Department of Teleportation."
https://www.theonion.com/texas-schools-require-clear-bags-to-prevent-students-fr-1849431359,Texas Schools Require Clear Bags To Prevent Students From Bringing In Books,"KELLER, TX—Calling the new policy a “necessary” safety measure, administrators from Keller Independent School District confirmed Friday that all students were now required to use clear bags in order to prevent them from bringing in books. “As we start the new school year, we’d like to remind students that all backpacks must be clear or mesh so that we can ensure you are not smuggling any educational materials onto campus grounds,” read a statement from the board of trustees, which warned students that they would also be subject to unannounced locker searches in collaboration with the local police department’s K9 book-detection unit. “Under our zero-tolerance policy, any novel brought onto school grounds will result in the offending student’s expulsion. Paraphernalia like bookmarks, highlighters, and library cards will be immediately confiscated. And don’t think you can get away with hiding a paperback in your pocket, either. We will not hesitate to conduct a strip search.” At press time, all schools in the area had gone into lockdown after someone reportedly entered a junior high carrying a copy of The Giver. "
https://www.theonion.com/american-masculinity-faces-existential-threat-after-man-1849429943,American Masculinity Faces Existential Threat After Man Asked To Be Nicer Sometimes,"DETROIT—Delivering  a crushing blow to the traditional beliefs and practices held by men  nationwide, sources confirmed Thursday that American masculinity faced  an existential threat after a meeting at Dynatech Telecommunication in  which local employee Mark Taylor was asked by coworkers to maybe be  nicer sometimes. “Hey, Mark, would you mind letting Abby finish what she  was saying before you jump in?” said team leader Francis Wu, reminding  him to be “a little more respectful” of his coworkers in a direct assault on the the  pillars of male identity stretching back centuries from the original  American pioneers through to the Old West’s cattle drivers and up until  the modern-day hunting and mixed martial arts of podcaster Joe Rogan. “I  think the room would just feel a little more relaxed if you try to take  a deep breath and keep things a bit more even-keeled. Alright, bud?  Sorry if that’s too much. Just a suggestion.” At press time, sources confirmed that a thousand year reign of femininity and estrogen had been inaugurated after Taylor was told that he also occasionally repeated the ideas of female coworkers as if they were his own."
