Link,Title,Content
https://www.theonion.com/state-department-brokers-alliance-in-destabilized-regio-1849089093,State Department Brokers Alliance In Destabilized Region By Providing Arms To Texan Warlords,"WASHINGTON—Calling the arrangement necessary to achieve long-term success in the volatile region, State Department officials announced Wednesday that they had managed to broker a key alliance in the failed Southwestern state of Texas by providing arms to local warlords. “The lack of stable institutions has left innocent Texans devastated by constant power outages, horrific maternal mortality rates, and skyrocketing illiteracy—we don’t agree with these warlords on everything, but strengthening their hold on the area through strategic weapons shipments is frankly our best shot at bringing Texas some semblance of functioning governance,” said Secretary of State Antony Blinken, who noted that while the State Department’s new allies undeniably held backward attitudes toward women and extreme religious beliefs, such views were sadly too commonplace in that part of the world to be avoided. “You have to understand that Texas has long been a lawless, violent place, where corrupt local police force residents to fend for themselves while maintaining a facade of order through frequent, oftentimes arbitrary executions. Sending these warlords Stinger missiles and towed artillery systems will let them fill that power vacuum in the places where they aren’t the de facto authority already, and once they consolidate their rule, we can use our influence to promote peace, better educational opportunities, and, perhaps one day, democracy.” Insisting that the government’s interests in Texas were purely humanitarian, Blinken dismissed allegations that the U.S. was only intervening to secure the region’s vast fossil fuel deposits."
https://www.theonion.com/poll-finds-majority-of-voters-wish-biden-was-way-older-1849172625,Poll Finds Majority Of Voters Wish Biden Was Way Older,"WASHINGTON—A new nationwide poll published Wednesday by the Pew Research Center reportedly found that the majority of American voters wish President Joe Biden was way older. “Our data revealed that an overwhelming number of participants want Joe Biden to be an inexplicably decrepit, shriveled husk who is so old that it’s impossible to fathom how he’s still alive,” said Pew Research pollster Zachary York, adding that the results showed that a staggering 98% of those surveyed want Joe Biden to be between 147 to 236 years old.“Most voters feel they’d like to see a version of the President who needs an emergency medical technician standing by at all times with a defibrillator to restart his constantly failing heart. The research also found that 87% of those polled would strongly prefer that when Joe Biden attempts to speak only ash emanates from his mouth and his jaw falls off and shatters on the floor.” At press time, York confirmed that the survey found that Biden’s approval rating would significantly improve if a strong wind caused him to crumble into dust."
https://www.theonion.com/pelosi-moved-by-china-s-spectacular-show-of-military-fo-1849372005,Pelosi Moved By China’s Spectacular Show Of Military Force Celebrating Her Visit To Asia,"TAIPEI—Explaining that the powerful display had left her feeling humbled and honored, House Speaker Nancy Pelosi told reporters Thursday she was moved by China’s  spectacular show of military force celebrating her visit to Asia. “Wow, I wasn’t sure how the Chinese government felt about this Taiwan trip, but throwing a whole military extravaganza in my honor makes me get the message loud and clear,”  said Pelosi, who reported being “delighted” and “really touched” when Chinese warships and helicopters appeared in full force to run military drills off the coast of Taiwan in the wake of her visit. “I know how expensive those ballistic missiles are, so I would’ve been happy with one or two. But launching 11 of them? That’s just spoiling me. Really, I  can’t thank China enough for this warm welcome.” At press time, Pelosi added that if this was the sort of hospitality she could expect from China, she would plan to come back to Taiwan next year, too."
https://www.theonion.com/estonia-announces-interest-in-assuming-america-s-role-a-1849184222,Estonia Announces Interest In Assuming America’s Role As Global Superpower,"TALLINN, ESTONIA—Submitting their candidacy for the rest of the world to consider, officials from Estonia reportedly announced their interest Tuesday in assuming America’s role as the global superpower. “It’s pretty clear that America really isn’t capable of being the planet’s hegemonic power any longer, so we thought, hey, why not Estonia?” said Estonia prime minister Kaja Kallas, adding that while the world’s 152nd-most-populous country that ranks 100th in GDP might not be the one that immediately springs to mind as best suited to shaping the global economic and political landscape into the future, Estonian officials felt like their country would do a good job. “For almost 100 years, the world as we know it has been dominated by a single superpower—America—that uses its financial and military might to impose its will on everyone else, so we’ve been slowly adding military capacity and making inroads into manipulating the global economic superstructure in order to show that we’ve got what it takes. We know it’s a lot of responsibility, what with toppling foreign governments and holding other countries hostage with sanctions and so forth, but we really feel like we’re up to the task. Obviously, there are other countries like China and India that seem interested as well, but we feel like Estonia is a nice non-controversial pick to control global fortunes and lead humanity into the, dare we say, Estonian Century? Now we’re just wondering who we speak to about this—do we ask the U.N.? We also have this idea for the E9, which is a group of nine global leaders run by Estonia. Anyway, it would be an honor to be considered, and honestly, if America can do it, it really can’t be that hard.” Estonian officials added that they would be happy to shadow America for a few months to gain some hands-on experience with being the global superpower while America continued to phase itself out of the role."
https://www.theonion.com/trump-boys-thrilled-fbi-seized-documents-leaving-dozen-1849391519,"Trump Boys Thrilled FBI Seized Documents, Leaving Dozens Of Empty Boxes To Play In","PALM BEACH, FL—Clambering into the cardboard containers with delight the moment after agents had vacated the property, Eric Trump and Donald Trump Jr. were reportedly thrilled Monday when  the FBI seized classified documents from Mar-a-Lago and left behind dozens of empty boxes for them to play in. “C’mon, Eric, get into that space rocket, and I’ll give you a ride to the moon,” said Don Jr., urging his brother to join him in placing one of the small boxes labeled “White House: 2019” onto his head, space helmets that would protect them as they blasted off into outer space. “Weeeee! Keep pushing, Eric. Phew, we made it! Okay, now we can build a moon castle way up here to live in. You be Mom and I’ll be Dad and we’ll build it so no one can ever hurt us—not even the Apartment of Justice.” At press time, sources confirmed the brothers had tuckered themselves out and fallen sound asleep next to each other in the same box."
https://www.theonion.com/new-texas-law-requires-gun-buyers-to-show-proof-of-ment-1849360323,New Texas Law Requires Gun Buyers To Show Proof Of Mental Illness,"AUSTIN, TX—Calling it a “vital” first step toward regulating mass shootings, Texas lawmakers passed a new law Monday that requires gun buyers to show proof of mental illness. “Starting today, all prospective firearm owners must be evaluated by a state-licensed physician and be able to document that they currently suffer from violent tendencies or are otherwise mentally disturbed,” said Texas Gov. Greg Abbott, adding that registered gun owners would need to take yearly exams to confirm they routinely threaten people’s lives, fantasize about murder, and actively wish to do harm against others or themselves. “Henceforth, no individual without a history of psychopathy or violence against women, children, or marginalized groups will be allowed to purchase automatic or semiautomatic weapons. And if they do not have an unsecured, unlocked area to store their gun, they will not be granted a license.” At press time, Abbott added that the state had passed further regulations requiring that anyone who had been reported to be planning a mass shooting of any kind be given complimentary ammunition and firearms."
https://www.theonion.com/biden-u-s-won-t-rest-until-brittney-griner-returned-h-1849373440,Biden: U.S. Won’t Rest Until Brittney Griner Returned Home To Serve Marijuana Possession Sentence,"WASHINGTON—Assuring the public that he intended to make the diplomatic situation his top priority, President Biden told reporters Thursday that the United States would not rest until WNBA star Brittney Griner was returned home to serve a marijuana possession sentence. “Rest assured that we will keep our nose to the grindstone until we have word that Miss Griner is back on American soil and safely behind bars for breaking the law,” said Biden, who characterized the basketball star’s sentence of nine years in a Russian penal colony for 0.7 grams of cannabis oil as a “gross miscarriage of justice” when she should be incarcerated in a federal prison for the same thing right here in the United States. “This is an American citizen we’re talking about. She should be prosecuted to the full extent of the law in her own country for participating in the trade of illegal narcotics. Right here and now, I’m pledging to Miss Griner’s family: Brittney is coming back to America and then she’s going away for a very, very long time.” At press time, the Kremlin had reportedly indicated that they were open to a prisoner swap in which the U.S. returned a notable Russian dissidents  so that he could be placed in a Chechen concentration camp."
https://www.theonion.com/desperate-biden-announces-halloween-will-now-happen-eve-1849180387,Desperate Biden Announces Halloween Will Now Happen Every Month,"WASHINGTON—In an apparent attempt to address flagging approval ratings and daunting prospects in the midterms, a desperate President Joe Biden announced Wednesday that Halloween would now happen every month. “Let’s everybody stop worrying about gas prices, inflation, or anything like that and just have a fun, spooky time,” the commander-in-chief said as he signed an executive order confirming that the Halloween holiday would now occur on the last day of all twelve months, allowing Americans to enjoy year-round treat-or-treating, costume parties, and haunted hayrides. Biden then  handed out  miniature candy bars to gathered reporters. “It’s nice to hang up a few skeletons on your porch and keep a little plastic pumpkin filled with treats on your counter, right? Now you’ll be able to do that every month, whether on the creepy-crawly New Year’s Eve Halloween or on the Halloween that comes right after Thanksgiving. Get ready for a lot more haunted houses and bobbing for apples, folks. I hope this is what everyone wanted. I’m trying here.” At press time, Biden’s approval rating had reportedly skyrocketed to 89%."
https://www.theonion.com/biden-considers-convening-first-ever-meeting-of-his-cab-1849107304,Biden Considers Convening First-Ever Meeting Of His Cabinet,"WASHINGTON—Exploring his options for responding to several crises mounting across the country, President Joe Biden  told reporters Tuesday that he was seriously considering the prospect of convening the first-ever meeting of his cabinet. “It’s a pretty drastic step, so you don’t want to do something like this unless you have a good reason, but I was thinking of inviting all the heads of the federal agencies down to the White House for a meeting to discuss where we’re headed as a country,” said Biden, adding that it would be nice to see Secretary of State Antony Blinken for the first time since his inauguration, and that it would be good for everyone to meet the secretary of health and human services, since he wasn’t sure who he or she was. “It’s been a while since I got elected, so I think it makes sense to do it now. We could probably start off with some meet-and-greets so that everyone gets a chance to say a little bit about themselves and what they’d like to accomplish in a Biden administration. Maybe some of them even have thoughts on how things have been going so far, which I would certainly be interested in hearing. Ultimately, though, I don’t want to force people to sit in a room just to sit in a room, and if it doesn’t feel like we’re going to have a productive cabinet meeting, we can probably just give it a rain check and meet some other time.” Biden added that along with his first cabinet meeting, he had recently begun mulling over the idea of calling a couple senators he hadn’t spoken to in a while to find out what was happening over in Congress."
https://www.theonion.com/backpedaling-republicans-unveil-bill-rapidly-expanding-1849349113,Backpedaling Republicans Unveil Bill Rapidly Expanding Veterans’ Access To Burn Pits,"WASHINGTON—Countering the stalled PACT Act with a measure of their own, Senate Republicans unveiled a new bill Friday that would rapidly expand veterans’ access to burn pits. “We’ve heard your concerns, and we want to assure you the GOP is fighting hard to ensure the nation’s brave veterans are breathing the toxins they deserve,” said Senate Minority Leader Mitch McConnell, who explained that the PITS Act, sponsored by himself along with Senators Pat Toomey (R-PA) and Joni Ernst (R-IA) in response to the backlash they received for their failure to back the prior bill, would ensure that a 10-acre burn pit was on-site at every Veterans Affairs center in the country. “The Republican Party would never turn their backs on the brave men and women who served this country, which is why we’ll hopefully be rolling out burnpits.gov very, very soon. There is nothing more important than providing vets with asthma and COPD. We’d also like to build at-home burn pits for veterans who need rare cancer but have limited mobility.” At press time, Republicans had proposed an amendment that would put the veterans themselves directly in the pits. "
