Link,Title,Content
https://www.straitstimes.com/singapore/consumer/new-research-centre-in-ntu-to-further-drive-robotics-role-in-spores-development,New research centre in NTU to further drive robotics' role in S'pore's development,"SINGAPORE - A new $45 million research centre at Nanyang Technological University (NTU) will draw on the expertise of various scientists and delve into robotics research to be applied in logistics, manufacturing and eldercare. Scientists at the Centre for Advanced Robotics Technology Innovation, housed at the NTU School of Electrical and Electronic Engineering, will also collaborate with researchers from the National University of Singapore and Agency for Science, Technology and Research to develop projects in robotics technologies.  The centre, supported by the National Research Foundation, Singapore, has more than 20 research staff, with the number expected to grow to 50 by next year at full capacity. It will also have about 20 PhD students. Speaking at its opening on Monday (Aug 15), Manpower Minister Tan See Leng said automation and robotics will be needed to supplement Singapore’s shrinking workforce - which is why the country has to focus on the development of robotics technology. “This will help our companies to create new and transformative products and services, enhance Singapore’s competitiveness and create good, value-added, high-paying jobs for Singaporeans,” noted Dr Tan, who is also Second Minister for Trade and Industry. Dr Tan said three key groups - researchers, companies and workers - can seize opportunities arising from the growth of robotics, and added that it was important researchers develop projects that can be applied in industry and work closely with companies, even as the Government identifies robotics as a national priority in its research and development plan. The centre is led by Professor Xie Lihua, a professor of electrical and electronic engineering at NTU. Its co-directors are two robotics experts - Professor Chen I-Ming from NTU and Professor Cecilia Laschi from NUS. It has 14 ongoing projects, with three more on the way. Prof Xie said the three research areas identified are important for Singapore and they each face a manpower crunch after the Covid-19 pandemic. Adopting robotics in manufacturing and logistics can boost productivity, he added. In eldercare, Prof Laschi said one area it is exploring is giving robots learning capabilities using machine learning, so that they can master new skills and forms of interactions with humans. In one logistics project, Professor Wang Danwei is working on developing an autonomous navigation system for vehicles used in places such as ports and warehouses to move containers or goods around. Separately, Professor Hu Guoqiang is developing solutions to allow robots and humans to work together more efficiently and safely in manufacturing processes like precision engineering. “The goal is for robots to carry out the tedious tasks that humans don’t want to do themselves, and work with humans, not to replace them,” he said. Dr Tan said in his speech that the pandemic has spurred demand for robotic technology and automation of processes, and robots have been deployed worldwide to help fight the crisis, like alleviating the load on healthcare systems for instance. “Here in Singapore, as our labour market grew tighter, our companies also found new and innovative ways to operate on a leaner workforce, by depending on automation and technology,” he noted. Workers, too, can pursue good jobs in the robotics sector, said Dr Tan, as the Government supports them in upgrading their skills. “I understand the anxieties that some workers might have about whether they would be replaced by robots in their jobs,” he added, acknowledging that some jobs, such as those involving highly repetitive and labour-intensive tasks, will be disrupted. “But this will also free up workers to take up other more productive and value-added jobs, for example, in operating and maintaining robots,” he said, encouraging workers to undergo training in new skills."
https://www.straitstimes.com/singapore/consumer/nutrition-label-for-drinks-sellers-coffee-shop-association-unsure-how-sugar-fat-levels-will-be-measured,"Nutrition labels: Great, but how to measure it, drinks sellers ask","SINGAPORE - Drink stall owners and a coffee shop association welcome the move requiring drinks to be labelled with a Nutri-Grade mark by the end of next year, but are unsure how the nutrition content will be measured. On Thursday (Aug 11), Health Minister Ong Ye Kung announced that outlets selling freshly prepared drinks with a very high level of sugar and saturated fat content must label them with a Nutri-Grade mark in their menus by the end of next year. Such beverages include freshly brewed coffee, freshly squeezed juices and bubble tea. The coffee shop association and drink sellers told The Straits Times on Friday that more customers are asking for healthier options for their coffee fix in recent years. Mr Hong Poh Hin, chairman of the Foochow Coffee Restaurant and Bar Merchants Association, which represents more than 400 coffee shops, said up to 70 per cent of consumers ask for lower-sugar or even no-sugar options for their coffee. But the association is unsure how the nutrition content of the drinks can be determined, said Mr Hong, adding that he hopes the Government can provide more help and clarity. He noted that each cup of coffee or tea may have different amounts of sugar added as they are freshly brewed and prepared. ""How do you bring a sample (to a lab) for testing? It's a bit difficult,"" said Mr Hong. He suggested that coffee stall owners not add any sugar in their coffee by default. ""Consumers can decide how much sugar they want and add it themselves,"" he added. At Bukit Timah Market and Food Centre, a fruit juice stall owner who wants to be known as Mr Yao is also uncertain how the amount of sugar will be measured. The 29-year-old's stall offers a menu of about 30 kinds of fruit, such as apple, banana and honeydew. Customers can combine different types of fruit in their drink. ""I think it's nearly impossible for us because we have so many mixtures. Can you imagine if I have to count (the sugar content) of 20 per cent apple, 20 per cent orange. How am I going to do it?"" said Mr Yao. ""We're unlike a bubble tea shop, where there is a definite recipe to follow, so they know (the sugar content) immediately."" But some coffee drink sellers said they support the new requirements as many of their customers are already switching to healthier drink choices. Mr Sow Tek Siong, who owns Tek Siong Drinks Stall at 84 Marine Parade Central Market and Food Centre, said that over the past three years, half of his customers have been requesting sugarless coffee and tea. ""Many customers said they prefer drinking their coffee and tea with no or less sugar as they find them healthier,"" said the 51-year-old, who has been running the drink stall for 15 years. At the same food centre, Coffee Queen co-owner Angie Nguyen said 60 per cent to 70 per cent of her customers ask for less sugar in their coffee or tea. ""Many people now want to stay healthy and are choosing the healthier choice,"" said the 33-year-old. Consumers also welcomed the Nutri-Grade label requirement as they said it would help them choose a healthier drink. Pre-school educator Joen Ong, 29, who drinks bubble tea twice a week, said she already orders drinks without milk, and opts for a sugar level of 50 per cent. Ms Ong said the new labelling scheme will make a bigger difference in her choices. ""I have a sugar addiction that's hard to stop, but with the information on sugar content, I am more likely to make healthier choices."""
https://www.straitstimes.com/singapore/consumer/tour-packages-to-see-northern-lights-european-christmas-markets-hot-tickets-as-natas-fair-returns,"Northern Lights, European Christmas market tours popular as Natas fair returns","SINGAPORE - The Natas travel fair is back and so are the crowds, snapping up tour packages to destinations like Hokkaido, Finland for the Northern Lights, and Christmas markets in Europe. The three-day National Association of Travel Agents Singapore fair, last held in August 2019, kicked off on Friday (Aug 12) at the Singapore Expo Hall 5 with more than 40 exhibitors. They include travel agencies, national tourist organisations and travel insurance providers. The organisers are expecting 80,000 to 100,000 visitors this year, on a par with pre-pandemic attendance figures. Minister of State for Trade and Industry Alvin Tan noted at the fair's opening ceremony that outbound travel has picked up pace, with more than 311,000 departures in May this year, a tenfold increase from the previous year. Natas president Steven Ler said: ""Thanks to the pent-up demand over the last two years, we're expecting the surge of holidaymakers to gain momentum as we go through the rest of the year."" Travel agencies The Straits Times spoke to said they are expecting strong demand at the fair this year after a three-year hiatus. ""After Covid-19, people are willing to spend more on travel... For many, seeing the Northern Lights is a bucket list item,"" said EU Holidays director Ong Han Jie. The Northern Lights are typically visible only from November to March. Besides European destinations like Switzerland and Italy, Japan is also highly sought-after, despite the country allowing only package tours for now. ""From now until December, we have 60 groups departing for Japan, but we're going to add 10 to 20 more,"" said Mr Ong. Chan Brothers Travel has also seen a ""red hot"" take-up rate for similar destinations, according to its senior marketing communications manager Jeremiah Wong. Besides Japan and Western Europe, Turkey has also been popular with its customers. New travel trends have also emerged, with more customers willing to take tour packages instead of making travel arrangements on their own. ""Besides repeat and new customers, there has been a substantial shift this time round, where people who might not have considered taking group tours in the past have switched over from free-and-easy travel,"" he noted. ""Many of them are younger customers who are travelling with their parents, and who want peace of mind about (country-specific) pandemic restrictions."" Another major player, Trafalgar, is seeing plenty of interest in trips to see the Northern Lights, as well as multi-city trips to see the Christmas markets around Europe. ""People have been saving up, so they don't mind spending more now... They are also looking for longer and more meaningful trips,"" said Ms Celest Quek, marketing communications director for Asia at The Travel Corporation, whose brands include Trafalgar and Uniworld River Cruises. Among travellers who were scouting for deals at the Natas fair on Friday was university student Alan Tan. The 21-year-old is planning to head to Finland in December for about two weeks to see the Northern Lights with his family. His family's budget for the trip is up to $10,000 for everything, including the tour package, airfare and food. ""I haven't been on any trips since Covid-19 hit, so I'm really looking forward to this one,"" said Mr Tan, who was specifically looking for packages that included a visit to the Santa Claus Village in Lapland, and to see huskies. Others like Mr Yeo Jia Wei, 26, who works in logistics, is looking at a destination closer to home - a week-long trip to South Korea with his friends. For his first holiday overseas in more than 2½ years, he said he is willing to spend $1,500 on the trip, which is $500 more than what he used to spend on trips pre-pandemic. ""Plane ticket prices increased a lot when countries opened up their borders, but even though travelling is more expensive now, I believe it is well worth splurging on,"" said Mr Yeo, who is planning to head to the fair this weekend."
https://www.straitstimes.com/singapore/consumer/ticket-sales-for-singapore-grand-prix-expected-to-match-2019-at-least-organisers,"S'pore F1 tickets selling fast, hotel bookings up for race weekend","SINGAPORE - Organisers of the Singapore Airlines Singapore Grand Prix are expecting ticket sales for this year's race to at least match that of 2019, which saw the second-highest attendance since the Republic started hosting the Formula One race in 2008. The 2019 race, the last to be staged here before the Covid-19 pandemic, drew a three-day total of 268,000 spectators, the second-highest after the 300,000 at the 2008 inaugural race."
https://www.straitstimes.com/singapore/consumer/singlife-aviva-national-service-affordable-coverage-1-million-insurance-coverage,Life after NS: How to get $1 million in insurance protection,"You may know that your son is covered by some form of insurance while he’s serving his National Service (NS), but chances are, he hasn’t told you that he can actually extend that coverage till he’s 70 and be covered for up to $1 million! Who can blame him; between IPPT training, area cleaning and tekan sessions, he probably has more pressing matters on his mind. Ever wondered what Kumar was like in NS? Watch the video below. Since July 2016, the Ministry of Defence (MINDEF), Ministry of Home Affairs (MHA) and Home Team have provided all full-time national servicemen (NSFs) and operationally ready national servicemen (NSmen) with free group term life and group personal accident insurance cover, as long as they are on official duties. All NSFs and NSmen will automatically receive S$150,000 of Group Term Life and S$150,000 of Group Personal Accident coverage under what is known as the Core Scheme. The Group Term Life insurance covers insured members in the event of death and total disability as long as they are in service. Meanwhile, the Group Personal Accident policy also covers death and total and permanent disability, but also dismemberment and injuries such as burns or fractures. Pre-existing medical conditions are covered under the Core Scheme. Apart from NSFs and NSmen, Regulars and NS volunteers will also enjoy the same coverage during their period of service. This group insurance coverage is underwritten by leading insurer Singlife with Aviva. The good news is that NSmen can continue with the cover – and even enhance their protection – when they are no longer in active full-time service, or employment as a Regular. They can do this by buying additional insurance cover at very affordable premiums through the Voluntary Scheme. The main plans that can be bought are similar to the Core Scheme: Group Term Life and Group Personal Accident. The Voluntary Scheme was designed to provide long-term affordable protection for NSFs, NSmen, as well as their family members. For just S$1 per month, they can be covered for S$100,000 under the group personal accident coverage, and S$4.101 per month for S$100,000 under the group term life insurance. There is also no underwriting required for the first S$250,000 sum assured for the group term life insurance, and no underwriting required for the group personal accident plan. These plans are portable, that is. They carry on even if the insured leaves the service. For Group Term Life, you can even extend your coverage to a whopping $1 million for $1.372 a day. Meanwhile, the Group Personal Accident policy allows you to purchase coverage of up to S$600,000. The premiums for these policies are also fixed up to age 65, which means that you pay the same amount upon renewal every year until you’re 65.  What’s more, insured members’ spouses and children can also be covered at the same rate. The spouse can choose to carry on with the plan in the event of the member’s death. Don’t worry if your son has completed his full-time National Service and neglected to extend his coverage. NSmen can still sign up for these Voluntary Schemes even after they have ORD-ed, before they reach the Statutory Age for NS Liability; which is 40 years of age for Non-Officers, or WOSES (Warrant Officers, Specialists and Enlistees), and 50 years of age for Officers. Beyond the comprehensive coverage, there are also attractive perks on offer for those who sign up. For instance, Voluntary Scheme members can enjoy discounts on Singlife’s general insurance plans like car, travel and home insurance. Discounts can be as high as 56 per cent, and insured members’ immediate family members – spouse, children, parents and siblings – can enjoy the same privileges. Whether your son is serving his NS with MINDEF or, MHA, the Group Term Life Insurance is an attractive and affordable option for people like him; those who are young and making financial plans for the first time. It is a protection plan that he can build on as he crosses certain life stages after his “ORD loh” cheer – whether it’s getting into university or starting a career – without breaking the bank. He can also buy riders to cover Critical Illness, which are more affordable when one is younger. You should be proud that your son is serving his duty protecting the nation, but there’s no reason why he shouldn’t start planning for life after NS.   To find out more about MINDEF & MHA Group Insurance Scheme, click here. In partnership with Singlife with Aviva. - 1For an Insured Person, aged 65 and below. - 2Premium shown is based on monthly rate (rounding off to the nearest cent) for an Insured Person, aged 65 and below at next birthday. - All ages mentioned refers to age next birthday (excluding Statutory Age for NS liability). - This article is published for general information only and does not have regard to the specific investment objectives, financial situation and particular needs of any specific person. You should read the Product Summary and seek advice from a financial adviser representative before making a commitment to purchase the product. - Terms and conditions apply. This advertisement has not been reviewed by the Monetary Authority of Singapore. Protected up to specified limits by SDIC. Information is accurate as at August 11, 2022."
https://www.straitstimes.com/singapore/consumer/close-shave-for-woman-as-three-ceiling-beams-fall-3-floors-in-far-east-plaza,Close shave for woman as three ceiling beams fall 3 floors in Far East Plaza,"SINGAPORE - A woman in Far East Plaza had a narrow escape when three long wooden beams broke from the high ceiling and landed on the second-floor concourse on Wednesday morning (Aug 10). She was sitting on a red bench at the edge of the concourse when the grey beams crashed onto the floor mere metres from her. An employee of a tailor shop next to the concourse said he rushed out when he heard a loud crash and saw the woman hurrying away. She was the only person in the concourse when the incident occurred around 9.45am, said the employee who wanted to be known only as Mr Eric. ""Luckily, the incident happened early in the morning. If there had been more footfall, someone could have got badly hurt,"" he said, adding that most shops in the Orchard mall open after 10am. In response to queries from The Straits Times, the Far East Plaza management said the incident happened when a technician was about to lower the high bay lights from the ceiling to replace a faulty lamp. He inadvertently reversed the direction of the winch, or lifting device, which caused the light fitting to move towards the ceiling trellis. ""The impact caused three pieces of trellis to dislodge and fall from level five to level two. A lady was at the concourse at the time. Fortunately, nobody was injured,"" the mall's management said in its e-mail reply, adding that the concourse was immediately cordoned off. The mall's contractor is expected to carry out repairs on the trellis after the mall closed on Wednesday evening. The concourse will reopen after a thorough inspection, said Far East Plaza's management. When ST visited the strata mall at 3.30pm, the concourse had been fenced off with barriers circling the red bench. There was a gap in the level five ceiling above the bench, and one beam seemed to be hanging after being partially dislodged. The normally quiet morning of retailers and workers - especially those from cafes and coffee shops that had opened before 9am - was jolted by the loud sound of the beams hitting the ground. A number of people from the third to fifth storeys rushed out of their shops to check the commotion, said Mr Eric. A worker, known only as Mr Lim, at Isle Cafe coffee shop next to the concourse said he saw some mall employees rush to clear the debris and fence off the area. Mr Eric said this is the second incident in Far East Plaza recently. On July 10, two glass panels fell to the floor below after a shopper kicked them. No one was injured. ""The area was cordoned off and the glass shards were swept away,"" he said. One of Singapore's oldest shopping complexes, Far East Plaza was opened in 1982."
https://www.straitstimes.com/singapore/consumer/broken-pipe-that-caused-water-leakage-in-westgate-shopping-mall-fixed,Broken pipe that caused water leakage in Westgate shopping mall fixed,"SINGAPORE- A broken pipe which caused water to leak from the ceiling of the atrium in Westgate mall has been fixed and the atrium reopened on Tuesday (Aug 9). The leak happened on Monday at about 8.15pm in the mall in Jurong East. In an update on its Facebook page on Tuesday morning, the mall, which is managed by CapitaLand, said the atrium has been cleared up and reopened. This is the second water leakage incident to hit malls within three days. The first incident happened in Nex shopping mall in Serangoon on Saturday. Videos of the Westgate mall incident uploaded on social media showed a stream of water trickling down from a cracked false ceiling onto the second-storey atrium, where a food and lifestyle fair was being held, and a crowd gathering to watch. A store owner at the mall told Chinese news outfit Shin Min Daily News that the merchants at the fair had to move their carts and goods away. The merchants also decided to close their stalls half an hour earlier at about 8.30pm. A Westgate spokesman said on Wednesday that the mall will follow up with its tenants and vendors who were affected and take necessary actions, such as offering fair vendors complimentary participation in a future roadshow.
  Just days earlier on Saturday, water leakage at Nex was linked to parts of the false ceiling in the basement of the mall collapsing. Several shops at the two basement levels had to suspend operations for about a day and reopened on Monday. The mall's spokesman said it was alerted to a water backflow incident at around 6pm on Saturday. A plumbing issue from a tenant's floor trap caused the backflow and water to spread to the retail area on the first storey. The choke was resolved by 11pm, but remnant water continued to leak from the unit and affected some tenants at the basement levels."
https://www.straitstimes.com/singapore/consumer/hawkers-and-merchants-in-tiong-bahru-and-tanjong-pagar-to-list-products-on-lazada-marketplace,Hawkers and merchants in Tiong Bahru and Tanjong Pagar to list products on Lazada marketplace,"SINGAPORE - After coping with the onslaught of Covid-19 like most businesses, Ms Javis Wong, who owns a shop at Tiong Bahru Market, also had to deal with reduced foot traffic when some parking spaces were removed. In an attempt to boost sales, the 52-year-old will be one of nearly 50 heartland hawkers and merchants from the market as well as Tanjong Pagar Plaza Market and Food Centre to list products on e-commerce platform Lazada in the coming months. Ms Wong, whose clothing and fashion accessories business is half of what it was pre-pandemic, said: ""Everyone is going online, maybe there's a chance that it will help. I want to try."" Lazada aims to launch the Tanjong Pagar-Tiong Bahru Marketplace, with products such as food, clothes and health products, in October, and to bring on board more merchants from the more than 350 stalls at both locations. It is the third such partnership for Lazada, who also worked with One Kampong Gelam and Radin Mas SMC to launch marketplaces in April and May respectively, involving hundreds of heartland businesses. According to a Lazada spokesman, the One Kampong Gelam Marketplace generated five-figure sales within the first three months. Lazada chief executive Loh Wee Lee, Tanjong Pagar Plaza Market and Food Centre Association chairman Quek Tai Yong and Tiong Bahru Market Hawkers' Association chairman Loh Teck Seng signed a memorandum of understanding at Tiong Bahru Market to launch the initiative on Friday (Aug 5). According to the associations, about half of the participating stallholders are above the age of 60 and not tech-savvy. Mr Quek, 69, who runs a fish maw soup stall, said he joined the initiative to keep up with the times. ""I joined because I believe in lifelong learning,"" he said in Mandarin. ""Some stallholders in their 40s and 50s don't know how to use these platforms too, but it's important to learn."" For the first 90 days after stallholders list products on Lazada, they will receive training on everything from product photography to optimising the names for their listings, as well as when to launch promotions. But one potential hurdle is that all training and technical support will be provided in English, which worries stallholders like Mr Gan Beng Chong, 66, who does not speak the language. The clothing store owner said in Mandarin: ""It would be best if they have training in Chinese as well because most of the shop owners in the market are Chinese-speaking, we're not good at speaking English."" He plans to ask other merchants who are bilingual for help, although he does not want to trouble them too much. Minister in the Prime Minister's Office Indranee Rajah, who is also adviser to Tanjong Pagar GRC Grassroots Organisations, said at the signing that the initiative aims to bring the wide array of unique products at both markets to a broader clientele. Another stallholder, Mr Loo Lian Seng, 57, said he plans to list niche kitchenware such as hand-painted rooster bowls, charcoal stoves and wooden rice barrels from his store selling kitchenware and household items to stand out from the crowd and attract more customers. ""I hope it will not be a one-time purchase that they forget about,"" he said. ""Hopefully, they will come down to collect and see more things in the store."""
https://www.straitstimes.com/singapore/consumer/spore-travellers-can-use-dbs-and-ocbc-apps-to-pay-in-thailand,S'pore travellers can use DBS and OCBC apps to pay in Thailand,"SINGAPORE - Singaporeans going to Thailand can scan QR codes there and make payments using DBS PayLah! and OCBC Pay Anyone apps at more than eight million merchants, retailers and facilities such as train stations across tourist hot spots in Bangkok, Pattaya and Phuket. UOB TMRW users will be able to do so from next year. Merchants here can also accept payments from visiting Thai nationals who use apps or e-wallets from participating banks. The banks include Bank of Ayudhya, Bangkok Bank and Krungthai Bank. This comes after a tie-up between Network for Electronic Transfers (Nets) and Thailand's National ITMX to facilitate inbound and outbound payments between both countries. Singaporeans shopping at places such as Chatuchak Weekend Market and Platinum Mall in Bangkok can look out for a PromptPay QR code. They can then use the DBS PayLah! or OCBC Pay Anyone app to scan the QR code, which will get them to confirm the amount to be paid in baht, view the exchange rate, and pay the final amount in Singapore dollars. Mr Lawrence Chan, chief executive of Nets Group, said: ""Singapore consumers travelling to Thailand can look forward to shopping without hassle. More small merchants that previously accepted cash only are now able to accept QR payments through this service."" He added that merchants in Singapore can also increase their customer base by offering more digital payment options to travellers from Thailand. ""Having a QR payment option with competitive exchange rates will increase convenience for shoppers as they no longer need to worry about having cash on hand,"" said Mr Chan. Mr Ngai Yi Li, 27, who was in Thailand last month, said the DBS PayLah! app will come in handy when he goes there again with his friends in mid-August. The financial consultant, who frequently travelled to Bangkok before Covid-19 hit, said: “This is a really convenient option because I don’t really feel comfortable carrying too much cash around, especially in crowded areas. “So I think I’ll definitely be using the QR codes to purchase things, like my train tickets, so it’s less of a hassle. I just hope that many streetside food stalls and boutique shops there will have the option for us to pay via the app too.”"
https://www.straitstimes.com/singapore/consumer/sfa-suspension-a-surprise-to-local-kueh-manufacturers,SFA suspension a surprise to some Singapore kueh manufacturers,"SINGAPORE - Some local kueh manufacturers were taken by surprise last month when they were told by the Singapore Food Agency (SFA) that the production of various kueh products would be suspended due to the improper use of food additives. The suspension came three months after SFA performed inspections in April and found high levels of benzoic acid and sorbic acid in various kueh products by nine local kueh manufacturers. Both chemicals are used in food preservation and allowed in only the filling of kueh products, within permissible limits. Mr Sebastian Ong, operations manager at Tongli Food Manufacturing, told The Straits Times on Thursday (Aug 4) that his company was informed in April that the additives were not allowed in kueh. At the time, the company's yam cake was found to have contained the additives. Mr Ong said: ""We were shocked by the suspension in July because we had already stopped using the additives in April when we were told they were not allowed. We stopped using them immediately. And we made changes to our yam cake recipe to make sure that it was safe."" Changing the recipe took almost a month of trial and error, added Mr Ong. ""It was not easy. We had to make sure that the kueh could last on the shelf for a certain amount of time and also had to ensure that the texture and taste was not compromised. It took us about three weeks of recipe testing."" Mr Ong said business dropped by about 10 per cent since the company stopped production of its yam cake to make the necessary recipe changes. SFA suspended the operations of nine manufacturers on July 26. On July 28, Tiong Bahru Tian Bo Shui Kueh, which owns the popular Jian Bo brand of chwee kueh, had its suspension lifted when it was able to produce test results showing its current products did not contain sorbic acid. Four more manufacturers - Thomson Foodstuff Manufacturing, Delight Baker, AMK Nonya Kueh and Lim Food Industries - had their suspensions lifted on Tuesday. The remaining four manufacturers - Chit Guan Foodstuff, Sin Hwa Coconuts Industrial, Tongli Food Manufacturing and Toh Chuan Kee Foodstuff - had their suspensions lifted on Wednesday, after they, too, provided test results which showed that their current production was free from benzoic or sorbic acid. In a Facebook post on Tuesday, AMK Nonya Kueh said: ""We do not use any benzoic acid in our process and will work closely with SFA to make sure our suppliers abide by the regulations. After this incident, we will be more careful in using the right suppliers and will constantly seek better supplier alternatives."" ST reached out to AMK Nonya Kueh and the other seven manufacturers for comments on the situation but the companies either did not get back by the time of reporting or declined to comment. According to SFA, benzoic and sorbic acid are allowed for addition into fillings like red bean paste and lotus paste as they help to extend the shelf life of the fillings. SFA said kueh products are typically made fresh for sale, have a short shelf life, are displayed at room temperature and sold for consumption within the same day, or the next, if refrigerated. Hence, the further addition of benzoic and sorbic acid into kueh products is not considered to be justified."
