Link,Title,Content
https://www.straitstimes.com/singapore/courts-crime/secondary-school-discipline-master-took-upskirt-videos-of-colleagues-and-students,"Secondary school discipline master took upskirt videos of colleagues, students","SINGAPORE - A secondary school discipline master ironically broke the law at his own workplace when he took multiple upskirt videos of his colleagues and at least seven students. The married man, a father of three, also committed the offence at other places, including his mother-in-law's home where he targeted a female relative. Over a period of more than three years, he took a total of 170 upskirt videos of at least 47 different women. The 49-year-old man pleaded guilty on Friday to three counts of insulting a woman's modesty. The court heard that on one occasion, a male student from the school was caught and punished for taking two upskirt videos of a teacher. On the pretext of retrieving evidence of the student's wrongdoing, the man used his own mobile phone to make recordings of the videos that the boy had filmed. The man then transferred these videos to his hard disk for his own collection. Details about the teacher and the school cannot be disclosed due to a gag order to protect the victims' identities. The Ministry of Education (MOE) told The Straits Times in an earlier statement that the man has been suspended from service since July 2018, and is no longer teaching in any school. Its spokesman said: ""MOE takes a serious view of staff misconduct and will not hesitate to take disciplinary action against those who fail to adhere to our standards of conduct and discipline, including dismissal from service."" Deputy Public Prosecutor Yvonne Poon said that between April 18, 2015, and July 11, 2018, the man filmed multiple upskirt videos of numerous women, targeting at least 38 of his colleagues. To commit the offences, he would set his mobile phone to video-recording mode before inviting a female colleague to his workstation for data entry purposes. While she was standing at his desk and keying in data, such as attendance records, he would place the device beneath her skirt and record a video without her knowledge or consent. The DPP added: ""The accused only invited female colleagues wearing skirts or dresses over to his workstation for data entry. ""He would not invite female teachers who were wearing trousers, and seldom invited male teachers over to his workstation for data entry."" By using a similar method, the man also filmed multiple upskirt videos of several students. DPP Poon told District Judge Brenda Tan: ""At least seven of the victims were students of the secondary school, which means that they would have been aged 16 or below and especially vulnerable to his predation. ""In committing the offences, the accused exploited their deference to his authority, as well as the trust that their parents reposed in the school and its faculty."" His offences came to light when a female teacher, who was one of the victims, suspected that he had been taking upskirt videos and alerted the police on July 14, 2018. On Friday, the court heard that the man was suffering from major depressive disorder at the time of his offences. Judge Tan then called for a report to assess his suitability for a mandatory treatment order (MTO). Those given an MTO will undergo treatment for their mental condition in lieu of jail time. The man is expected to be sentenced on Nov 3. For each count of insulting a woman's modesty, an offender can be jailed for up to a year and fined."
https://www.straitstimes.com/singapore/courts-crime/smu-student-jailed-12-weeks-for-filming-19-upskirt-videos,SMU student sentenced to 12 weeks' jail for filming 19 upskirt videos ,"SINGAPORE - A student who filmed 19 upskirt videos of women, mostly on escalators, was on Friday sentenced to 12 weeks in jail. Tien Kiat Chong, 26, pleaded guilty earlier to a single charge of insulting women's modesty, while another charge of possessing obscene films was taken into consideration during sentencing. The court heard on Friday that he intends to appeal against the sentence and was offered bail of $8,000.  He was a Singapore Management University (SMU) student at the time of the offence. An SMU spokesman told The Straits Times in March that Tien had been put on leave of absence. ST has reached out to the university for comment. The court heard in March when Tien was convicted that he would feel an urge to follow women in dresses and skirts and take upskirt videos of them using his mobile phone. At about 7.15pm on Sept 4, 2019, he was travelling upwards on an escalator in Sengkang MRT station when he saw a woman wearing a denim skirt in front of him. He placed his left foot on the step above, just below where the victim was standing, and put his phone with its camera facing up on his left knee to try to take an upskirt video, said Deputy Public Prosecutor Ng Jun Chong. A witness saw him and alerted the station staff. When confronted, Tien denied trying to take an upskirt video of the victim. When the station staff asked to check his phone, Tien went through the phone before handing it over. The station staff and the witness found an upskirt video in his phone, filmed from behind a woman on an escalator. Tien repeatedly apologised and asked them if they could forget about what happened, adding that he was still studying. He was handed over to the police despite his pleas. In his statement to the police, Tien denied taking any upskirt videos. He claimed he had wanted to record a video of the woman's face but managed to capture only her ""back view"". The police later found 19 upskirt videos in his phone, taken between May 28 and Sept 4, 2019. The DPP said that 17 of the videos were recorded on escalators in public places, one was filmed in a train and another in a retail shop. DPP Ng said Tien was intruding on the privacy of the women, with the intent to insult their modesty. ""The accused would review the videos at home, or when he was alone,"" he said, adding that 37 other obscene videos were found in Tien's phone. An offender found guilty of insulting the modesty of a woman can be jailed for up to a year and fined. Those who possess obscene films can be jailed for a maximum of 12 months and fined."
https://www.straitstimes.com/singapore/courts-crime/trio-charged-after-they-allegedly-sold-their-bank-account-details-to-scammers,Trio charged after they allegedly sold their bank account details to scammers,"SINGAPORE - Three men were charged in a district court on Friday after they allegedly sold their bank account details to scammers in unrelated cases. The accounts were used to launder at least $370,000 from various scams involving at least eight victims. The trio are Muhamad Hakim Fugi, 19; Tan Yong Kwang, 22; and Zhang Demin, 33. Hakim, the sole Singaporean, is accused of two counts of engaging in a conspiracy with an unknown person to cheat Standard Chartered Bank and UOB. He was also handed two charges under the Computer Misuse Act. Hakim is said to have committed the offences in January. In a statement on Thursday, the police said he allegedly made a deal with an unknown person over messaging platform Telegram to open bank accounts and hand over their control in exchange for cash. The police added: ""(He) allegedly cheated banks into opening two bank accounts and subsequently handed over the Internet banking login username, password and one-time password (OTP) of both bank accounts to the unknown person."" Hakim's case has been adjourned to Sept 21. Tan, a Malaysian, was handed a charge under the Computer Misuse Act on Friday. Police said that in November last year, he allegedly responded to a Facebook post offering him ""fast cash"" if he agreed to ""rent out"" his bank account. He was contacted by an unknown person who offered him RM1,600 (S$500) a month. Tan allegedly provided the Internet banking login username, password and OTP of his bank account. He is expected to plead guilty on Oct 10. Zhang is accused of one count of helping another person control the benefits of criminal conduct between November and December last year. According to the police statement, the Chinese national allegedly responded to a post from a website that offered him money to sell his bank account. The police said: ""He contacted an unknown person who offered him $900 in return for his bank account and prepaid SIM card."" Subsequently, he allegedly provided to the unknown person an ATM card with the personal identification number, information linked to his bank account, and prepaid SIM card. The court heard that Zhang intends to plead guilty on Oct 13. For each charge, those convicted of assisting another person to control benefits of criminal conduct can be jailed for up to 10 years and fined up to $500,000. Those convicted of cheating can be jailed for up to three years and fined for each charge."
https://www.straitstimes.com/singapore/courts-crime/32m-luxury-goods-scam-duo-accused-of-helping-couple-flee-maintain-they-intend-to-plead-guilty,Luxury goods scam: Duo accused of helping couple flee maintain they intend to plead guilty,"SINGAPORE - Two Malaysian men, accused of helping a couple allegedly involved in a $32 million luxury goods scam flee the country, have maintained in a district court on Friday that they intend to plead guilty. The court heard that one of the men, Mohamed Alias, 40, might be handed one more charge in the future - that of harbouring an offender. Details about this potential charge were not disclosed in court. No additional charges will be handed to the second man, Mohamad Fazli Abdul Rahman, 38. They had told the court on Aug 5 that they intended to plead guilty to their charges. Both are in remand and their cases have been adjourned to Sept 16. Currently, each man faces two charges of assisting the escape of Singaporean Pi Jiapeng and his Thai wife Pansuk Siriwipa. According to court documents, Mohamed allegedly helped the couple unlawfully leave Singapore from Tuas Checkpoint at around 7.30pm on July 4 by allowing them to hide in the container compartment of a Malaysia-registered lorry. Fazli is accused of engaging in a conspiracy with him in arranging the alleged escape. Pi and Pansuk, both 27, left Singapore after they allegedly failed to deliver $32 million worth of goods to customers. Pi, who was born in Fujian province in China, was initially arrested by the Singapore police on June 27. His passport was impounded, and he was released on $15,000 bail the next day. Pansuk was assisting the police with investigations and had surrendered her passport on June 30. The couple became uncontactable and allegedly fled Singapore illegally on July 4. Arrest warrants and Interpol red notices were then issued against the couple. The Royal Thai Police told the police here that the duo were possibly staying in a Johor Bahru hotel. The police then asked their counterparts in Malaysia to locate the couple. The couple were arrested on Aug 11 and handed over to the police here that day. Pi and Pansuk first appeared in court on Aug 12, when they were each handed three charges - two for cheating and one of leaving Singapore illegally. They are accused of being involved in a conspiracy to cheat customers of Tradenation and Tradeluxury between January and June. The amounts said to be involved were not disclosed in court documents. The pair allegedly duped victims into believing they would be sold watches and luxury handbags but had no intention of delivering the items. Both were refused bail after a judge agreed with the prosecution that they were flight risks. The cases involving them have been adjourned for a pre-trial conference on Oct 11."
https://www.straitstimes.com/singapore/courts-crime/three-men-to-be-charged-for-selling-bank-account-details-to-scammers,Three men to be charged for selling bank account details to scammers,"SINGAPORE - After responding to an online post that promised him fast cash in exchange for a bank account, he allegedly gave an unknown person who offered him $900 his ATM card with the personal identification number, the password for his bank account, and a prepaid SIM card. The 33-year-old will be charged on Friday with assisting another person to control the benefits of criminal conduct. He is among three men who will be charged for allegedly selling their bank account details that ended up being used to launder at least $370,000 derived from various scams involving at least eight victims, said the police in a release on Thursday. Another of them, a 22-year-old, had allegedly responded to a Facebook post in November last year promising fast cash if he agreed to rent out his bank account. He was contacted by an unknown person who offered him RM1,600 (S$498) a month in return for his bank account. The man allegedly provided the person the Internet banking login username, password and one-time password of his bank account. He will be charged with abetting unknown persons to gain unauthorised access to the bank's computer system. A 19-year-old also faces a similar charge. He had allegedly made a deal with an unknown person over Telegram to open bank accounts and hand over control of them in return for money. He also faces a cheating charge, after allegedly conning banks into opening two accounts and subsequently handing over the Internet banking login username, password and one-time password of both accounts to the unknown person. The police said it takes a serious stance against any person who may be involved in scams and perpetrators will be dealt with in accordance with the law. Said the police: ""To avoid being an accomplice in these crimes, members of the public should always reject seemingly attractive money-making opportunities promising fast and easy payouts for the use of their bank accounts, or for allowing their personal accounts to be used to receive and transfer money for others. ""Remember that you will be held accountable if these are linked to crimes."" The offence of unauthorised access to computer material carries a jail term of up to two years, a fine of up to $5,000 or both. Repeat offenders can get jailed for up to three years, fined up to $10,000 or both. Those convicted of assisting another to control benefits of criminal conduct can be jailed for up to 10 years, fined up to $500,000 or both. Those convicted of cheating can be jailed for up to three years, fined or both."
https://www.straitstimes.com/singapore/courts-crime/thailand-legalising-cannabis-poses-more-challenges-to-spores-anti-drug-stance-shanmugam,Thailand legalising cannabis poses more challenges to S'pore's anti-drug stance: Shanmugam,"SINGAPORE - The easier access to cannabis in neighbouring countries will pose challenges to keeping Singapore drug-free, said Minister for Home Affairs and Law K. Shanmugam on Thursday. Thailand became the first country in Asia to decriminalise cannabis nationwide on June 9. Mr Shanmugam noted that within a week, the drug was everywhere: in drinks, food, toothpaste and cookies. ""The freer availability of cannabis in Thailand, to which a lot of Singaporeans go and from where a lot of tourists come to Singapore, is going to present more challenges,"" said Mr Shanmugam on Malaysian news channel Astro Awani. He noted how the authorities in Thailand had tried to rein in the effects of legalising cannabis but stressed the difficulties in policing and controlling its use. Mr Shanmugam was speaking during an interview with host Melisa Idris, who also asked how Malaysia's looking into legalising medical marijuana would impact Singapore. Mr Shanmugam said: ""If Malaysia legalises cannabis or other drugs, given the even greater flow of people between Malaysia and Singapore compared to Thailand and Singapore, of course, it will be more challenging from the law enforcement (angle) and trying to keep Singapore drug-free."" He stressed that research shows that the drug is addictive and can cause irreversible brain damage, brain shrinkage, and serious mental and psychiatric illnesses. Mr Shanmugam cited the United Nations Office on Drugs and Crime (UNODC) saying that the East and South-east Asia region is ""literally swimming"" in methamphetamine, with more than one billion tablets seized in the region last year, and organised crime treating ""the region like a playground"". Due to the huge supply of methamphetamine in the region, the drug is becoming cheaper and more easily available, but Singapore's tough laws have kept the country safe. Asked about international criticism of Singapore's use of the death penalty, Mr Shanmugam pointed to the thousands of lives saved through the strict rules on drugs. He cited an Aug 25 Financial Times article that stated that all but three of Latin America's 21 mainland nations are now ""main countries of source or transit"" for cocaine, according to the UNODC. The 18 countries face big problems such as kidnappings and crime, said Mr Shanmugam, questioning who is looking at protecting the lives of victims of these crimes. In defending Singapore's strict approach to drugs, he cited a World Health Organisation (WHO) report from August last year that said 500,000 people die each year due to drug use. Mr Shanmugam also cited United States' Centres for Disease Control and Prevention (CDC) data, which said 100,000 people in the US died last year due to drug overdose. He also said 80 babies were born every day with neonatal abstinence syndrome, which can cause the baby to be dependent on drugs at birth, which the CDC reported using data from 2017. Mr Shanmugam also cited another Financial Times report earlier this year that opioids have shaved one year off the average male life expectancy in the US. ""These are big numbers, but, you know, we focus on a few drug traffickers. But these hundreds of thousands of lives, are we not compassionate about them?"" said Mr Shanmugam. When Ms Idris asked if the Government would reconsider the mandatory death penalty in a similar way that Section 377A was reconsidered because attitudes had ""shifted appreciably"", Mr Shanmugam said the issues differed slightly. ""It's... a philosophical question when people think when the state should put someone to death - should it or should it not? And it's bound with other philosophical questions which have real-life consequences, like - can you put someone to capital punishment even if you're convinced that a larger number of lives will be saved?"" he added. Mr Shanmugam also noted that despite international outcry against the mandatory death penalty, Singapore's reputation has never been stronger in terms of people wanting to invest and move to Singapore. He said: ""Having looked at the facts, having looked at the data, I will say it is my duty to continue to try and persuade Singaporeans that having the death penalty works as a serious deterrent, and it keeps Singapore safe... ""Most importantly, it saves thousands of lives, and we don't descend into the state of chaos that a lot of other countries have descended into."""
https://www.straitstimes.com/singapore/courts-crime/3k-fine-for-east-ocean-teochew-restaurant-for-third-breach-of-covid-19-measures,$3k fine for East Ocean Teochew Restaurant for third breach of Covid-19 measures,"SINGAPORE - A popular restaurant at Ngee Ann City has been hit with a fine after it allowed a group of 11 guests from different households to dine together in January this year, flouting Covid-19 regulations that limited group sizes to five people. The Chinese New Year reunion gathering was found out three weeks later, when safe distancing enforcement officers inspected the establishment's bookings. On Thursday, East Ocean Teochew Restaurant was convicted of breaching Covid-19 measures and fined $3,000. The restaurant had flouted Covid-19 control orders on two previous occasions. At the time of the latest offence, group sizes for dining at restaurants were capped at five people as Singapore emerged from an outbreak caused by the Delta variant of the Covid-19 virus. The court heard that operations manager Lai Yoong Chong and his manager Ho Yan Min were in charge of the restaurant at the time of the dinner on Jan 31. The establishment occupies a unit on the fifth floor of Ngee Ann City. Deputy Public Prosecutor Cheng You Duen said that about three weeks after the dinner, a team of safe distancing enforcement officers from the Singapore Tourism Board inspected the restaurant and checked its reservations list. They spotted a booking by a customer Chang Pei Ching for a group of 11 customers seated across three tables. Investigations found that the customers were not from the same household. Mr Ho had accepted the reservation but he and Mr Lai did not check if the customers were from the same household before allowing them into the premises. Seeking a fine of at least $4,000, DPP Cheng said it was not the establishment's first time running afoul of Covid-19 measures. In 2021, it was fined $2,000 in July and $1,000 in February for similarly breaching pandemic measures."
https://www.straitstimes.com/singapore/courts-crime/maximum-jail-and-fine-for-serial-protester-who-held-illegal-demonstration-at-us-embassy,"Maximum jail, fine for serial protester who held illegal demonstration at US Embassy ","SINGAPORE - For the ninth time in six years, a serial protester was dealt with in court for holding illegal demonstrations in public areas - 18 days after he was released from jail for similar offences. Singaporean Yan Jun, 46, was on Thursday jailed for 12 months and an additional 53 days as he had committed the offences during his remission order. He was also fined $5,000 but will serve an additional six months in jail as he is unable to pay the sum. Yan displayed placards in front of the United States Embassy in Napier Road on June 12, denouncing the governments of the US, Singapore and Canada, after notifying various authorities and media outlets about his plans to do so, the prosecution said. Yan, whose occupation was not mentioned, repeatedly shouted at the top of his voice despite being asked by police officers to calm down. He was later arrested, Deputy Public Prosecutor Sean Teh added. His protests mostly targeted political figures and the Singapore judiciary and dates back to at least 2016, when he was convicted of holding demonstrations outside the Istana and the US Embassy, according to court documents. He staged several protests in 2017 and used a loudhailer to yell at police officers from a distance for a prolonged time. He was also convicted of shouting in an officer's face. Yan has been jailed between three weeks and roughly a year and fined around $5,000 each time for his previous convictions. He spent additional time in jail as most of the fines were unpaid. DPP Teh, who sought a maximum penalty for Yan's offences, said: ""It is striking that this is the ninth occasion the accused is being convicted for similar offences within a short span of less than five years."" He added: ""The total sentences imposed (for) his previous convictions have had no deterrent effect on the accused."" He noted that the High Court had warned Yan in an earlier conviction that he would face a maximum punishment if he were to reoffend. The prosecutor said that Yan suffered from a delusional disorder that contributed to his offending, adding that Yan was not suitable for community rehabilitation due to his refusal to comply with treatment and lack of insight into his condition. A lengthy jail term gives Yan the best chance to break out of his cycle of offending and to receive structured treatment in prison, DPP Teh told the judge. DPP Teh said that Yan provided no defence to his charges during trial, instead making claims about the Government's involvement in scandals. On Thursday, Yan insisted the trial was unfair and said he would remain silent. When asked by District Judge Shawn Ho if he had a mitigation plea, he stayed silent, rocking side to side on his seat in the dock. After several prompts to hear his plea, Judge Ho took the prosecution's position on sentencing. For disorderly behaviour in a public place, a repeat offender can be jailed up to 12 months and fined a maximum of $5,000. Those who organise a public assembly without a valid permit can be fined up to $5,000."
https://www.straitstimes.com/singapore/courts-crime/2-ex-directors-of-firm-linked-to-ponzi-scheme-convicted-of-carrying-on-fraudulent-business,2 ex-directors of firm linked to Ponzi scheme convicted of carrying on fraudulent business,"SINGAPORE - Two former directors of a firm linked to a Ponzi scheme were found guilty on Thursday of carrying on a fraudulent business, an offence under the Companies Act. At the time of the offences, Singaporean Iseli Rudolf James Maitland, 63, and Malaysian How Soo Feng, 48, were directors of The Gold Label (TGL), which sold gold to more than 2,000 customers under a ""buyback"" arrangement, bringing in revenue totalling more than $120 million. TGL has since wound up. In January this year, the third former director Wong Kwan Sing, then 50, was sentenced to two years and 10 months' jail after pleading guilty to an offence under the Companies Act. The court heard that Maitland and How were directors and shareholders of TGL from July 7, 2009, to Nov 15, 2010. In their submissions, Deputy Public Prosecutors Kevin Yong, Edwin Soh, Grace Teo and Ong Xin Jie said the firm had no investment activities and relied on sales of new contracts under the buyback scheme to repay its obligations under the older contracts. The cycle continued until TGL was unable to sell new contracts and the business broke down. Its payout and buyback obligations to clients came up to more than $85 million, while the company had just over $450,000 in its bank accounts as at Oct 7, 2010. The prosecutors told District Judge Ng Peng Hong that Maitland and How had profited handsomely from the fraudulent gold buyback business. More than $1.2 million in directors' fees had been paid between July 2009 and June 2010. The DPPs said: ""The more gold buyback contracts TGL sold, the more the accused persons earned... it is because of such personal greed that the accused persons continued with TGL's operations, despite the overwhelming evidence that they knew there was no profit-generating formula."" The Straits Times had reported in January that Wong, a Malaysian, who is also known as ""Gary"", had pocketed at least $598,000 from the scheme. Maitland was represented by lawyers Adrian Wee and Lynette Chang from Characterist law firm. Lawyers from Withers KhattarWong - Mr Shashi Nathan, Mr Jeremy Mark Pereira and Ms J. Jayaletchmi - represented How. During the trial, the pair had claimed that they were unaware that TGL was operating a financially unsustainable business. According to them, they had relied on Wong to run a ""formula which would magically generate sufficient profits"" for TGL to honour its payment obligations. Maitland and How had claimed that they did not know how this formula worked but left it entirely to Wong to run. The DPPs said: ""The accused persons' defence is disingenuous and totally without merit. There is a wealth of evidence which shows the accused persons must have known there was no formula generating profits for TGL."" For instance, the court heard that Maitland and How admitted they knew that the firm's business model involved money circulation. The pair also admitted they knew that TGL needed to invest the sales proceeds to generate returns but the firm did not conduct any investments, said the prosecutors. Their mitigation and sentencing will take place on Sept 12."
https://www.straitstimes.com/singapore/courts-crime/29-million-fine-for-supplier-who-was-part-of-largest-syndicate-involving-duty-unpaid-alcohol,$2.9 million fine for supplier who was part of largest criminal operation involving duty unpaid alcohol,"SINGAPORE - When an alcohol supplier heard that others in the trade were siphoning off duty unpaid liquor to sell illegally, he struck a deal with them to sell his stock. For a fee, the syndicate helped Ng Yin Hon to cover up the sale of duty unpaid alcohol to his customers, evading some $500,000 in taxes. Ng, 35, was part of the largest and longest-running syndicated operation involving duty unpaid alcohol uncovered in Singapore, the court heard. The total amount of taxes evaded amounted to some $25 million. On Wednesday, Ng pleaded guilty to tax evasion and was fined $2.9 million. He will be jailed for 40 months if he does not pay the fine by Oct 24. The court heard that the syndicate sold liquor illegally here by diverting duty unpaid alcohol meant for consumption only on board vessels calling at Singapore, or in the territory permitted by Singapore Customs. Such alcohol is considered as exported and thus exempt from taxes, said Deputy Public Prosecutor Jordon Li. Without paying taxes, the syndicate would earn illegal profits by selling alcohol at much lower prices than other legitimate sellers, he added. The syndicate was formed in 2017 by Lim Wei Luen, now 41, and Teo Tian Soon, 56 - also known as Muhammad Ridwan Teo - who handled supplies for ships. They bought duty unpaid alcohol from suppliers who stored duty unpaid alcohol at licensed warehouses here to be sold to the vessels. The group then formed nine shell entities which were declared as exporters of alcohol. To forge the necessary permits, they paid a shipping agent to give them the details of the auxiliary police officers on duty, whose details were included in falsified permits to make it look genuine. They also paid off drivers to move the liquor to a holding warehouse, from which the syndicate delivered the duty unpaid alcohol to their buyers illegally. When Ng learnt in 2018 that Teo was illegally selling duty unpaid alcohol, he saw it as a chance to sell some stock to his customer Siva Reuben Sreetharan, 49, whose occupation was not mentioned in court documents. For a fee, Teo agreed to forge the permits to cover Ng's illegal sales. Over at least 60 occasions in 2019, Ng falsely declared some 40,000 bottles of liquor and nearly 100,000 cans of beer for export, despite knowing that they were meant to be delivered only to territories approved by Customs. It amounted to nearly $500,000 in taxes evaded, said DPP Li, who sought a fine of $2,990,018.10 for Ng. The offences came to light during a sting operation to catch the syndicate in November 2019 when Customs officers spotted a truck unloading duty unpaid alcohol at an unlicensed warehouse, leading to the arrests. Ng is among 12 people who have been taken to court for their involvement in the syndicate. Teo was earlier jailed for a year and fined $48 million, while Lim was fined $28 million."
