Link,Title,Content
https://www.straitstimes.com/singapore/health/new-initiatives-will-give-elderly-residents-in-beo-crescent-access-to-more-services,New initiatives will give elderly residents in Beo Crescent access to more services,"SINGAPORE - Senior citizens in the Beo Crescent area will have greater access to services such as counselling, job placement and befriending under two agreements signed on Friday (Aug 19). Under one of the agreements - signed between Thye Hua Kwan Moral Charities (THKMC) and the Singapore General Hospital (SGH) - residents of Beo Crescent, where a THK Active Ageing Centre is located, can access services such as tele-consultations and medication delivery. The collaboration will give the organisation a ""network of resources"" to help seniors in Bukit Merah and Tiong Bahru, said SGH population health and integrated care office director Low Lian Leng. Meanwhile, a separate agreement was signed between THKMC, the Agency for Integrated Care (AIC), Sage Counselling Centre and Tsao Foundation. AIC will support the Beo Crescent centre via its Communities of Care initiative, which will give the centre resources needed to build partnerships with other organisations. The agency will also refer seniors to the active ageing centre for services such as befriending and case management. THKMC's collaboration with the Sage Counselling Centre will provide counselling to the elderly as well as their family members and caregivers, while Tsao Foundation will help seniors in areas such as job placements. Witnessing the ceremony was Health Minister Ong Ye Kung, who also toured the active ageing centre. The Beo Crescent centre - appointed by the Ministry of Health and AIC as an active ageing centre last year - was chosen for Friday's initiatives due to the large number of seniors living in the vicinity. THKMC chief operating officer Jason Lee said the collaborations were aimed at improving the experience of senior citizens in its centres. ""The seniors can look forward to ageing healthily and independently,"" he said. Speaking to reporters on Friday, THKMC divisional director for elderly services Andy Lee said the new initiatives would benefit up to 300 people in the area, adding that he hoped for similar initiatives to be extended to its other centres. ""At the end of the day, we have to be a society that takes care of everybody,"" he said."
https://www.straitstimes.com/singapore/health/monkeypox-patients-can-recover-at-home-from-aug-22-moh,Monkeypox patients can recover at home from Aug 22,"SINGAPORE - People who have monkeypox can recover at home from next Monday (Aug 22). This is provided they are assessed to be clinically stable by a doctor, and their place of residence is suitable for home recovery, the Ministry of Health (MOH) said on Friday (Aug 19). Currently, all confirmed cases assessed by public hospitals to be clinically stable recover with telemedicine support at a monkeypox isolation facility. MOH said that those assessed to be at higher risk of complications will continue to be managed in hospitals. All confirmed cases will be issued an isolation order and are required under the Infectious Diseases Act to remain isolated until they are medically assessed to be non-infectious, MOH said. The ministry added that local and international data shows that monkeypox is typically a mild and self-limiting illness where the majority of patients recover within two to four weeks without requiring hospitalisation. ""As the transmission of monkeypox requires close physical or prolonged contact, including face-to-face and skin-to-skin contact such as sexual contact, the risk to the general public remains low,"" it said. MOH said patients recovering at home should have access to a bedroom with an attached bathroom. Other household members should use a second bathroom. The home should also not have a household member who is pregnant; children below 12 years old; seniors aged 80 and above; individuals who are undergoing dialysis, or who have weakened immune systems or are on immunosuppressants; or individuals at higher risk of being infected, such as those with caregiving needs. To avoid any animal-to-human transmission, there should be no pets at the patient’s home. The monkeypox virus can spread through bites and scratches or direct contact with skin, mucosa (mucous membrane), blood and bodily fluids. Patients may continue to recover in the monkeypox isolation facility if their homes are not suitable for home recovery. MOH said patients on home recovery will receive regular telemedical consultations to assess their state of recovery.  They may also be taken to the National Centre for Infectious Diseases (NCID) if additional reviews are necessary. At the end of the isolation period, patients will have to undergo a review at the NCID to see if they are ready for discharge. MOH did not state the length of the isolation period. Those medically assessed to have fully recovered will be able to exit isolation, while those who have not will continue to be isolated until their next discharge review. MOH added: “In line with the shift to home recovery, suspect monkeypox cases who are assessed to be clinically well will no longer be required to isolate in the hospital while awaiting their test results.  “They may instead isolate themselves at home if they are able to do so.” Those unable to do so will be isolated at a facility while waiting for their test results. Suspected cases who are assessed to require clinical care will continue to be managed in hospitals, the ministry said. “MOH will continue to monitor the monkeypox situation closely and calibrate our preparedness and response measures as needed,” it said. “Members of the public are encouraged to exercise personal responsibility by monitoring their personal health, maintaining good hygiene, and avoiding high-risk sexual activity, such as having multiple sex partners or casual sex, especially during travel. “They should also avoid close contact with individuals known or suspected to have monkeypox infection.” As at Aug 13, there are 15 confirmed cases of monkeypox here."
https://www.straitstimes.com/singapore/health/health-check-podcast-what-can-be-done-to-help-more-end-of-life-patients-fulfil-their-wish-of-dying-at-home,What can be done to help more end-of-life patients fulfil their wish of dying at home?,"Synopsis: Every first and third Wednesday of the month, The Straits Times helps you make sense of health matters that affect you. In Singapore, deaths happen more in hospitals than in the patients' own homes, even though a Lien Foundation survey conducted back in 2014 had found that many people would prefer to die at home, surrounded by loved ones. Health Minister Ong Ye Kung said recently that the government wants to help more people fulfil this wish by boosting palliative care support. Conversations about death and dying are difficult but crucial to understanding a person's end-of-life wishes, as well as the fact that dying is a part of life. In this episode, ST senior health correspondent Joyce Teo speaks to Clinical Associate Professor Alethea Yee, a senior consultant from the Division of Supportive & Palliative Care at the National Cancer Centre Singapore. She was the head of the division before she was seconded to Assisi Hospice to be the Clinical Director in 2018. Dr Yee is also the Deputy Head of the SingHealth Duke-NUS Supportive & Palliative Care Centre as well as the Education Director of the Lien Centre for Palliative Care at Duke-NUS. She asks Dr Yee about what can be done to make it possible for more end-of-life patients to die at home if they want to do so. She and Dr Yee also talk about the role of day hospices as well as the challenges and some recent developments in the palliative care sector. This is part two of their conversation on palliative care. In the first episode, they discuss what palliative care is about and how it can help a person live well before leaving. In it, Dr Yee also shares a story of a patient who received the help she needed to fulfil her last wish. Highlights (click/tap above): 0:52 What can be done to help more patients die at home if they wish to? 3:00 Mindset shift of Singapore's society  5:15 Who can benefit from hospice and daycare services? 6:29 Are people more receptive to day hospice centres? 8:05 Challenges and changes in the palliative care sector Produced by: Joyce Teo (joyceteo@sph.com.sg), Ernest Luis, Penelope Lee and Eden Soh Edited by: Eden Soh Follow Health Check Podcast episodes out here every first and third Wednesday of the month: Channel: https://str.sg/JWaN Apple Podcasts: https://str.sg/JWRX Spotify: https://str.sg/JWaQ Google Podcasts: https://str.sg/J6Wv  SPH Awedio app: https://www.awedio.sg/ Website: http://str.sg/stpodcasts Feedback to: podcast@sph.com.sg Read Joyce Teo's stories: https://str.sg/JbxN --- Discover ST's special edition podcasts: Singapore's War On Covid: https://str.sg/wuJa The Unsolved Mysteries of South-east Asia: https://str.sg/wuZ2 Stop Scams: https://str.sg/wuZB Invisible Asia: https://str.sg/wuZn --- Discover more ST podcast series: Asian Insider: https://str.sg/JWa7 Green Pulse: https://str.sg/JWaf In Your Opinion: https://str.sg/w7Qt Your Money & Career: https://str.sg/wB2m SG Extra: https://str.sg/wukR #PopVultures: https://str.sg/JWad ST Sports Talk: https://str.sg/JWRE Bookmark This!: https://str.sg/JWas Lunch With Sumiko: https://str.sg/J6hQ Discover ST Podcasts: http://str.sg/stpodcasts Discover BT Podcasts: https://bt.sg/pcPL Follow our shows then, if you like short, practical podcasts!"
https://www.straitstimes.com/singapore/health/doctors-seeing-more-flu-cases-as-covid-19-restrictions-ease,Doctors in S'pore seeing more flu cases as Covid-19 restrictions ease,"SINGAPORE - The number of influenza cases in Singapore has risen in recent weeks, following the relaxation of rules aimed at containing the spread of Covid-19. Dr Edwin Chng, medical director at Parkway Shenton, which has 30 general practitioner clinics, said the group has seen the number of flu cases increase by about 25 per cent over the past month."
https://www.straitstimes.com/singapore/health/pre-surgery-screening-saves-doctors-more-than-1400-consultation-hours,"Pre-surgery screening saves SingHealth doctors more than 1,400 consultation hours","SINGAPORE - An electronic system that screens and categorises patients before surgery has allowed anaesthesiologists at the Singapore General Hospital to devote more time to high-risk patients. The system saves them about 1,410 hours of consultation over almost a year. It categorises patients into high- and low-risk groups based on their existing co-morbidities, predicting their suitability for surgery and anaesthesia. High-risk patients save more than four minutes of consultation time as information from the assessment is available to the doctors beforehand, while low-risk patients need only do a remote screening with a nurse over the phone. This helped cut the number of consultations done by anaesthesiologists by almost 2,000 between August last year and June this year - equivalent to about 1,410 hours, or more than 58 days - said Manpower Minister Tan See Leng on Tuesday (Aug 16). ""Anaesthesiologists can now devote more time to pre-surgery counselling to ensure health optimisation of high-risk patients, and patients also save time at the pre-surgery assessment."" Associate Professor Hairil Abdullah, a senior consultant with the anaesthesiology department at SGH, said: ""It's significant because even though it's four to five minutes per patient, my clinic sees about 100 to 110 patients a day.""  The system was one of a number of innovations highlighted by Dr Tan during the Singapore Healthcare Management Congress held at the Sands Expo and Convention Centre on Tuesday. Another was a system which automates the documentation of ward procedures, such as the dressing of complex wounds, performed by nurses and allied health professionals. The initiative allows for billing to be done directly and accurately, saving more than 1,700 hours per month. SingHealth's group chief nurse, Adjunct Associate Professor Tracy Carol Ayre, said the system freed nurses up from performing rote tasks, allowing them to devote more time to direct patient care. It has been rolled out to all SingHealth institutions since last December, and is expected to include procedures performed by doctors by the end of next year. Technology and process innovation can optimise the ""precious manpower"" in the healthcare sector, said Dr Tan. Healthcare is one of the sectors that have been hard hit by a labour crunch, worsened by the Covid-19 pandemic. According to the Manpower Ministry's labour report in June, job vacancies in health and social services rose to 7,700 in March, up from 6,500 in December last year. And earlier this month, Senior Parliamentary Secretary for Health Rahayu Mahzam said in Parliament that the attrition rate among public sector nurses had increased last year, with the attrition among foreign nurses more than doubling to 14.8 per cent."
https://www.straitstimes.com/singapore/health/sg-extra-podcast-self-medicating-for-covid-19-is-fueling-a-shortage-in-over-the-counter-medicine,Self-medicating for Covid-19 is fueling over-the-counter medicine shortage,"Synopsis: The Straits Times analyses Singapore's latest news and announcements in this weekly podcast.  The Straits Times' Zakir Hussain, Singapore editor at The Straits Times, speaks with Money FM 89.3's Timothy Goh and Bharati Jagdish. Some over-the-counter medicine to treat fever, cough and cold are in short supply at pharmacies here, as more Covid-19 patients opt to self-medicate. Checks by The Straits Times found that several pharmacies, including Watsons and Guardian, are running low on Panadol Cough & Cold and Decolgen - which are used to relieve symptoms brought about by a cold or flu. In this week's episode, the team discusses the severity of this shortage and when we can expect supplies of common medications to recover and stabilise. Produced by: Zakir Hussain (zakirh@sph.com.sg) & Money FM 89.3 Edited by: Money FM 89.3’s Nadiah Koh Follow SG Extra Podcast episodes every Tuesday here on our ST Podcasts channel: Channel: https://str.sg/wukR  Apple Podcasts: https://str.sg/wu3h  Spotify: https://str.sg/wukD  SPH Awedio app: https://www.awedio.sg/ Website: http://str.sg/stpodcasts Feedback to: podcast@sph.com.sg Read Zakir Hussain's articles: https://str.sg/we4e --- Discover ST's special edition podcasts: Singapore's War On Covid: https://str.sg/wuJa The Unsolved Mysteries of South-east Asia: https://str.sg/wuZ2 Stop Scams: https://str.sg/wuZB Invisible Asia: https://str.sg/wuZn --- Discover more ST podcast series: Asian Insider: https://str.sg/JWa7 Green Pulse: https://str.sg/JWaf Health Check: https://str.sg/JWaN In Your Opinion: https://str.sg/w7Qt Your Money & Career: https://str.sg/wB2m #PopVultures: https://str.sg/JWad ST Sports Talk: https://str.sg/JWRE Bookmark This!: https://str.sg/JWas Lunch With Sumiko: https://str.sg/J6hQ Discover ST Podcasts: http://str.sg/stpodcasts Discover BT Podcasts: https://bt.sg/pcPL Follow our shows then, if you like short, practical podcasts!"
https://www.straitstimes.com/singapore/health/askst-will-covid-19-antiviral-drug-paxlovid-be-less-effective-with-some-medication,Will Covid-19 drug Paxlovid be less effective if the patient is taking other medications?,"SINGAPORE - Doctors are prescribing two oral antiviral drugs here to help protect those infected with Covid-19 and at high risk of developing severe disease. The drugs Paxlovid and Lagevrio can help prevent hospitalisation and death, and are meant to be given within five days of the onset of symptoms. They are being prescribed at all polyclinics and more than 130 Public Health Preparedness Clinics here. But Paxlovid, which consists of nirmatrelvir tablets and ritonavir tablets, is not suitable for everyone, as there are many drugs that can affect the way it works. No drug interactions are known with molnupiravir, which is sold as Lagevrio. A: Yes, it depends on the significance of the potential drug interaction, as some drugs can cause adverse consequences, while others can be managed safely. Doctors could temporarily halt the medication that may interact with it, or adjust the dosage of that medication. (See HSA fact sheet for more information.) Dr Leong Hoe Nam, an infectious diseases specialist at Rophi Clinic, said doctors will not prescribe Paxlovid if a patient is taking the anti-coagulant or blood thinner warfarin. They will also not prescribe the antiviral drug for patients on certain heart medications, anti-psychotic medications and immunosuppressants. Paxlovid could increase the levels of some of these drugs in the body, which leads to toxicity. Conversely, it could decrease the levels of the drugs, which would render them ineffective. Both scenarios could end up harming the patient, said Dr Leong. ""I am less bothered if the drug effect is lowered because it is only for five days (a course of Paxlovid). But if its drug effect is enhanced, this may lead to potential complications,"" he said. ""It would be like an overdose of the drug. Too much of a 'good thing' may be a bad thing."" A: It is common for doctors to ask patients to stop certain medications or use an alternative while receiving Paxlovid, said Raffles Medical family physician Aw Suet Chee. For example, a Covid-19 patient, Madam A, who is 72 and taking metformin for diabetes and simvastatin for high cholesterol, was prescribed Paxlovid, and her simvastatin was withheld for eight days during the course of treatment, Dr Aw said. If doctors do not prescribe Paxlovid due to drug interactions, they may then prescribe the alternative, which is molnupiravir, if this is suitable. A: Dr Leong said it is extremely rare for a patient to get a stroke simply because the medicine was stopped for five days. Many individuals do stop taking their blood thinners transiently just before and during surgery, or when there are complications such as bleeding, he noted. Dr Leong said Covid-19 has been known to cause blood clots to form in blood vessels - also known as thrombosis, which can lead to a stroke or heart attack. This may occur independently of previous heart diseases or strokes. A: There are a few theories. One is that a five-day course is too short. ""The hypothesis is that the body's immune system hasn't kicked in sufficiently to suppress the virus,"" said Dr Leong. ""The medicine just helps control viral replication but it doesn't wipe out the virus totally in the first five days. ""It depends on the immune system to do the second leg of the defence, but in some individuals, this kicks in later,"" he added. Some of these individuals may require a second course of treatment, but overwhelmingly, most do not require a second course, said Dr Leong. The Ministry of Health had previously said that viral rebound is uncommon and that generally, patients experiencing rebound showed mild symptoms that were resolved without any further treatment."
https://www.straitstimes.com/singapore/health/labels-for-drinks-high-in-sugar-saturated-fat-how-sweet-are-kopitiam-beverages,"Labels for drinks high in sugar, saturated fat: How sweet are kopitiam beverages? ","Outlets selling freshly prepared drinks that are high in sugar and saturated fat content must label them in their menus by the end of next year, said Health Minister Ong Ye Kung on Thursday (Aug 11). Beverages that need to have the Nutri-Grade mark include freshly brewed coffee, freshly squeezed juices and bubble tea. Do you know how much sugar there is in popular local drinks like kopi and teh? The amount might surprise you."
https://www.straitstimes.com/singapore/health/no-change-to-covid-19-rules-for-now-including-wearing-masks-indoors-moh,Indoor mask rule stays as Covid-19 cases remain high even though peak of current wave has passed,"SINGAPORE - There are no plans for now to relax Covid-19 rules, including the requirement that people wear a mask indoors, said the Ministry of Health (MOH). In response to queries, MOH on Thursday (Aug 11) said existing safe management measures will continue to stay in place, as the number of cases remain high. This is even as the latest wave of infections has passed its peak. An MOH spokesman said: ""Cases are falling but remain high and pose risks. The Ministry of Health will continue to calibrate measures depending on the situation."" On Thursday, 7,776 new Covid-19 cases were reported, down from a high of 16,870 on July 13, in cases largely fuelled by the BA.4 and BA.5 Omicron variants. Last month, Health Minister Ong Ye Kung said the current wave was ""near the peak, if not at the peak"". He said in Parliament last week that infection numbers had fallen and were likely to subside further. MOH was responding to queries on whether there were plans to relax existing Covid-19 rules, including the rule that people wear a mask indoors in places like shopping malls and on public transport. While most safe management measures have been eased, patrons of bars and nightlife establishments with dancing, for instance, are required to be fully vaccinated. Events with more than 500 participants, such as worship services and live performances, also require everyone who is attending to be fully vaccinated. Some experts in Singapore have recently suggested that there is no need to continue enforcing mandatory mask-wearing indoors. Associate Professor Alex Cook, who is the vice-dean of research at the National University of Singapore's (NUS) Saw Swee Hock School of Public Health, had questioned the benefits of this. ""With over 90 per cent of the population vaccinated and over half the population infected, there is little reason to contain the virus. There is no need to continue mandatory mask-wearing,"" he said. His colleague at the school, Associate Professor Natasha Howard, said the benefits of the continued requirement for indoor mask-wearing are ""minimal"". But Prof Cook said wearing masks reduced the risk of transmission among those who were infectious but asymptomatic, and that those infected by Covid-19 should continue to wear masks while interacting with others. Wearing masks in public spaces was made compulsory in April 2020, during Singapore's ""circuit breaker"" period aimed at stopping the spread of Covid-19. In March this year, wearing a mask outdoors was made optional as a raft of pandemic restrictions were lifted. But the rule on using masks indoors remained. Around the world, countries experiencing a spike in Covid-19 cases are once again encouraging people to wear masks. In Australia, the authorities in Victoria on Tuesday said free N95 masks will be give out over the next few weeks amid the current Omicron wave. In the south-east Australian state, mask wearing is required on public transport and in hospitals and aged care facilities, and is recommended in other indoor settings. In the Indian capital of New Delhi, the authorities on Thursday said masks would again be required in all public areas, including outdoor settings, after Covid-19 infections spiked in recent weeks."
https://www.straitstimes.com/singapore/health/drinks-outlets-must-label-beverages-high-in-sugar-saturated-fat-on-their-menus-by-end-2023,"Drinks outlets must label beverages high in sugar, saturated fat ","SINGAPORE - Outlets selling freshly prepared drinks that have a very high level of sugar and saturated fat content must label them with a Nutri-Grade mark in their menus by the end of next year, said Health Minister Ong Ye Kung on Thursday (Aug 11). Such beverages include freshly brewed coffee, freshly squeezed juices and bubble tea. This rule will come after the requirement for pre-packed beverages with higher sugar and saturated fat content to be labelled with a Nutri-Grade mark kicks in from Dec 30 this year. ""It is a neutral or even nice name, but the message to consumers is to avoid those with Nutri-Grade mark that indicates a high level of sugar,"" said Mr Ong. The outlets will also be prohibited from advertising freshly prepared beverages with the highest level of sugar and saturated fat content, he said. The Government is working towards publishing these measures in the middle of next year and have them come into effect by end of next year, Mr Ong added. This is part of the Government's efforts to influence consumers' diet and sugar intake in order to win the war on diabetes. It fits in with the preventive care emphasis in its new healthcare transformation strategy, called Healthier SG. Mr Ong said that six new patients are diagnosed with kidney failure in Singapore every day, up from about four per day in 2011, and this number is driven mainly by two factors – age and disease prevalence. Singapore is ageing and while diabetes prevalence has stayed quite consistent over the years, the prevalence of obesity -  a key risk factor for diabetes - is rising. He was speaking at the opening ceremony of the International Society of Peritoneal Dialysis Congress 2022, which is being held in Singapore for the first time. In his speech, he also said that the Ministry of Health is aiming to get 30 per cent of new dialysis patients to opt for a home-based form of treatment known as peritoneal dialysis (PD) by 2025, up from around 20 per cent now. The target is not new as the Government has been trying to encourage more kidney failure patients to do so over the years, but the uptake has yet to shoot up. Currently, most patients opt for haemodialysis, which is done with a machine at a dialysis centre. PD offers greater convenience and self-empowerment, Mr Ong said. ""To achieve this (target), we are developing with our stakeholders a set of pre-dialysis counselling, training and educational materials to help patients to perform PD independently at home,"" said Mr Ong. In April, MOH launched the National PD Home Support Programme to provide home visits and more specific counselling to patients, he said. Kidney patients go for dialysis regularly to remove waste products and excess fluid from the blood as their kidneys can no longer do so. In PD, a dialysis solution is introduced into the body through a permanent catheter in the abdomen to do the job and then drained out. Mr Ong said that MOH has been working with public hospitals and social service organisations to recommend PD as the preferred dialysis option for patients with kidney failure, unless they are medically unsuitable. ""With a lot of hard work, the PD utilisation rate among new dialysis patients rose steadily from 18 per cent in 2015 to around 21 per cent in 2019,"" he said. ""However, the progress hit a snag after that due to Covid-19. Catheter insertions were delayed, training and home support services were also disrupted."" PD utilisation rate has therefore stagnated at around 20 per cent, he said. Mr Ong added that MOH will continue to deploy new tools - such as a wearable automated PD device developed by researchers and scientists in Singapore - to guide the treatment and care of patients with kidney failure. The number of patients with end-stage renal disease - those whose kidneys can no longer function on their own and must receive dialysis or kidney transplantation - who are on dialysis has risen over the years and is expected to rise, given Singapore's rapidly ageing population."
