Link,Title,Content
https://www.straitstimes.com/singapore/jobs/askst-how-does-the-progressive-wage-model-benefit-workers-in-the-retail-industry,How the Progressive Wage Model will benefit workers in retail industry,"SINGAPORE - From Sept 1 this year, workers in the retail sector will come under the Progressive Wage Model (PWM), which sets out the minimum pay and training requirements for workers at different levels of skill. This is after recommendations by the Tripartite Cluster for Retail Industry (TCR) were accepted by the Government on Monday (Aug 15)."
https://www.straitstimes.com/singapore/jobs/10-logistics-firms-sign-mou-with-ntuc-to-redesign-jobs-improve-workplaces-for-women,"10 logistics firms sign MOUs with NTUC to redesign jobs, improve workplaces for women","SINGAPORE - To attract more women to join the traditionally male-dominated logistics sector, job tasks and work arrangements will have to be redesigned to accommodate their needs, say industry players. Among those leading the charge is Mr Dave Ng, group chief executive of logistics firm Bok Seng Logistics. Said Mr Ng: ""One area would be in the warehouse, let's say, the job of a stock picker, which you do not need to have fixed working hours for."" Instead, he said, technology and effective scheduling allow many people to work on picking out stock and packing shipments together whenever they can. Almost 85 per cent of the company's more than 250 employees are male. Bok Seng Logistics is one of 10 firms in the logistics and supply chain sector that signed memorandums of understanding (MOUs) with labour movement NTUC on Tuesday (Aug 16). The 10 firms, which together employ more than 650, pledged to implement progressive workplace policies, such as adopting standards on work-life harmony designed by the three-way, or tripartite, partnership of the Government, unions and employers. The companies have also committed to reviewing their flexible work arrangements, redesigning job roles and providing training for female workers to take on jobs in the sector. According to Ministry of Manpower statistics, more than 256,000 people work in transportation and storage services, and there were 6,900 vacancies in the sector as at last December. Ms Yeo Wan Ling, the director of NTUC's small and medium-sized enterprises (SME) unit, as well as its women and family unit, said there are about 80,000 females in Singapore who are not in the workforce but are looking for jobs. Ms Yeo, who is also an MP for Pasir Ris-Punggol GRC, added that logistics firms may attract this group to work for them by providing more conducive spaces for them, such as lactation rooms for new mothers rejoining the workforce. Also present at the signing ceremony, which included a tour of Bok Seng's warehouse in Tuas, was NTUC secretary-general Ng Chee Meng. He said in a speech that encouraging higher female labour participation is necessary to ensure the labour pool remains sufficient. He added: ""The key question is whether you can continue to import foreign augmentation of labour when there is a dwindling number of Singaporeans. ""I can tell you we have almost reached the limit,"" he said, adding that foreign labour makes up 30 per cent to 40 per cent of the workforce behind Singapore's continued economic growth. ""Even if you keep the number of foreign friends in our country at the same level, percentages will change."" He also said that although Singapore will need to continue augmenting its workforce with foreign labour in the short to medium term, companies must raise the productivity of their workforce and adopt technology more in their long-term strategy. To recognise the progressive employment practices of unionised companies and partners of NTUC's SME unit that have signed or will sign MOUs, NTUC will set up for them either a wellness corner for workers to relax and bond, or a lactation space. Said Ms Yeo: ""We want employers to join us in making their workplaces better - a nurturing environment that allows workers to juggle caregiving and work responsibilities while fulfilling their work and personal aspirations."" One woman who has decided to join the logistics sector is Ms Cindy Ng, who was hired by Bok Seng Logistics as a sales executive in June last year and sent to a nine-month career conversion programme. The hospitality sector she worked in previously was hit hard by the Covid-19 pandemic. Said the 33-year-old, who was in banquet sales for six years: ""Logistics companies are part of an essential industry as a lot of trade comes into Singapore, so I can foresee career progression in this industry."""
https://www.straitstimes.com/singapore/jobs/business-groups-welcome-move-to-raise-local-retail-staffs-wages-but-say-added-cost-a-concern-in-current-climate,Business groups welcome move to raise local retail staff's wages but say added cost a concern,"SINGAPORE- Raising the wages of local retail staff is a welcome move, but taking on more costs will likely be a concern amid the challenging business operating environment, business associations said on Monday (Aug 15). This comes after a slew of recommendations announced by the Tripartite Cluster for Retail Industry (TCR) on Monday under the Progressive Wage Model (PWM) in a move to boost low wages in the sector. The wage increase will see local workers in firms that hire foreign workers getting salary increases of 8.4 per cent to 8.5 per cent annually, from Sept 1 this year up to Aug 31, 2025. Singapore National Employers Federation executive director Sim Gim Guan said the wage growth may help to attract part-timers and meet the sector's manpower needs. But with the higher business costs that employers are already facing due to factors such as inflation, they would be concerned about absorbing costs or passing them on to consumers as this would affect their competitiveness, he said. Support measures from the Government, such as the Progressive Wage Credit Scheme, will hopefully help to mitigate the impact of the wage increases. The Singapore Retailers Association (SRA) said the wage increases will help to make the sector a more attractive career choice. But labour costs have risen substantially even before the implementation of the PWM, said SRA executive director Rose Tong. With employers having to pay a minimum wage, competition for local workers will also become more intense, adding to the difficulty in finding local workers. Ms Tong added: ""It will also be more expensive for smaller retailers, such as neighbourhood shops, to hire. Those who pay more with better employer branding and staff benefits will be better positioned to attract retail talents and retain existing staff."" Bigger retailers, such as fashion chain Uniqlo, have already taken steps to boost staff wages to attract and retain talent. Uniqlo Singapore's human resource director, Ms Juliana Tan, said the company had bumped up all its store employees' salary by an average of 23 per cent to 25 per cent in June. It has about 1,200 Singaporean and permanent resident employees islandwide. The PWM will help to keep the sector attractive to locals, but the fashion chain has also put in place training opportunities for its staff, she added. Singapore Business Federation chief executive Lam Yi Young said that while the recommendations by TCR are welcomed, retailers will also need to take steps to make sure these wage increases are sustainable. He said: ""Retailers need to press on with transformation efforts to increase productivity and grow and diversify their supply chains and markets. This is especially important in the face of rising inflation and cost pressures."" The current inflationary environment will continue to put pressure on wages, said Professor Lawrence Loh from the National University of Singapore Business School. While the wage growth increases are significant and commendable, wages are dynamic and will nevertheless be adjusted by market forces. He said: ""The competition for labour will continue to intensify as many markets transit out of the pandemic. Retailers may even have to consider increases over and above those offered by the PWM to attract workers."""
https://www.straitstimes.com/singapore/jobs/businesses-must-be-more-cost-efficient-as-salaries-rise-under-progressive-wage-model-zaqy,Businesses must be more cost-efficient as salaries rise under Progressive Wage Model: Zaqy,"SINGAPORE - Paying workers higher wages does not need to translate into significant price hikes for consumers, said Senior Minister of State for Manpower Zaqy Mohamad. ""We want things to be cost-effective, cost-efficient, affordable, but it should not be at the expense of low-wage workers,"" he said at the Ministry of Manpower, after announcing that the Government has accepted recommendations by the Tripartite Cluster for Retail on its new Progressive Wage Model (PWM) for the sector. He urged businesses to look beyond business costs going up as a result of higher wages, and instead work towards becoming more productive and cost-efficient. “Ultimately it is not just about wage increases, but how you continue to sustain increases over time... It is important to look at business productivity, workforce productivity, as well as job redesign and how we improve work conditions too,” he said. Under the new PWM for companies that hire foreign workers, wages for local workers such as retail assistants, cashiers and assistant retail supervisors are expected to go up by 8.4 per cent to 8.5 per cent annually, from Sept 1 this year to Aug 31, 2025. To help retailers cope with the increase, the Government will co-fund 75 per cent of the salary increase for workers earning gross monthly wages of up to $2,500 in 2022 and 45 per cent for those with gross monthly wages of $2,500 to $3,000. He cited the evolution of the private security industry, which he said has seen a higher growth rate of local employees, with younger people and locals joining the sector. It implemented a PWM as a licensing condition for private security agencies in September 2016. Additionally, as part of the latest round of recommendations accepted by the Government in November last year, the basic monthly wage of security officers who are at the bottom of the ladder will more than double from $1,650 in 2023 to $3,530 by 2028. Mr Zaqy said that the industry, which had a high number of officers working overtime, has become more technologically ready, with the use of tools such as closed-circuit televisions and sensors. ""It shows that with higher salaries, that doesn't mean you have to be less productive... You can train your workers to undertake a lot more meaningful tasks and not necessarily work longer hours,"" he said. The retail PWM is part of a range of progressive wage requirements that will take effect from Sept 1. They include a new local qualifying salary requirement for all companies that hire foreign employees of $9 per hour in gross wages for part-time employees, and $1,400 for full-time employees, with additional requirements for overtime; and the extension of the PWM to in-house cleaners, security officers and landscape workers. The Tripartite Workgroup on Lower-Wage Workers also recommended the expansion of the PWM to the food services sector and occupations such as administrators and drivers next March. Beyond seeing wages rise, Mr Zaqy said he also wants to see the various sectors become attractive to locals. ""One aspect we have to think about is creating an environment where locals feel that their skills are valued and they can practise them, and that there is a future for (their chosen) sector... Then, the whole dynamics change in terms of attractiveness to many of our local workers,"" he said."
https://www.straitstimes.com/singapore/jobs/2-in-5-workers-in-singapore-would-not-accept-a-job-if-they-cannot-work-from-home-study,2 in 5 workers in Singapore would not accept a job if they cannot work from home: Study,"SINGAPORE - Two in five workers in Singapore would not accept a job if they are not able to work from home, according to a recent study. About 80 per cent of the 1,000 employees surveyed also said that having flexible working hours is important to them, and 41 per cent of the respondents said they would not take up a job if they could not work during the hours that they want. The biannual study, conducted by human resources solutions agency Randstad, polled workers aged between 18 and 67 years old in Singapore earlier this year. About one-quarter of the respondents, or 27 per cent, said they have quit a job because it did not provide enough flexibility in terms of working hours and location. Ms Jaya Dass, managing director at Randstad Singapore and Malaysia, noted that even though flexible working arrangements are important to employees in Singapore, not all firms offer them as an option in the current endemic Covid-19 environment. Only 52 per cent of those surveyed said their employers provide them with remote working options, and 60 per cent said their jobs have flexible working hours. ""Hence, employees who value the flexibility to decide when and where they want to work may seek to work for other employers that offer these options,"" said Ms Jaya. ""Employers who want to retain their employees should consider offering more flexible work models to meet the changing talent expectations that have been brought about and exacerbated by the pandemic,"" she added. The survey also surfaced other sentiments about the local job market. Randstad’s survey is also conducted in other markets around the world, including Australia and Denmark.  Some 41 per cent of the Singapore workers polled said they would rather be unemployed than feel unhappy in their jobs, and slightly over half the respondents, or 52 per cent, said they would quit if their jobs prevented them from enjoying life. More employers here are implementing flexible work arrangements and other hybrid work perks as Singapore moves towards living with Covid-19. The public service and large corporations are adopting practices such as allowing staff to work from home on some days of the week and staggered working hours. Dr David Leong, managing director of human resources advisory firm PeopleWorldwide Consulting, said workers now have a preference to work from home, given how work habits have become entrenched during pandemic. Flexibility in work arrangements will increasingly be seen as an employee entitlement, if not normalised, he said. ""Those who would not accept a job if they cannot work from home must consider if their demand is reasonable and the work's context. In a market with more jobs than job seekers, workers can afford to be choosy,"" Dr Leong said. But he cautioned: ""The tide can turn when there are more job seekers than jobs."" Ms Lee Hui Sin, 39, who works as an administrative assistant in the transportation and logistics sector, said that while the option of remote work is not a deal-breaker for her, it has become a greater consideration over the past couple of years and is something that is ""always better to have"". Her employer allows her to work from home twice a week unless there are urgent matters that need to be dealt with on-site. ""I think what's most important is that your employer or supervisor is willing to be flexible in different situations, such as if you need to take care of your children or parents,"" said Ms Lee, who has a five-year-old daughter."
https://www.straitstimes.com/singapore/jobs/retail-workers-to-get-pay-increases-over-next-three-years-under-progressive-wage-model,Lower-wage retail workers to get pay hikes from Sept 1,"SINGAPORE - About 19,000 full-time lower-wage retail workers who are Singaporeans or permanent residents can expect pay hikes of 8.4 per cent to 8.5 per cent annually over the next three years.  Under the Progressive Wage Model (PWM) for the retail sector, retail assistants, cashiers and assistant retail supervisors will receive these increases from Sept 1 this year up to Aug 31, 2025. From Sept 1, full-time retail assistants and cashiers in firms that also hire foreign workers will see their monthly gross salary rise to a minimum of $1,850, excluding overtime pay. This will rise to at least $1,975 next year, then no less than $2,175 in 2024. Currently, the median gross salary of this group is about $1,850, which means half of them earn less than this. Lower-wage part-time retail staff will see their hourly gross salary go up. For example, from Sept 1, assistant retail supervisors will get $11.75 per hour, rising to $12.56 from Sept 1 next year and $13.82 from Sept 1, 2024. The wage increase was one of the recommendations announced by the Tripartite Cluster for Retail Industry (TCR) on Monday (Aug 15), which the Government later accepted. Currently, about 46,000 full-time and part-time retail workers who are Singaporeans or permanent residents work in firms that also hire foreigners. Among them, about 19,000 are lower-wage workers who will benefit from the PWM.  The TCR said the wages of retail supervisors and managers are generally above the lowest 20th income percentile and so should be left to market forces. The PWM helps to increase the wages of workers through the upgrading of skills and improving productivity. Introduced in 2012, it has been implemented in sectors such as cleaning, security, landscape as well as lift and escalator maintenance. The Government will co-fund eligible salary increases under the Progressive Wage Credit Scheme to support employers in this transition. In June, it said that the co-funding share this year will increase from 50 per cent to 75 per cent for resident employees with gross monthly salaries of up to $2,500. For salaries above $2,500 and up to $3,000, the co-funding will be raised from 30 per cent to 45 per cent. The TCR said the wage model for retail will be reviewed in 2024. Labour MP Yeo Wan Ling, who chaired the TCR, said it aims to uplift the wages of retail workers and provide them with a clear career progression pathway.  “It would help them to grow along with the evolving retail industry, and help retail firms retain and attract new entrants,” said Ms Yeo, a Pasir Ris-Punggol GRC MP. Some of TCR’s key considerations were poor job image and a lack of opportunities for progression, which have put off younger people from working in retail. In announcing the Government's acceptance of the recommendations, Senior Minister of State for Manpower Zaqy Mohamad described this as a “landmark” PWM. The TCR also recommended minimum training requirements for all retail job roles under the PWM and a clear career progression pathway. The retail PWM is a five-level career progression model which sees retail assistants and cashiers ultimately becoming retail managers. Employers have from Sept 1 this year to Feb 28 next year to adjust and comply with the requirements. After that, firms that hire foreign workers and do not follow the requirements for their Singaporean and PR workers could have their work pass privileges suspended. Due to seasonal fluctuations in the industry, the TCR has also recommended a three-month averaging of PWM baseline gross salaries to give employers some flexibility in meeting the PWM requirements. Ms Siti Suhaimah Sairi, 22, a retail supervisor at Iuiga, said she can save more money with the increase in salary to take her family on an overseas holiday. Correction note: This article has been edited for accuracy."
https://www.straitstimes.com/singapore/jobs/askst-jobs-i-am-a-supervisor-how-do-i-get-a-team-of-workers-of-vastly-different-personalities-to-bond,How do I get a team of workers of vastly different personalities to bond?,"In this series, manpower correspondent Calvin Yang offers practical answers to candid questions on navigating workplace challenges and getting ahead in your career. Q: I am a supervisor. How do I get a team of workers of vastly different personalities to bond? A: Team-bonding activities - while perhaps useful as an ice-breaker - rarely go well, because they usually force different people to do something without first understanding what each individual can bring to the table. As a supervisor, you have to recognise that everyone contributes to your team in their own ways, say experts. After all, having a wide range of talent and traits at your disposal is a good thing. Adecco Singapore country manager Betul Genc says: ""Respecting and celebrating each other's expertise and personality through open conversations encourages collaboration."" Good leaders are often known to be excellent communicators. But the great ones listen first. ""By seeking to understand before responding, you will build trust with your workers because you are paying attention to what is important to them,"" says Ms Genc. ""Learn about the various personalities within your team, make everyone heard and know what works best for them without interrupting their productivity."" While it may be tempting to go down the rabbit hole of thinking that people are difficult, don't. Rather, be aware that everyone is motivated by different needs and wants. ""Appreciate what makes people different and try to imagine what it would be like if everyone in the world was the same,"" says Mr Praveen Nair, a psychologist and senior consultant at Raven Counselling and Consultancy. In order to get your crew to work well together, provide clearly defined roles and expectations for each member. Every now and then, remind your teammates that despite the differences, you are all working towards the same goal. Yet, clashes are unavoidable, and it is better to address them than to avoid or downplay them, says Mr Nair. ""Do not take conflict personally, but try to assess how such conflict may be harnessed for the sake of work. Do also try not to be afraid of handling conflicts directly,"" he adds. ""Remain professional at all times so that different supervisees do not misread your words or actions."" Start by listening carefully, taking notes and showing that you have heard all parties by recapping their different perspectives. Then encourage compromise and help to find common ground. Remain calm throughout and agree on a way forward. Do recognise that conflicts are unavoidable and don't avoid the issue, hoping it will go away on its own. Do keep an open mind to solutions and ensure all parties commit. Don't allow emotions to lead the discussion or focus on personality traits. Ms Genc says: ""When workers feel valued and trusted, they tend to collaborate more, producing better quality work."" Have a question? Send it to askst@sph.com.sg"
https://www.straitstimes.com/singapore/jobs/tapping-the-abilities-of-persons-with-autism-can-benefit-companies-and-contribute-to-growth,Tapping the abilities of persons with autism,"With the right support and tools, persons with disabilities can be integral to companies and contribute to their growth.  
 
“One of the biggest misconceptions about individuals on the autism spectrum is that they cannot work or are able to only do simple, repetitive tasks,” says Ms Jacelyn Lim, Executive Director at the Autism Resource Centre (ARC).  Since 2012, ARC has worked with some 40 companies and placed close to 400 adults with autism in a variety of jobs.  Two companies that have partnered ARC in employing persons with autism are IT services and consulting firm Avanade and Vital, Singapore’s Public Service’s Central Agency for Corporate Shared Services. Both had been accredited with the Enabling Mark by SG Enable, the focal agency for disability in Singapore.  
 
The Enabling Mark is a national-level accreditation framework that recognises organisations for their best practices and outcomes in disability-inclusive employment. “We’ve learnt that we were able to achieve positive business outcomes through inclusive hiring practices - when there is good skills-to-job matching, effective engagement and purposeful work,” says Ms Yang Wen, Director of Corporate Development at Vital.  Persons with disabilities have various strengths and can form a sizeable talent pool that should not be overlooked. They can also provide new perspectives and innovative ideas which are crucial for businesses, says Mr Tan Eng Tat, Director for Employment & Employability at SG Enable. It may take a little more time, but the strengths of persons with autism could be uncovered and tapped when employers have greater disability awareness. Indeed, employment support does not end after a person with autism is hired. 
 
“Our focus is not just about placing jobs, but having a properly supported employment process. This comprises job assessment, employability training, proper placement, as well as preparation of worksite and colleagues,” says Ms Lim. 
 
At Avanade, a joint venture of Accenture and Microsoft, employees with autism who are placed by ARC are assigned mentors to ease them into their roles.  The tech firm’s recent hire is Ms Jesselin Ong, who was employed in April as a senior associate, Customer Relationship Management (CRM) solution developer. Ms Ong started by going through an eight-week course including a briefing by ARC explaining the role, an interview and a spatial test to gauge her aptitude for work related to software development. Thereafter, Avanade conducted a six-month programme, with weekly check-ins from ARC coaches. 
 
Says Ms Ong, who is settling in well: “Working at Avanade has taught me interpersonal skills like functioning in different teams, and navigating social situations as an autistic person, which is an essential workplace skill.” To raise awareness about neurodiversity, Avanade organises bi-annual autism awareness talks led by ARC for their Southeast Asia staff. And the firm sees benefits in being diverse, understanding that this is critical to sustainable growth. 
 
ARC’s Ms Lim noted that individuals with autism can thrive at work and be valuable assets. “Many have held onto their jobs for more than five years and some have even excelled in their work as the most productive workers,” she said.   Like everyone else, the profile of job-seekers with disabilities is diverse, and they have different qualifications and support needs.    SG Enable has been building up a holistic ecosystem of support for inclusive hiring. Mr Tan says: “For employers, SG Enable has a consultancy team that works closely with them to understand their specific needs and working environment. We would then work with them to identify suitable candidates for employment, as well as support employers with the necessary training and grants.”  He adds that for persons with disabilities who require support, they can reach out to SG Enable for assistance.  SG Enable works with its partners - ARC, MINDS and SPD - under the Job Placement and Job Support (JPJS) programme, which provides a suite of employment and recruitment support for persons with disabilities and employers, respectively.  The availability of JPJS services also assures employers that specialised support is available to kick-start their journey towards inclusive hiring. Since April 2014, SG Enable has placed more than 4,700 persons with disabilities in jobs. Inclusive Business Forum 2022 How does disability-inclusive hiring help you build business resilience and growth? Sign up for SG Enable’s Inclusive Business Forum 2022 to gain insights on how disability inclusion can benefit your business; learn best practices in disability-inclusive hiring; network with like-minded peers; and discover resources and employer support available.
 
Date: Aug 25, 2022
Time: 10am to 1pm
 
Register now at: www.sgenable.sg/ibf2022 "
https://www.straitstimes.com/singapore/jobs/ntuc-launches-year-long-exercise-to-engage-singaporean-workers-discuss-their-concerns,"NTUC launches year-long exercise to engage Singaporean workers, discuss their concerns","SINGAPORE - A new year-long public engagement exercise hopes to reach out to at least 20,000 Singaporean workers to hear their concerns, priorities and aspirations. The #EveryWorkerMatters Conversations, organised by the National Trades Union Congress and launched by its secretary-general Ng Chee Meng on Thursday (Aug 11), will also examine how unions, associations and social enterprises can evolve to address the feedback gathered. The findings and subsequent recommendations will also contribute to the Forward Singapore movement, a national year-long engagement exercise led by Deputy Prime Minister Lawrence Wong, which aims to refresh Singapore's social compact. The first phase of NTUC's conversations will run till the end of the year. Members of the public aged 18 and above will be invited to share their views through surveys, focus groups and dialogues in schools or with union leaders, among others. The second phase involves a series of policy workshops with tripartite partners, institutions of higher learning, civic society organisations, human resource practitioners and other organisations to come up with recommendations and concrete suggestions on how to better support workers. In the third phase, NTUC will surface its findings from earlier stages and release its recommendations by mid-2023, while working with 4G leaders and government policymakers involved in the Forward SG exercise. The conversations aim to engage a wide spectrum of workers, including professionals, managers and executives (PMEs), the self-employed and working parents, as well as the recently launched NTUC Youth Taskforce. Mr Ng launched the engagement exercise at a closed-door dialogue with 100 union leaders, along with NTUC president Mary Liew, on Thursday evening. Speaking to reporters earlier in the day, he noted that, while NTUC has championed workers' interests and collaborated with employers as well as the Government to achieve strong employment, business and national economic outcomes, the country is now at a crossroads. Economic growth in the future will not be as rapid as in the past, while the world is also becoming more uncertain, with technological advances, intensified competition and new ways of work. Singapore's demographics and workforce profile are changing, with smaller families and an ageing population, and workers' aspirations are shifting, he said. To better respond to these changes, the NTUC wants to look at the key factors that enable workers to succeed in their careers, the assurances they need throughout various stages of their life, as well as the protections needed for vulnerable workers. Mr Ng said he would have liked to hold these engagements in 2020 when NTUC was rethinking its business and membership models, but the Covid-19 pandemic put this on hold. Mr Ng also acknowledged that at a time of greater uncertainty, workers from different age groups and different segments have different concerns - older workers are concerned about retirement adequacy, gig workers about protections, and younger workers about career progression and work-life balance. ""We think there will likely be greater job polarisation that can potentially widen income inequalities if we do not take active measures as the labour movement,"" he said. He noted that in other countries, there are already two-tier economies emerging, ""where there are the ones that have and the ones that don't"". ""NTUC believes that this is not a good thing to have in our society, because if not properly managed, this will lead to fraying in the social compact,"" he said. This could potentially occur in Singapore, he added, citing how among the PMEs, there are managers in firms along Shenton Way earning five or six figures a month at one end, and managers from fast food chains earning about $3,000 a month at the other. The challenge for the labour movement is to represent PMEs' interests in a different way, in aspects such as protection and welfare, said Mr Ng. In a personal letter sent out on Friday (Aug 12) to more than one million NTUC members, he invited them to take part in these discussions and help create solutions. He said: ""We also want to hear what each of us as working people are willing to give up to achieve our goals at work. What roles we foresee our employers, unions and government playing - today, tomorrow and the years ahead. ""And what values should guide how we evolve Singapore's social compact around work and employment."""
https://www.straitstimes.com/singapore/jobs/companies-in-singapore-in-danger-of-losing-talent-over-mental-health-and-fatigue-woes,Companies in S'pore in danger of losing talent over mental health and fatigue woes,"SINGAPORE - Companies in Singapore are at risk of losing talent over mental health and fatigue woes as dealing with these issues comes low on employers' priorities, a survey found. Only about six in 10 employers in Singapore, or 66 per cent, are actively taking steps to address mental health challenges, the study said. This number is lower than the global average of 70 per cent, as well as the average of 74 per cent in Asia. Even fewer employers, about 62 per cent, are taking steps to manage workforce exhaustion here. This is lower than the 66 per cent globally and 69 per cent in Asia. Conducted by global consultancy firm Mercer Marsh Benefits (MMB), the survey polled 2,600 human resources and risk professionals - people who evaluate business risks at workplaces - from 25 countries and across industries in March. It asked participants what they thought the top risks impacting businesses are. The survey found that about 92 per cent of companies here regard health and safety as the most serious threat to businesses, compared with 89 per cent of organisations in Asia and 87 per cent of organisations globally. Mr Neil Narale, who is the Singapore leader of MMB, said the results are worrying as half the workforce in Singapore feel stressed every day, and one in three employees is considering resigning in the next six months. This means employers will risk losing talent if they continue to put staff's mental health and workplace exhaustion issues in the backseat, he added. ""It's time for employers to prioritise these risks by creating a holistic talent strategy and realigning benefits programmes to better support employees,"" said Mr Narale. For example, he said, companies could look beyond medical insurance coverage and implement well-being programmes including therapy, exercise and financial planning. ""When organisations start to put their people first, they will not only attract and retain top talent, but also build a more resilient workforce in the long run,"" Mr Narale said. The lack of financial resources is a main reason cited by employers for not dealing with mental health and fatigue woes at the workplace. Only about 78 per cent of companies surveyed here said they have enough budget to address health and safety challenges at the workplace, as opposed to 85 per cent of companies in Asia and 83 per cent globally, the survey found. Mr Narale said this could stem from a lack of leadership support to make mental health initiatives a priority, as many do not see an immediate return-on-investment in them. Companies also need to understand that mental well-being is not a one-off initiative or programme and should be integrated into the company's culture, he added. Apart from health and safety challenges, survey respondents here also cited cyber security as a top threat to businesses."
