Link,Title,Content
https://www.straitstimes.com/singapore/transport/for-a-viable-sustainable-public-transport-system-look-beyond-fare-formula,"For a viable, sustainable public transport system, look beyond fare formula","SINGAPORE - The way bus and train fare adjustments are calculated will change next year, in a periodic review undertaken by the Public Transport Council (PTC). As always, the PTC - a fare review body appointed by the Transport Ministry - says it will strike a balance between fare affordability and the financial sustainability of transport operators."
https://www.straitstimes.com/singapore/transport/tel-stage-3-on-track-to-open-by-end-of-year-smrt-to-carry-out-testing,11 new Thomson-East Coast Line MRT stations on track to open by end of year,"SINGAPORE - All civil and structural works as well as systems integration and testing activities for the third stage of the Thomson-East Coast Line (TEL) have been completed, with 11 new stations set to open by the end of this year. The Land Transport Authority (LTA) said it handed over the 11 stations to SMRT on Wednesday (Aug 17) for the rail operator to carry out further operational testing, including on the signalling system, over the next few months in preparation for the opening. In March, Transport Minister S. Iswaran said that the 11 new TEL stations, running from Stevens through Orchard and Outram Park to Gardens by the Bay, would begin operating in the second half of 2022. In response to media queries, LTA said the systems used for TEL stage 3 are rigorously tested to ensure they do not affect the safety and operations of existing MRT systems. Initial testing of the signalling system was done on separate test servers that were segregated from the operational servers used for TEL stages 1 and 2, LTA added. Integration testing was then carried out during engineering hours before the signalling software supplied by French train manufacturer Alstom was integrated into the operational servers for TEL stages 1 to 3. Between Feb 26 and May 29, train services on the TEL started later on weekends to carve out additional engineering hours for these tests. Singapore’s sixth and newest rail line, which currently spans nine stations, has been beset by faults in recent months. LTA on Wednesday shed more light on these disruptions. On April 27, 50 commuters were stuck in a stalled train between Woodlands and Woodlands South stations for more than 1½ hours due to a train fault that morning. This was caused by a cable with damaged insulation on the train, LTA said, adding that checks on the TEL train fleet found that this was an isolated incident. On May 19, a signal fault caused trains to move more slowly in both directions across the entire TEL resulting in an additional 10 minutes of waiting time. This was caused by network issues that occurred after server hard disks in the TEL’s operation control centre were reinstalled following signalling tests. The issues have since been rectified, LTA said. Finally, on July 6, a signal fault led to a 3½-hour disruption in train services along the entire line, leaving commuters stuck on six stalled trains for at least 40 minutes. The Straits Times understands this was due to testing for TEL stage 3. The first stage of the TEL between Woodlands North and Woodlands South stations opened in January 2020, with the second stage - comprising six stations between Springleaf and Caldecott - opening in August last year. TEL stage 3 has 13 stations, but Mount Pleasant and Marina South stations will remain closed until housing developments around them are ready. The last two stages of the TEL, stage 4 and stage 5, comprise a total of 10 stations from Founder’s Memorial to Sungei Bedok. They are expected to open around 2024 and 2025, aside from Founder’s Memorial station which will open in tandem with the actual memorial in 2027. When the TEL is fully completed, more than 240,000 households will be within a 10-minute walk from a TEL station. It will also help to relieve crowding on the East-West and North-South Lines. For Mr Mohammed Sabir Ansari, 27, who lives in Shenton Way, the opening of TEL stage 3 will give him a public transport option that is less than a minute’s walk from his home. “I’m unbelievably excited,” said the business development director, adding he will likely use the TEL three to four times a week to go to Great World City and Orchard Road in future."
https://www.straitstimes.com/singapore/transport/coe-premiums-rise-in-all-categories-except-open,COE premiums rise in all categories except Open; new record in Cat B ,"SINGAPORE - Certificate of entitlement (COE) premiums for larger and more powerful cars reached a new record as prices for most categories rose on Wednesday (Aug 17). Only the Open category saw a dip. The premium for cars with engines larger than 1,600cc or 130bhp, as well as electric vehicles (EVs) with more power than 110 kilowatts went up by 4.7 per cent from $107,001 to $112,001, breaking the record of $110,003 set on July 20.  The price of COEs for smaller and less powerful cars and EVs ended 9.9 per cent higher at $87,889, up from $80,000. Commercial vehicle COE premiums rose by 5.4 per cent from $56,089 to $59,090. The price of motorcycle COEs increased by 0.9 per cent, from $11,000 to $11,101. Open category COEs, which can be used to register any type of vehicles other than motorcycles, ended slightly cheaper at $112,001, representing a dip of 0.9 per cent from $113,000. The premium is still hovering near the all-time high of $114,001. Motor traders said the results were largely expected, as there has been talk of strong sales over the last weekend, both from brands that participated in the Cars@Expo event, as well as other dealers that benefited from the buzz surrounding the trade show. There were more bids at this tender compared with the previous one, reflecting the stronger sales performance. For instance, Category A had 835 bids, up from 689. The price rally for smaller car COEs also started earlier than usual. The premium was already at $80,001 with more than 30 minutes to go before the exercise closed, which gave more time for prices to climb further. In contrast, the premium for Open category COE, which rose very quickly at the last exercise, trailed behind the COE price for larger cars.  Mr Raymond Tang, honorary secretary of the Singapore Vehicle Traders Association said these are “signs of a healthier market situation” as it means that dealers have actual orders to fulfil, as opposed to chasing after Open category COEs in anticipation of future orders. He reckons that consumers who really need a car may be coming to terms with the higher COE premiums, and thus are starting to come into the market for both new and used cars.  Mr Ng Choon Wee, group commercial director at Komoco Motors, said the large number of unsuccessful bids would roll over into subsequent tenders, meaning that premiums would not come down as dealers have to deliver the cars.  The next tender exercise in September is three weeks away, one more than the usual two-week interval. The longer gap has typically led to higher premiums, as dealers have more time to collect orders. Mr Nicholas Wong, Kah Motor’s general manager, said that under the current situation where the supply of COE is so low, motor dealers are faced with either “bleeding to secure the COE or facing cars being stuck in storage""."
https://www.straitstimes.com/singapore/transport/bmw-service-centre-in-teban-gardens-to-close-by-end-august,BMW service centre in Teban Gardens to close by end-August,"SINGAPORE - BIS Automobiles, one of BMW's authorised service centres, will cease operations by Aug 31, before its service contract runs out at the end of the year. Located at 30 Teban Gardens Crescent, BIS was appointed in 2019 to service BMW and BMW M cars."
https://www.straitstimes.com/singapore/transport/bus-and-train-fare-formula-to-be-reviewed-any-changes-will-be-applied-next-year,"Bus, train fare formula to be reviewed; any changes will be applied from 2023","SINGAPORE - The way that bus and train fares are calculated will be reviewed to account for changes in commuting patterns, and to balance fare affordability and the financial sustainability of the public transport sector. The Public Transport Council (PTC) said this on Monday (Aug 15) as it announced the start of its review process, aiming to complete it by the first half of next year. Any changes made to the public transport fare adjustment formula and mechanism will be applied from the fare review exercise in 2023 onwards, the PTC added. It will be consulting commuters, public transport operators, the labour movement and transport experts for the review. The current formula will remain for the upcoming fare review later this year. The formula puts a cap on how much public transport fares here can be adjusted each year. It comprises five component indicators that take into account core inflation, energy prices, wage increases, productivity and the network capacity of the public transport system. The formula is typically reviewed once every five years, said the PTC, which is led by Nominated MP Janet Ang, and comprises 16 other members from academic institutions, business, grassroots organisations, labour unions and professional services who are appointed by the Ministry of Transport (MOT). The last time there was a formula review, the network capacity factor (NCF) was introduced in 2018 to better reflect operating costs borne by public transport operators due to capacity adjustments - such as running more trains and buses over longer distances for less crowded and more convenient rides, for instance. The PTC on Monday laid out the terms of reference for its latest review. It will first look at the effectiveness of the current formula, in consideration of the changes in the public transport industry and commuting patterns. Last year, former PTC chairman Richard Magnus highlighted the growing phenomenon of people working from home, but said then that the long-term trend is still not clear. Due to Covid-19, public transport ridership in Singapore fell to as low as 25 per cent of pre-pandemic levels during the circuit breaker in April and May 2020. While numbers have since bounced back after pandemic restrictions were largely eased, they are still below pre-Covid-19 levels. The PTC said it will also propose ways to better balance keeping fares affordable with ensuring the financial sustainability of the public transport system. This issue came up in Parliament earlier this year during the debate on MOT's budget, when Transport Minister S. Iswaran and Workers' Party MP Jamus Lim engaged in a lengthy exchange over whether public transport could be made free for all seniors and people with disabilities. Mr Iswaran pointed out that the Government currently spends more than $2 billion annually in subsidies for public transport commuters - about $1 billion for bus operations and $1 billion for train ones. He also noted that shifting work and travel patterns, an ageing population and volatile energy prices will impact public transport over the next decade. In December last year, bus and train fares were raised by 2.2 per cent - or three to four cents for adults and one cent for seniors, students, people with disabilities and low-wage workers. This was because of a 4.4 per cent fare hike that was carried over from 2020. The maximum allowable adjustment last year was actually -2.2 per cent based on the current formula. The fare increase could have been much higher at 51.5 per cent had the PTC not excluded the NCF in the formula for 11 out of the 12 months in 2020 to account for the exceptionally sharp drop in ridership due to Covid-19. The PTC has said that it will continue to exclude this drop in ridership when calculating the NCF for this year's fare review. Singapore University of Social Sciences transport economist Walter Theseira said the PTC could consider during its review whether the NCF needs to be reworked and whether the fare formula could take into account more current indicators rather than those from previous year, especially in a time of rapid, transitory inflation. While the PTC is also looking at how to better balance the books, Associate Professor Theseira added that the question of whether there ought to be a deficit incurred for public transport, and how this deficit is shared between commuters and taxpayers, should be dealt with by the Government instead. “These are questions with no easy answers and the PTC is not equipped, nor has the mandate, to make these types of decisions,” he said."
https://www.straitstimes.com/singapore/transport/comfortdelgros-first-half-profit-rises-by-30-to-119m-on-exceptional-gain,ComfortDelGro's first-half profit rises by 30% to $119m on exceptional gain,"SINGAPORE - Transport giant ComfortDelGro posted a 30.4 per cent rise in earnings to $118.7 million for the six months ended June 30, boosted by a one-off exceptional gain. Revenue rose by 6.7 per cent to $1.86 billion as world economies emerged from the Covid-19 pandemic. Operating expenses rose by 4.8 per cent to $1.68 billion. The Singapore-based global group said that with the exception of China, economic activity in all the countries it operates in picked up during the last six months. The sale of Alperton garage in Britain and government relief helped to bolster earnings. Earnings per share stood at 5.48 cents, up from 4.2 cents during the same time last year. Net asset backing per share stood at 125.26 cents, from 124.9 cents previously. Directors are recommending an interim dividend of 2.85 cents and a special dividend of 1.41 cents. ComfortDelGro chairman Lim Jit Poh said: ""The group is in a fortunate position to have a strong cash flow and be in a net cash position. As such, we do not have any problem funding our dividend payouts internally. ""With the exceptional gain from the sale of the Alperton property in London, we have decided to pass on the net gain from that sale to our shareholders. This is something we will continue to do going forward when we make extraordinary gains and have no urgent need of the proceeds."" The group’s public transport services division fared significantly better, with operating profit increasing by 48.8 per cent to $122.8 million. Its taxi business’ operating profit grew by 18.4 per cent to $21.2 million.  Its automotive engineering division, which includes fuel sales to cabbies, saw a 16.1 per cent decline in operating profit to $4.7 million. Its vehicle inspection business posted an 8.6 per cent rise in profit to $16.5 million, while its driving centre business had a 10.9 per cent dip in earnings to $9 million.  The group’s car rental division posted a profit of $1.7 million, unchanged from previously. But its bus station business incurred a loss of $300,000, from a profit of $1.6 million.  As at June 30, cash and equivalents stood at $970.5 million, from $892.8 million previously. The group said no provision for impairment was made for taxi vehicles, taxi licences, goodwill and investment in subsidiaries for the period. In its outlook, ComfortDelGro said there is “uncertainty over the effectiveness” of public transport fare formulas “in the long term should high energy prices persist”. In Singapore, it said its public transport business will be affected by an amendment to a reduction in the service fee payable by the Land Transport Authority on five bus contracts from Sept 1, 2022, as part of an agreement to move the Downtown MRT Line to a new financing framework. Rail ridership in Singapore, bus charter in Australia and coach services in Britain are continuing to recover, but taxi revenue in China will continue to be heavily impacted by the country’s zero-Covid-19 policy, it pointed out."
https://www.straitstimes.com/singapore/transport/vicom-posts-92-rise-in-first-half-earnings-to-131m,Vicom posts 9.2% rise in first-half earnings to $13.1m,"SINGAPORE - Testing and vehicle inspection firm Vicom posted a 9.2 per cent rise in net earnings to $13.1 million for the first half ended June 30, 2022. Revenue grew by 8.5 per cent to $53.3 million on the back of a growing and ageing vehicle population, as well as a recovery in the construction, marine and offshore, oil and gas, and manufacturing sectors. Earnings per share of the ComfortDelGro subsidiary rose by 9.5 per cent to 3.7 cents. Vicom chief executive Sim Wing Yew said: ""As Singapore emerges from the Covid-19 pandemic, demand for Vicom's services, especially in the non-vehicle testing segment, is improving. ""But growing inflationary pressures and the threat of recession loom near, and we are not out of the woods yet. We will thus continue to keep a tight lid on costs and adopt a cautionary stance in the immediate future."" Directors are recommending an interim dividend of 3.32 cents per share, representing a payout ratio of 90 per cent."
https://www.straitstimes.com/singapore/transport/pump-operators-except-caltex-cutpetrol-diesel-prices,"Pump operators in S'pore cut petrol, diesel prices","SINGAPORE - All fuel pump operators here have followed Esso's lead in lowering prices. By Thursday morning (Aug 11), Shell, Sinopec and SPC had each reduced diesel prices by 11 cents a litre and petrol prices by nine cents a litre - mirroring Esso's move on Wednesday. Caltex was the last to match these price reductions, doing so at around 12.30pm. Separately, the so-called premium 98-octane is now 13 cents higher at Shell than it was two weeks ago when the company retailed this grade at the same price as its regular 98-octane fuel. According to Fuel Kaki, a petrol and diesel price tracker set up by the Consumers Association of Singapore, diesel now ranges between $2.80 (Sinopec, SPC) and $2.82 (Caltex, Shell). The 92-octane grade of petrol, which the majority of vehicles can use, is now $2.80 a litre across all brands, while the popular 95-octane is $2.84 at SPC and $2.85 elsewhere. The 98-octane grade is $3.34 at Shell, and $3.32 at Esso, Sinopec and SPC, while the premium 98-octane grade is between $3.45 (Sinopec) and $3.56 (Shell). After discount, the cheapest 92-octane fuels are from Caltex (OCBC 365 card) and Esso (DBS Esso card), at $2.30 a litre. The costliest 92-octane grade is from Esso (Citibank Cash Back card, other OCBC cards), at $2.41 a litre. Sinopec, which has only three stations here, offers the lowest price of $2.23 for 95-octane petrol (with OCBC cards). Among operators with sizeable networks, Caltex (OCBC 365 card) and Esso (DBS Esso card) offer the lowest rate of $2.34. For 98-octane petrol, Sinopec again has the lowest rate of $2.61 (OCBC cards), followed by $2.72 at Esso (DBS Esso card). The price cuts follow a continuing downward movement in the prices of crude oil and refined products. Rising inflation is putting a dent in demand on both automotive and non-automotive fronts around the world. Brent crude last closed on Nasdaq at US$96.31 a barrel, its lowest since February. RBOB Gasoline, a proxy for refined petrol, is hovering just above US$3 a gallon, its lowest since April."
https://www.straitstimes.com/singapore/transport/sbs-transit-interim-earnings-dip-as-staff-and-energy-costs-soar,SBS Transit interim earnings dip as staff and energy costs soar,"SINGAPORE - Bus and train operator SBS Transit posted a dip in net earnings for the first half ended June 2022 on the back of higher costs and the absence of the Jobs Support Scheme accorded by the Government during the pandemic. The majority-owned subsidiary of transport giant ComfortDelGro Corp reported a 14.3 per cent rise in six-month revenue to $732.4 million, but its profit attributable to shareholders shrank by 5 per cent to $34.6 million. Operating expenses rose by 14.4 per cent to $689.4 million, led mainly by staff cost and energy and fuel costs. Earnings per share fell to 11.11 cents, from 11.7 cents the same time last year. Net asset value per share stood at $2.02, versus $1.93 previously. Cash and equivalents stood at $247 million, up from $147.8 million previously. SBS Transit said average daily ridership on its the North East Line grew by 14.6 per cent to 445,000 trips; the Downtown Line by 17.4 per cent to 327,000 trips; and the Sengkang-Punggol LRT by 16.1 per cent to 128,000 trips. These, however, are still below pre-pandemic levels. SBS Transit chief executive Cheng Siak Kian said: ""We are seeing a steady increase in rail ridership as more workers return to the workplace with the gradual easing of Covid-19 measures. ""However, it's still early days to say if ridership will recover to pre-Covid-19 levels due to hybrid work arrangements, and we are closely monitoring the situation. ""Meanwhile, the tight labour market and the spike in energy prices remain as key challenges for our business."" Directors are recommending an interim dividend of 5.45 cents, versus 5.75 cents previously."
https://www.straitstimes.com/singapore/transport/esso-cuts-diesel-price-by-11-cents-petrol-prices-by-9-cents,"Esso cuts diesel price by 11 cents, petrol prices by 9 cents","SINGAPORE - After more than two weeks since the last industrywide price reduction, fuel pump prices here are on the slide again. Esso, which sparked the last price cut, started the ball rolling on Wednesday (Aug 10) afternoon by bringing pump prices to their lowest since February. According to Fuel Kaki, a petrol and diesel price tracker set up by the Consumers Association of Singapore, Esso's posted diesel price is now 11 cents lower at $2.81, while its three petrol grades are nine cents lower. Esso's 92-octane petrol is now $2.80 a litre, while its 95- and 98-octane fuels are $2.85 and $3.32 respectively. After discount, Esso offers the lowest petrol price with its 92-octane at $2.30 a litre (with DBS Esso card). For 95-octane, Sinopec, which has only three stations here, has the lowest price at $2.30 (with OCBC cards). Among bigger network operators, Esso's $2.34 is the lowest (with DBS Esso card). For 98-octane, Sinopec's offer of $2.68 (with OCBC cards) is the lowest, followed by Esso's $2.72 (with DBS Esso card). Esso's aggressive price cuts follow a continuing downward movement in prices of crude oil and refined products. Rising inflation is putting a dent in demand on both automotive and non-automotive fronts. Brent crude last closed on Nasdaq at US$96.65 a barrel, its lowest since February. RBOB Gasoline, a proxy for refined petrol, is US$2.95 a gallon, also at its lowest since February. Esso's price reduction on Wednesday is likely to trigger price cuts by other pump operators here."
